4d58dcb1f997ca616091689c733ba3e5914b406b19e688c466a8ef92beb653fc,12085f5a78f4e7efbbb05ec997b73afe54dce3485bd4aac473ddb22491b94881,dde7c424ba095159d28597a364666952a0ba7dd64b5c1619a8e8b9ab73f1ecec,4e55da4229dd7e95f8ee2715e81529c251ceac3b6a576733c93b928e577887d5,63fb4eecd28d1637fa64219cda77b6ecd43f09124129d1fab09d859e74f697ce,dbcb26c3ada9d84ab6d6f9d461ca9c5b4102cd39809d45731d5428f78bd642b9,3aa90d9190ed666432d6609653877ca8564a21a402fddd3abb46bb1dd38560b0,78c038b8d8a7bd707b2e6aa2f24d371aa6bb9ea683fd28b5a6986afba6a5ea44,0f804293bf1970621706a6299f9dafd51cd77a387033e9cf028d9a91e5c2d5d2,bf8693334e999b549aa8d92866be2eb82d3a9475df69ecf25b798d1150aac58a,30d9cfa9f5c655cdaee5ff8696b6e7170538c2454dbe87bdd3adf25ffc6b1854
"31","25015","2","91002","285001001","8","25021","1","8","10","2"
"31","25015","2","91002","285001002","8","25021","2","8","10","2"
"32","25015","2","91002","285001003","8","25021","3","8","10","2"
"32","25015","2","91002","285001004","8","25021","4","8","10","2"
"33","25015","2","91002","285001005","8","25021","5","8","10","2"
"33","25015","2","91002","285001006","9","25021","6","8","10","2"
"34","25015","2","91002","285001007","9","25021","7","8","10","2"
"35","25015","2","91002","285001008","9","25021","8","8","10","2"
"35","25015","2","91002","285001009","9","25021","9","8","10","2"
"37","25015","2","91002","285001010","10","25021","10","8","30","2"
"41","25015","2","91002","285001011","10","25021","11","8","10","2"
"43","25015","2","91002","285001012","11","25021","12","8","10","2"
"46","25015","2","91002","285001013","11","25021","13","8","10","2"
"48","25015","2","91002","285001014","12","25021","14","8","10","2"
"50","25015","2","91002","285001015","12","25021","15","8","10","2"
"53","25015","2","91002","285001016","13","25021","16","8","10","2"
"55","25015","2","91002","285001017","14","25021","17","8","10","2"
"58","25015","2","91002","285001018","14","25021","18","8","10","2"
"60","25015","2","91002","285001019","15","25021","19","8","10","2"
"62","25015","2","91002","285001020","15","25021","20","8","30","2"
"68","25015","2","91002","285001021","16","25021","21","8","10","2"
"70","25015","2","91002","285001022","16","25021","22","8","10","2"
"72","25015","2","91002","285001023","16","25021","23","8","10","2"
"75","25015","2","91002","285001024","17","25021","24","8","10","2"
"77","25015","2","91002","285001025","18","25021","25","8","10","2"
"79","25015","2","91002","285001026","18","25021","26","8","10","2"
"82","25015","2","91002","285001027","19","25021","27","8","10","2"
"84","25015","2","91002","285001028","19","25021","28","8","10","2"
"86","25015","2","91002","285001029","19","25021","29","8","10","2"
"89","25015","2","91002","285001030","20","25021","30","8","30","2"
"94","25015","2","91002","285001031","20","25021","31","8","10","2"
"96","25015","2","91002","285001032","21","25021","32","8","10","2"
"99","25015","2","91002","285001033","21","25021","33","8","10","2"
"101","25015","2","91002","285001034","22","25021","34","8","10","2"
"103","25015","2","91002","285001035","22","25021","35","8","10","2"
"106","25015","2","91002","285001036","23","25021","36","8","10","2"
"108","25015","2","91002","285001037","23","25021","37","8","10","2"
"111","25015","2","91002","285001038","24","25021","38","8","10","2"
"113","25015","2","91002","285001039","25","25021","39","8","10","2"
"115","25015","2","91002","285001040","25","25021","40","8","30","2"
"121","25015","2","91002","285001041","26","25021","41","8","10","2"
"123","25015","2","91002","285001042","27","25021","42","8","10","2"
"125","25015","2","91002","285001043","28","25021","43","8","10","2"
"128","25015","2","91002","285001044","28","25021","44","8","10","2"
"130","25015","2","91002","285001045","29","25021","45","8","10","2"
"132","25015","2","91002","285001046","30","25021","46","8","10","2"
"135","25015","2","91002","285001047","30","25021","47","8","10","2"
"137","25015","2","91002","285001048","31","25021","48","8","10","2"
"139","25015","2","91002","285001049","31","25021","49","8","10","2"
"142","25015","2","91002","285001050","31","25021","50","8","30","2"
