3f3f39eb36cd51fcb4c895e9510bb657f7b1573138d229e0617a0cd1f45bec08,3ad1d1cca4a3a6b4c844a4c330a2ba230764c129d139954f67e0dcb87b786d2a,e2559d313ab7c00ad43eb0e756298df38075b5f635b83c73fcef11f361591f46,e69785504afb5e4590957fe6a8d21b92f0e37c212d2ff3b2ef7f6eb89f5102cb,d05c93a34f74a86ff32d983209d77cb77a45445a9829acf93bde9dd9630bef3d,ae69474bbfe716111f494d8fb068c440c18f13a8a694423d6a81820e49b74f17,f5a1e7042194edd10ed9808f4e43338d216aa095cdbc4252b569f4de5692c637,852dfa10198f0c52dbbf27dcfb52f175b6ad32a1b943d604308d63a69dfcf59f,4aabb603ca0c6c60d6149547f288ae06acefd8c298f84b5f42ce97037e0b1946,9cb34b811ddc7756b15dfb97e6b2c446fb196568b3ee3bbd57527f12095ea861,00b8358e0ab3de054811ed6670a3e75f6f14523ea5fd1323602f63a20c409364
"-209.3","-421","0","1","101","nyx_idle_normal","110","110931","1","11010001","1.35"
"-182.5","121.8","0","1","101","nyx_idle_normal","110","104831","1","11010002","1.35"
"-182.5","227.7","0","1","101","nyx_idle_normal","110","104631","1","11010003","1.35"
"-182.5","340.3","1","1","101","nyx_talk_normal","110","103231","1","11010004","1.35"
"-182.5","449.6","1","1","101","nyx_idle_normal","110","103431","1","11010005","1.35"
"-209.3","-421","0","5","101","NoItem","120","2","2","11010006","1.35"
"1","0","","31","101","","0","1","1","11010007","1"
"1","0","","31","101","","-300","3","15","11010008","0"
"1.5","0","","31","101","","-300","4","15","11010009","0"
"","","","25","101","","","bgm_M347","bgm_M347","11010010",""
"","","","93","101","","","","2","11010011",""
"1","nyx_101_chieru_loop","","3","101","","0","nyx_101_chieru_01","2","11010012","0.2"
"1","nyx_101_chieru_loop","","3","101","","0","nyx_101_chieru_01","110931","11010013","0.2"
"","","","11","101","","10","切嚕～♪\n一開始總而言之\n要有衝擊性！","110931","11010014",""
"","","","93","101","","","","0.4","11010015",""
"","","","32","101","","","0","3","11010016",""
"","","","32","101","","","1","3","11010017",""
"","","","91","101","","","","11010014","11010018",""
"","","","11","101","","10","我要當個用強而有力\n的第一聲切嚕緊抓住\n評審員的心的孩子","110931","11010019",""
"","","","93","101","","","","1","11010020",""
"","","","3","101","","1","nyx_idle_joy1","103231","11010021","0.2"
"","","","3","101","","1","nyx_cmn_05","104631","11010022","0.2"
"","","","91","101","","","","11010019","11010023",""
"1","nyx_101_chieru_loop","","3","101","","0","nyx_101_chieru_01","2","11010024","0.2"
"1","nyx_101_chieru_loop","","3","101","","0","nyx_101_chieru_01","110931","11010025","0.2"
"","","","11","101","","7","切嚕～♪\n不對，還可以更好……\n切～☆嚕～！","110931","11010026",""
"","","","93","101","","","","0.4","11010027",""
"","","","32","101","","","0","3","11010028",""
"","","","32","101","","","1","3","11010029",""
"","","","93","101","","","","0.6","11010030",""
"","","","3","101","","1","nyx_talk_bitter","103431","11010031","0.2"
"","","","3","101","","1","nyx_cmn_04","104631","11010032","0.2"
"","","","93","101","","","","2","11010033",""
"1","nyx_101_chieru_loop","","3","101","","0","nyx_101_chieru_02","2","11010034","0.2"
"1","nyx_101_chieru_loop","","3","101","","0","nyx_101_chieru_02","110931","11010035","0.2"
"","","","93","101","","","","0.4","11010036",""
"","","","32","101","","","0","3","11010037",""
"","","","32","101","","","1","4","11010038",""
"","","","91","101","","","","11010026","11010039",""
"","","","3","101","","1","nyx_idle_bitter","103431","11010040","0.2"
"","","","3","101","","1","nyx_talk_sad","104831","11010041","0.2"
"","","","11","101","","10","吶，那個……\n妳們有沒有聽到\n走廊傳來的聲音？","104831","11010042",""
"","","","91","101","","","","0","11010043",""
"","","","4","101","","","1","110931","11010044",""
"","","","4","101","","","1","2","11010045",""
"1","nyx_101_chieru_loop","","3","101","","0","nyx_101_chieru_02","2","11010046","0.2"
"1","nyx_101_chieru_loop","","3","101","","0","nyx_101_chieru_02","110931","11010047","0.2"
"","","","3","101","","1","nyx_idle_sad","104831","11010048","0.2"
"","","","3","101","","1","nyx_talk_sad","104631","11010049","0.2"
"","","","11","101","","10","聽起來好像在說什麼\n切嚕切嚕的喵……\n好恐怖喵……","104631","11010050",""
"","","","91","101","","","","0","11010051",""
"","","","3","101","","1","nyx_idle_sad","104631","11010052","0.2"
"","","","3","101","","1","nyx_talk_sad","103431","11010053","0.2"
"","","","11","101","","10","該不會是學校的七大\n不可思議之類的吧……\n好、好想回家……","103431","11010054",""
"","","","91","101","","","","0","11010055",""
"","","","3","101","","1","nyx_idle_sad","103431","11010056","0.2"
"","","","3","101","","1","nyx_talk_joy2","103231","11010057","0.2"
"","","","11","101","","10","還真是有趣呢！\n對於待會會出現什麼\n我感到非常期待呢！","103231","11010058",""
"","","","91","101","","","","0","11010059",""
"","","","93","101","","","","0.4","11010060",""
"","","","4","101","","","0","110931","11010061",""
"","","","4","101","","","0","2","11010062",""
"1","nyx_101_chieru_loop","","3","101","","0","nyx_101_chieru_01","110931","11010063","0.2"
"1","nyx_101_chieru_loop","","3","101","","0","nyx_101_chieru_01","2","11010064","0.2"
"","","","12","101","","1","1","104831","11010065",""
"1","nyx_idle_sad","0.2","3","101","","0","nyx_talk_sad","104831","11010066","0.2"
"","","","93","101","","","","0.4","11010067",""
"","","","32","101","","","0","3","11010068",""
"","","","32","101","","","1","3","11010069",""
"","","","93","101","","","","1.6","11010070",""
"","","","12","101","","1","15","104631","11010071",""
"1","nyx_idle_sad","0.2","3","101","","0","nyx_talk_sad","104631","11010072","0.2"
"","","","93","101","","","","3","11010073",""
"","","","4","101","","","1","110931","11010074",""
"","","","4","101","","","1","2","11010075",""
"1","nyx_101_chieru_loop","","3","101","","0","nyx_101_chieru_02","110931","11010076","0.2"
"1","nyx_101_chieru_loop","","3","101","","0","nyx_101_chieru_02","2","11010077","0.2"
"","","","12","101","","1","10","103231","11010078",""
"1","nyx_idle_joy1","0.2","3","101","","0","nyx_talk_joy1","103231","11010079","0.2"
