edf48bf029315d573ff52a24bf70192b490585abdc461258665c63062bf22e2e,350a94bcfef45c027d967e87f58f54fbe355068ff066fc85d3b5144cc7b7bff4,5f7e7b4d1b8ea556072c7cc85d59cab324355295cab026c327a34f44a1be8571,cbf699f08e8dc5a053447b2bf434dbacfb737af337126c79e4d00ca6896286c6,d25359481f48639756938ea5473daf4ffb5dec2e1dee86b24bba0d1b2b83e15c,a3bdf979b47db697fc03f5c882c2bac6413c00644a8cbf1294116f07731c782a,6d308ab8898dbca67a414ad85ab80379909440f6d1608f7fc83387f6d5c5abae,4e4b5781d7102aaa5413fe25546fa1aa4e3e50b4d1439c5dc2bb0407be094841,be182ec4c1531e647dfb34770bdc14df2120a03849a0b2013c11110a2dc32dbe,a8dec2a6cb2fe3897f06957c4d306188b21c396502b86a7d2814120c53cd4942,4d74dbe08abda9eb0e5477a2533d122d2eddd8f7c3e14e35c33e233414e89645
"星","","","","1015","","","","","",""
"愛","","","","1019","","衣","","","白",""
"","","","","1020","綠","","","","",""
"普","","","","1021","","","","","",""
"","","","","1070","","","K","","",""
"短","","","","1071","","","","","",""
"順","","","","1079","","","","","",""
"七八九","","","","1080","","","","","",""
"H","","","","1131","","","","","",""
"","","","","1196","U","","","","U",""
"","","","","1229","","跆","","","",""
"三五七","","","","1242","","","","","",""
"二","","","","1244","","","","一","",""
"","紅","","磚塊","2002","","","","","","房"
"","","","","2011","笠","","","蓑","",""
"南","","","","2012","五","","","","",""
"","","","","2024","","","","三五八九","",""
"S","","","","2031","E","","","","",""
"","","","","2032","","","","AE","",""
"","","","","2033","A","","","","R",""
"","","","","2034","E","","","","I",""
"","","","","2036","UA","","","","R",""
"","","","","2037","E","","E","Y","L",""
"","","","","2038","E","","V","I","L",""
"","","","","2040","L","","","","I",""
"","","","","2041","","","","","A",""
"Y","","","","2042","","","","","",""
"K","","","","2043","","","","","A",""
"","","","","2045","","","","","A",""
"Q","","","","2046","","","","","R",""
"","","","","2047","A","","","","R",""
"KQ","","","","2048","","","","","A",""
"","","","","2049","B","","","","",""
"","","","","2050","U","","","T","A",""
"","","","","2052","EI","","","P","C",""
"","","","","2053","I","","","T","A",""
"","W","O","E","2054","","P","","S","","R"
"","","","","2055","","","","","R",""
"","","","","2056","V","","","","",""
"","","","","2058","","","","","WU",""
"R","","","","2059","","","","","",""
