5104d416be362b71b236cfa85bf4f39b80d1d2b5ce45d921cdf479689c24204e,afba92e3dc479926b8233fbb854f227906fc6562f3f75ad36c114bbbe7c134d8,1fce393158a609722dc1997c20390894ca9f60c681ad0d78412ca4b1f673bcfb,49797028d87a15bb75a15777073ccab9bf35c95b0d03447495f0c172c39dcd6e,1d28c0644756154850bc10094f0f12ed8ec26e172fe1ac4dce8e44198583f06d,8e294a03195703454addc82610f59b26e95e16ffeb58bd0662ceb2b87851bf62,da815a1d7aa8611011ca8d090c3158ca5ffcfd28dc3dc99b2503c967c11795e5,daddc93c71c8d5c6f12f4084f9303934922eb668b343b94c1941e1fef53ead56,b7fb0aee842fc0c66c4c67973b74d8dd15e7a7379d8214d4ef2102461bd30212,f619f800a2a63712eea1c0b83e1574041de89df49dcc039acd21cb65cab4094c
"0","10110","0","令人懷念的往日結晶","0","0","序幕","5110601","0","20059104"
"8","10110","0","誰才是隊長！","1","91002","尾狗刀的懷想　其一","5110602","30","20059104"
"8","10110","0","想獲勝的理由","1","91002","尾狗刀的懷想　其二","5110603","30","20059105"
"8","10110","0","善於傾聽的誓約女君","1","91002","克莉絲提娜的懷想　其一","5110604","30","20059108"
"8","10110","0","隱藏的真正實力……？","1","91002","大吾的懷想　其一","5110605","30","20059109"
"8","10110","0","寫作朋友，讀作對手","1","91002","拉比林斯達的懷想　其一","5110606","30","20059110"
"8","10110","0","惡與正義的放聲大笑","1","91002","真軌的懷想","5110607","30","20059112"
"8","10110","0","所謂的公主騎士","1","91002","拉基拉基的懷想　其一","5110608","30","20059113"
"8","10110","0","遙想未來的日子","1","91002","尾狗刀的懷想　其三","5110609","30","20059114"
"8","10111","0","跳躍王的懲罰","1","91002","拉基拉基的懷想　其二","5111602","30","20060103"
"8","10111","0","兩人一起絕對能做到","1","91002","克莉絲提娜的懷想　其二","5111603","30","20060105"
"8","10111","0","踩虎尾","1","91002","大吾的懷想　其二","5111604","30","20060108"
"8","10111","0","最可疑的七冠是誰","1","91002","拉比林斯達的懷想　其二","5111605","30","20060109"
"8","10111","0","過於簡單的問題","1","91002","似似花的懷想","5111606","30","20060110"
"8","10111","0","魔物使如是說","1","91002","尾狗刀的懷想　其四","5111607","30","20060113"
"8","10111","0","惡徒們追尋的未來","1","91002","尾狗刀的懷想　其五","5111608","30","20060113"
"16","10111","1","超越過去，創造回憶","0","9000222","終幕","5111609","1","0"
