4334841b7ecbf41374f870a526cb8c393c88f2c2704ad824a691e0ae7f67946b,c39f5b7db52980e2617efed75f7710e73a848ef374ce08d92de7d29985762206,836206b21bf76a63f5b25de424b5745385423a3bc4f10ab7503224226676791a,8c3f862867bb794f60c2ec1c8875dda68f037c85cd7734a436f68428816a1557,04c612161234482587567941de9c75f57cf421e57e603f06eba105031c8a09e8,9ab41e7d673f7528638be4b2291c471ceb9c6da402d107d06871b196eee4c606,421cba497868a5ecc98f118649774bd75cab69ebfd0f15b59d2cf3a50a648445,5159f6265bfecbbb3a6abd9f877aebff6af864ba3e05d64b5d36caeef890fe94,8b74c159ad6711be516c6ef388acb68d51953a3a6ca8761a7709cd313ef74149,c56525fd0a625f52ebd547e3f9d94bcf2bc4ddd5beb84b75da2dfa96eb9d247a,f7b8e828a244a2dbd5ba3aac86973899cb67c3a54c12c825d9dc5ac51b98def4
"5152061","1","1","-280","61001","110","110311","idle_normal","382","1","1.55"
"5152061","0","1","-210","61002","106","131911","idle_normal","145","1","1.55"
"5152061","0","1","-225","61003","107","102311","joy_idle_normal","-50","1","1.55"
"5152061","0","1","-240","61004","108","102111","wish_idle","-245","1","1.55"
"5152061","0","1","-255","61005","109","107711","idle_normal","-440","1","1.55"
"5152061","0","1","-105","61006","103","122811","doya_idle","40","1","1.45"
"5152061","0","1","-120","61007","104","122911","idle_normal","-160","1","1.45"
"5152061","0","1","-135","61008","105","122711","idle_normal","-355","1","1.45"
"5152061","","13","","61009","","210","","","110311",""
"5152061","","13","","61010","","206","","","131911",""
"5152061","","13","","61011","","209","","","107711",""
"5152061","","13","","61012","","205","","","122711",""
"5152061","","13","","61013","","203","","","122811",""
"5152061","","13","","61014","","204","","","122911",""
"5152061","","13","","61015","","208","","","102111",""
"5152061","","13","","61016","","207","","","102311",""
"5152061","0","5","160","61017","210","2","empty","-110","2","0.75"
"5152061","0","5","-45","61018","210","3","empty","352","3","1"
"5152061","","31","1","61019","0","1","","0","1","1"
"5152061","","31","1","61020","0","2","","0","2","0"
"5152061","","31","1","61021","0","3","","0","3","1"
"5152061","","31","1","61022","0","11","","0","11","0"
"5152061","","91","","61023","","0","","","0",""
"5152061","","37","","61024","","telop_1","","","3",""
"5152061","","102","","61025","0","0","","","0",""
"5152061","","93","","61026","","0","","","1",""
"5152061","0","3","1","61027","0","callout_in","","callout_loop","110311","0.2"
"5152061","","93","","61028","","0","","","0.1",""
"5152061","","21","","61029","0","vo_rag_6001","","0","vo_rag",""
"5152061","","3","","61030","0","1001_in","","","3","0"
"5152061","","93","","61031","","1","","","1.9",""
"5152061","","3","","61032","0","1001_mid","","","3","0"
"5152061","","92","","61033","","","","","",""
"5152061","","3","","61034","0","1001_out","","","3","0"
"5152061","","93","","61035","","0","","","0.2",""
"5152061","","3","","61036","1","doya_idle_joy1R","","","110311","0.3"
