b0e71096b4caf01271585ab5b6904bc62c5e51911b7fc96171ecf15b446e67eb,99ac386bded5a129abc62fdc39bb6e82d9853c75ba564c8cef02ce5e7c92a3dc,2e9560308857770643f3aa8124c4a5221a163837ba5fdd235a4ca9633bbba9a5,ae5901111efa4352e3d17318bad11aaa5be4dd33b96fc434d9e1c76bfd8b9832
"0","1","10101","20"
"1","1","10101","40"
"2","1","10101","50"
"3","1","10101","60"
"4","1","10101","70"
"5","1","10101","90"
"0","2","10101","20"
"1","2","10101","40"
"2","2","10101","50"
"3","2","10101","60"
"4","2","10101","70"
"5","2","10101","90"
"0","3","10101","20"
"1","3","10101","40"
"2","3","10101","50"
"3","3","10101","60"
"4","3","10101","70"
"5","3","10101","90"
"0","4","10101","20"
"1","4","10101","40"
"2","4","10101","50"
"3","4","10101","60"
"4","4","10101","70"
"5","4","10101","90"
"0","5","10101","20"
"1","5","10101","40"
"2","5","10101","50"
"3","5","10101","60"
"4","5","10101","70"
"5","5","10101","90"
"0","1","10102","20"
"1","1","10102","40"
"2","1","10102","50"
"3","1","10102","60"
"4","1","10102","70"
"5","1","10102","90"
"0","2","10102","20"
"1","2","10102","40"
"2","2","10102","50"
"3","2","10102","60"
"4","2","10102","70"
"5","2","10102","90"
"0","3","10102","20"
"1","3","10102","40"
"2","3","10102","50"
"3","3","10102","60"
"4","3","10102","70"
"5","3","10102","90"
"0","4","10102","20"
"1","4","10102","40"
"2","4","10102","50"
"3","4","10102","60"
"4","4","10102","70"
"5","4","10102","90"
"0","5","10102","20"
"1","5","10102","40"
"2","5","10102","50"
"3","5","10102","60"
"4","5","10102","70"
"5","5","10102","90"
"0","1","10103","20"
"1","1","10103","40"
"2","1","10103","50"
"3","1","10103","60"
"4","1","10103","70"
"5","1","10103","90"
"0","2","10103","20"
"1","2","10103","40"
"2","2","10103","50"
"3","2","10103","60"
"4","2","10103","70"
"5","2","10103","90"
"0","3","10103","20"
"1","3","10103","40"
"2","3","10103","50"
"3","3","10103","60"
"4","3","10103","70"
"5","3","10103","90"
"0","4","10103","20"
"1","4","10103","40"
"2","4","10103","50"
"3","4","10103","60"
"4","4","10103","70"
"5","4","10103","90"
"0","5","10103","20"
"1","5","10103","40"
"2","5","10103","50"
"3","5","10103","60"
"4","5","10103","70"
"5","5","10103","90"
"0","1","10104","20"
"1","1","10104","40"
"2","1","10104","50"
"3","1","10104","60"
"4","1","10104","70"
"5","1","10104","90"
"0","2","10104","20"
"1","2","10104","40"
"2","2","10104","50"
"3","2","10104","60"
"4","2","10104","70"
"5","2","10104","90"
"0","3","10104","20"
"1","3","10104","40"
"2","3","10104","50"
"3","3","10104","60"
"4","3","10104","70"
"5","3","10104","90"
"0","4","10104","20"
"1","4","10104","40"
"2","4","10104","50"
"3","4","10104","60"
"4","4","10104","70"
"5","4","10104","90"
"0","5","10104","20"
"1","5","10104","40"
"2","5","10104","50"
"3","5","10104","60"
"4","5","10104","70"
"5","5","10104","90"
"0","1","10201","20"
"1","1","10201","40"
"2","1","10201","50"
"3","1","10201","60"
"4","1","10201","70"
"5","1","10201","90"
"0","2","10201","20"
"1","2","10201","40"
"2","2","10201","50"
"3","2","10201","60"
"4","2","10201","70"
"5","2","10201","90"
"0","3","10201","20"
"1","3","10201","40"
"2","3","10201","50"
"3","3","10201","60"
"4","3","10201","70"
"5","3","10201","90"
"0","4","10201","20"
"1","4","10201","40"
"2","4","10201","50"
"3","4","10201","60"
"4","4","10201","70"
"5","4","10201","90"
"0","5","10201","20"
"1","5","10201","40"
"2","5","10201","50"
"3","5","10201","60"
"4","5","10201","70"
"5","5","10201","90"
"0","1","10202","20"
"1","1","10202","40"
"2","1","10202","50"
"3","1","10202","60"
"4","1","10202","70"
"5","1","10202","90"
