094f8ebb787f34321a8766d01dbe8b9017bae5c6ada8f52012fff8309af1c183,fe59ffea7a76bf5798cd8910634d4b81acca53e1157691e05558bbd81caef9a9,277d6c3521afc256c4ae307a611b73d2836e99a8d88856f0fb6ddfb02934e4ed,8cb13b4b93eca0eb68c3ca6696d6f5f00df8d322993b169e89f4462b79b1a14d,30be9414b471aa014376274b6966e8674f15ba31f550871aae5a3666cb635a81,0fb45e49d27ea84c9485a12f0aeffe095cb9fafb7937a80b56a47a0e439e20e7,1876ebfb165d8e007296dc71e727bf6daf28202075ca768b4d9b07742e186d82,d57651e3ed8062f2efcfa1fa4da3d33669946b437d967dc7d9c90a0f45190c5a,eabd38fec00ab9d4db17d1ab9178f3a48c952095dcfd9c9a1504b24e01527bc9
"1001","100000001","100101","1","3","4101","累積獲得3個★","0","3"
"1001","100000002","100102","2","6","4101","累積獲得6個★","0","6"
"1001","100000003","100103","3","9","4101","累積獲得9個★","1","9"
"1001","100000004","100104","4","12","4101","累積獲得12個★","0","12"
"1001","100000005","100105","5","15","4101","累積獲得15個★","0","15"
"1001","100000006","100106","6","18","4101","累積獲得18個★","0","18"
"1001","100000007","100107","7","21","4101","累積獲得21個★","1","21"
"1001","100000008","100108","8","24","4101","累積獲得24個★","0","24"
"1001","100000009","100109","9","27","4101","累積獲得27個★","1","27"
"1001","100000010","100110","10","30","4101","累積獲得30個★","0","30"
"1001","100000011","100111","11","33","4101","累積獲得33個★","0","33"
"1001","100000012","100112","12","36","4101","累積獲得36個★","1","36"
"1001","100000013","100113","13","39","4101","累積獲得39個★","0","39"
"1001","100000014","100114","14","42","4101","累積獲得42個★","0","42"
"1001","100000015","100115","15","45","4101","累積獲得45個★","1","45"
"1001","100000016","100116","16","48","4101","累積獲得48個★","0","48"
"1001","100000017","100117","17","51","4101","累積獲得51個★","1","51"
"1001","100000018","100118","18","54","4101","累積獲得54個★","0","54"
"1002","100200001","100201","1","3","4101","累積獲得3個★","0","3"
"1002","100200002","100202","2","6","4101","累積獲得6個★","0","6"
"1002","100200003","100203","3","9","4101","累積獲得9個★","1","9"
"1002","100200004","100204","4","12","4101","累積獲得12個★","0","12"
"1002","100200005","100205","5","15","4101","累積獲得15個★","0","15"
"1002","100200006","100206","6","18","4101","累積獲得18個★","0","18"
"1002","100200007","100207","7","21","4101","累積獲得21個★","1","21"
"1002","100200008","100208","8","24","4101","累積獲得24個★","0","24"
"1002","100200009","100209","9","27","4101","累積獲得27個★","1","27"
"1002","100200010","100210","10","30","4101","累積獲得30個★","0","30"
"1002","100200011","100211","11","33","4101","累積獲得33個★","0","33"
"1002","100200012","100212","12","36","4101","累積獲得36個★","1","36"
"1002","100200013","100213","13","39","4101","累積獲得39個★","0","39"
"1002","100200014","100214","14","42","4101","累積獲得42個★","0","42"
"1002","100200015","100215","15","45","4101","累積獲得45個★","1","45"
"1002","100200016","100216","16","48","4101","累積獲得48個★","0","48"
"1002","100200017","100217","17","51","4101","累積獲得51個★","1","51"
"1002","100200018","100218","18","54","4101","累積獲得54個★","0","54"
"1003","100300001","100301","1","3","4101","累積獲得3個★","0","3"
"1003","100300002","100302","2","6","4101","累積獲得6個★","0","6"
"1003","100300003","100303","3","9","4101","累積獲得9個★","1","9"
"1003","100300004","100304","4","12","4101","累積獲得12個★","0","12"
"1003","100300005","100305","5","15","4101","累積獲得15個★","0","15"
"1003","100300006","100306","6","18","4101","累積獲得18個★","0","18"
"1003","100300007","100307","7","21","4101","累積獲得21個★","1","21"
"1003","100300008","100308","8","24","4101","累積獲得24個★","0","24"
"1003","100300009","100309","9","27","4101","累積獲得27個★","1","27"
"1003","100300010","100310","10","30","4101","累積獲得30個★","0","30"
"1003","100300011","100311","11","33","4101","累積獲得33個★","0","33"
"1003","100300012","100312","12","36","4101","累積獲得36個★","1","36"
"1003","100300013","100313","13","39","4101","累積獲得39個★","0","39"
"1003","100300014","100314","14","42","4101","累積獲得42個★","0","42"
"1003","100300015","100315","15","45","4101","累積獲得45個★","1","45"
"1003","100300016","100316","16","48","4101","累積獲得48個★","0","48"
"1003","100300017","100317","17","51","4101","累積獲得51個★","1","51"
"1003","100300018","100318","18","54","4101","累積獲得54個★","0","54"
"1004","100400001","100401","1","3","4101","累積獲得3個★","0","3"
"1004","100400002","100402","2","6","4101","累積獲得6個★","0","6"
"1004","100400003","100403","3","9","4101","累積獲得9個★","1","9"
"1004","100400004","100404","4","12","4101","累積獲得12個★","0","12"
"1004","100400005","100405","5","15","4101","累積獲得15個★","0","15"
"1004","100400006","100406","6","18","4101","累積獲得18個★","0","18"
"1004","100400007","100407","7","21","4101","累積獲得21個★","1","21"
"1004","100400008","100408","8","24","4101","累積獲得24個★","0","24"
"1004","100400009","100409","9","27","4101","累積獲得27個★","1","27"
"1004","100400010","100410","10","30","4101","累積獲得30個★","0","30"
"1004","100400011","100411","11","33","4101","累積獲得33個★","0","33"
"1004","100400012","100412","12","36","4101","累積獲得36個★","1","36"
"1004","100400013","100413","13","39","4101","累積獲得39個★","0","39"
"1004","100400014","100414","14","42","4101","累積獲得42個★","0","42"
"1004","100400015","100415","15","45","4101","累積獲得45個★","1","45"
"1004","100400016","100416","16","48","4101","累積獲得48個★","0","48"
"1004","100400017","100417","17","51","4101","累積獲得51個★","1","51"
"1004","100400018","100418","18","54","4101","累積獲得54個★","0","54"
