bf4f95cc86cf6d04cb4d28f0df476b6896b7f00b847363c977a38ef4c06fc46c,508b936144a7467ec5000ca2cdfa0bb2f27431d7c374851fb61a9e62978b05be,6ac43578b1dcf01cbec62c77ac1d1e058c8c479b8fcdb525fd56f7f7d565f832,efadb7649f8b6c81f5c5427870b671139ee845a46a689b36eb694eed06aacd5a,3a72a92dab912354bf6c9e41686831a3d0d18f3f874909de5e4a7d90f3b3c72c,f75ff9667c462e908a522beb21595f824aa94a6c39157257b9646b47406934eb,0b0fd78aa65790da84b6bfd0d47b052211ae76ebf1a5cf3650229ee5509098ed,3615a14a91d37423c13e19f3bb98a884ce0f06b4d29e508b9f30fb73f629b0de,5baecdb6555ce18ec51bb45c00f966ef7a41357f39e7a11789f8c3fd159b4952
"32000101","7008","1002","所有玩家合力打倒100,000次蠻賊三姊妹","1","1","1010","100000","32000101"
"32000102","7008","1002","所有玩家合力打倒150,000次蠻賊三姊妹","2","1","1010","150000","32000102"
"32000103","7008","1002","所有玩家合力打倒200,000次蠻賊三姊妹","3","1","1010","200000","32000103"
"32000104","7008","1003","所有玩家合力打倒100,000次芙蕾雅","4","1","1010","100000","32000104"
"32000105","7008","1003","所有玩家合力打倒150,000次芙蕾雅","5","1","1010","150000","32000105"
"32000106","7008","1003","所有玩家合力打倒200,000次芙蕾雅","6","1","1010","200000","32000106"
"32000107","7008","1004","所有玩家合力打倒200,000次阿剌克涅","7","0","1010","200000","32000107"
"32000108","7008","1004","所有玩家合力打倒300,000次阿剌克涅","8","0","1010","300000","32000108"
"32000109","7008","1004","所有玩家合力打倒400,000次阿剌克涅","9","0","1010","400000","32000109"
"32000110","7007","1001","挑戰1次成群的寶石蜘蛛","10","1","1009","1","32000110"
"32000111","7007","1002","打倒1次蠻賊三姊妹","11","1","1009","1","32000111"
"32000112","7007","1003","打倒1次芙蕾雅","12","1","1009","1","32000112"
"32000113","7007","1004","打倒1次阿剌克涅","13","0","1009","1","32000113"
