0b9429bd2995aa0f1e27759c1fff2c3442b070612ea2561192bab6892ed6d331,2dc66d58d6309e51e09667bc103011831eadc318314473feb9a67907abb54b7f,eb2ce3af8a6353bec3951086d37238f65ccf8cae6e39167a13f2179120274cc8,61f2ff4b5686ef855a4bd3b3a6a50ecb3433f7d36a0401d67998416dd14122be,1defc32c0c1c66f2fb8d9b8238cb0f3199dbfe402fe14fbd5ead0b7e4c6fb43f
"1","12","100101","94002","5000000"
"2","2","100102","90008","2000"
"3","2","100103","25001","20"
"4","2","100104","90008","2500"
"5","2","100105","25001","30"
"6","8","100106","91002","300"
"7","2","100107","41000","1"
"8","12","100108","94002","5000000"
"9","12","100109","94002","1000000"
"10","12","100110","94002","1000000"
"11","12","100111","94002","1000000"
"12","2","100112","20004","400"
"13","2","100113","20004","300"
"14","2","100114","20004","200"
"15","12","100115","94002","1000000"
"16","12","100116","94002","1000000"
"17","12","100117","94002","1000000"
"18","2","100118","20004","400"
"19","2","100119","20004","300"
"20","2","100120","20004","200"
"21","12","100121","94002","1000000"
"22","12","100122","94002","1000000"
"23","12","100123","94002","1000000"
"24","2","100124","20004","400"
"25","2","100125","20004","300"
"26","2","100126","20004","200"
"27","12","100201","94002","5000000"
"28","2","100202","90008","2000"
"29","2","100203","25001","20"
"30","2","100204","90008","2500"
"31","2","100205","25001","30"
"32","8","100206","91002","300"
"33","2","100207","41000","1"
"34","12","100208","94002","5000000"
"35","12","100209","94002","1000000"
"36","12","100210","94002","1000000"
"37","12","100211","94002","1000000"
"38","2","100212","20004","400"
"39","2","100213","20004","300"
"40","2","100214","20004","200"
"41","12","100215","94002","1000000"
"42","12","100216","94002","1000000"
"43","12","100217","94002","1000000"
"44","2","100218","20004","400"
"45","2","100219","20004","300"
"46","2","100220","20004","200"
"47","12","100221","94002","1000000"
"48","12","100222","94002","1000000"
"49","12","100223","94002","1000000"
"50","2","100224","20004","400"
"51","2","100225","20004","300"
"52","2","100226","20004","200"
"53","12","100301","94002","5000000"
"54","2","100302","90008","2000"
"55","2","100303","25001","20"
"56","2","100304","90008","2500"
"57","2","100305","25001","30"
"58","8","100306","91002","300"
"59","2","100307","41000","1"
"60","12","100308","94002","5000000"
"61","12","100309","94002","1000000"
"62","12","100310","94002","1000000"
"63","12","100311","94002","1000000"
"64","2","100312","20004","400"
"65","2","100313","20004","300"
"66","2","100314","20004","200"
"67","12","100315","94002","1000000"
"68","12","100316","94002","1000000"
"69","12","100317","94002","1000000"
"70","2","100318","20004","400"
"71","2","100319","20004","300"
"72","2","100320","20004","200"
