e2ae9f3e597f55878b848903a33362683a3244a1c8aca2120f33cd2bdacf9bb9,a50bc20f19c9292141762d101641c8390dd62b36a11961bf9469fb7801e9cb53,ebf5a44ecb5a9c2e63d5353bd2663fc0debb5f4eb149788ba253954edd057236,be52ab5a56f777fbd8de41efb7a6b771587b8ea5b7f1e6824b39996a7d1dc8d0,ef5e890583fec9f52c034a1c1f2bfd8675fea94dd0641e675552733fb9484788,c01a8457230a43ca611e3cc5571c2b77e6929a7a0fb83800fbf34c0167c3f1a6,bb667c377ab101e4067c7082f961862d60759235b9f4e74fc6cc3ee5ad931277,418ef8910734f85374d5b86e5b08c2929c76c106cfa3b960f3c685094012eba5,15ed4ea581bda11f8ac07969f3654030734db9a17d70b337c3d0dfa30f9968ac,5993a58500b15cfbc44de4a4411be54b20927d4deca706d4fe8215af1bfb3a4c,abcf8fda8f473b3bd8cccd11513c96b92fafe36504d58390057e2f74f1dd8395
"哥哥爭奪戰！\n誰的巧克力更好吃SHOW","2030/12/31 15:00:00","2020-06-22 16:00:00","2030/12/31 15:00:00","bgm_M199_juke","1002","","來動手製作\n充滿愛意的巧克力蛋糕吧！\n超可愛的點擊遊戲！","bgm_M199","10000","1001"
"空花大旋轉\n飛行絕頂體驗","2030/12/31 15:00:00","2020-06-22 16:00:00","2030/12/31 15:00:00","bgm_M227_juke","1003","","大旋轉！空花！\n最棒的絕頂體驗就在這裡！\n一起往上飛翔，空中的旅行！","bgm_M227","10000","1002"
"香織的靈魂式空手道場","2030/12/31 15:00:00","2020-06-22 16:00:00","2030/12/31 15:00:00","bgm_M249_juke","1004","","這就是琉球魂！\n打倒蜂擁而上的奄美魔物\n令人爽快的動作遊戲！","bgm_M249","10000","1003"
"大激戰！龍人們的接龍競賽","2030/12/31 15:00:00","2020-06-22 16:00:00","2030/12/31 15:00:00","bgm_M277_juke","1005","","戰鬥白熱化！\n龍族巢穴流的\n單挑動動腦接龍！","bgm_M277","10000","1004"
"啾啾大恐慌！\n保衛起司大作戰！","2030/12/31 15:00:00","2020-09-01 16:00:00","2030/12/31 15:00:00","bgm_M355_Lofi_juke","1006","","你有辦法保護好起司嗎！？\n考驗瞬發力的\n訓練反射神經休閒小遊戲！","bgm_M355_Lofi","10000","1005"
"猛訓打擊道！\n美里的全壘打訓練場","2030/12/31 15:00:00","2021-01-06 16:00:00","2030/12/31 15:00:00","bgm_M399","1007","","目標成為全壘打強打！\n掌握關鍵時機擊球的\n運動類型動作小遊戲！","bgm_M399","10000","1006"
"慈樂之音的夏日演唱會\n演唱會會場 周邊區 ","2030/12/31 15:00:00","2022-01-03 16:00:00","2030/12/31 15:00:00","bgm_M500","1008","","慈樂之音粉絲大興奮！\n獲得演唱會加油周邊，\n成為「慈樂之音神推」為目標！","bgm_M500","10000","1007"
"宮子廚房　通往究極之路","2030/12/31 15:00:00","2022-04-25 16:00:00","2030/12/31 15:00:00","bgm_M540","1009","","Let's cooking！\n和宮子一起製作蒐集布丁，\n精通布丁之道吧！","bgm_M540","10000","1008"
"Happy Anniv.特別版　\n蘭德索爾猜謎連結！","2022/08/01 21:00:00","2022-08-01 21:00:00","2022/08/21 23:59:59","bgm_M569","1010","蘭德索爾猜謎連結！","5人小隊合力挑戰各式各\n樣類型的謎題！\n以當上猜謎公主為目標吧！","bgm_M569","0","1009"
"飛奔吧常夏！\n極限沙灘搶旗","2030/12/31 15:00:00","2022-11-25 16:00:00","2030/12/31 15:00:00","bgm_M605","1011","","於沙灘上奔馳的公主！\n挑戰亂七八糟的路線的\n南島沙灘搶旗！","bgm_M605","10000","1010"
"凱留與鈴奈的\n放學後的猜謎讀書會","2030/12/31 15:00:00","2024-01-17 16:00:00","2030/12/31 15:00:00","bgm_MC068","1012","放學後的猜謎讀書會　{0}","目標是全部答對！\n與凱留和鈴奈在放學後的教室中\n進行兩人獨處的猜謎讀書會！","bgm_MC068","10000","1012"
"惠理子和真琴的\n行軍A-Go-Go！","2030/12/31 15:00:00","2024-08-15 16:00:00","2030/12/31 15:00:00","bgm_MC141","1013","行軍A-Go-Go！","前往突破魔物橫行的街道！\n率領【王宮騎士團】\n的士兵們，挑戰訓練吧！","bgm_MC141","10000","1013"
"衝突！破壞！\n非法坦克大戰","2030/12/31 15:00:00","2025-03-15 16:00:00","2030/12/31 15:00:00","bgm_MC199_Battle","1014","衝突！破壞！\n非法坦克大戰","戰車戰鬥大會，開幕！\n用組裝起來的原創戰車，\n爭取冠軍吧！","bgm_MC199","10000","1014"
