a45e6b0bbc3d9ede8a1b188e36a0d06a002e9cbad4aa3db82ded2c53851708e0,806df8b3a83e0c16fb2cc20df0b172c3eebfc66706aa286d13d5e9f2d375b4f2,d1767c7356cb14167b6e15d3d99a3f97226241d9c1a4eae76d37ee79372a628e,be98ec47b250fa5c90e1421d7179352eb57bcb0ea3ecdcddcac1262ec8a16773
"1001","180701","4","1"
"1002","180701","4","2"
"1003","180701","4","3"
"1004","180701","4","4"
"1005","180701","4","5"
"1014","180701","2","6"
"1015","180701","2","7"
"1016","180701","2","8"
"1017","180701","2","9"
"1010","180701","2","10"
"1011","180701","2","11"
"1012","180701","2","12"
"1013","180701","2","13"
"1001","180801","6","14"
"1002","180801","6","15"
"1003","180801","6","16"
"1004","180801","6","17"
"1005","180801","6","18"
"1014","180801","3","19"
"1015","180801","3","20"
"1016","180801","3","21"
"1017","180801","4","22"
"1010","180801","3","23"
"1011","180801","3","24"
"1012","180801","3","25"
"1013","180801","3","26"
"1009","180801","3","27"
"1001","180901","4","28"
"1002","180901","4","29"
"1003","180901","4","30"
"1004","180901","4","31"
"1005","180901","4","32"
"1014","180901","2","33"
"1015","180901","2","34"
"1016","180901","2","35"
"1017","180901","4","36"
"1010","180901","2","37"
"1011","180901","2","38"
"1012","180901","2","39"
"1013","180901","2","40"
"1001","181001","4","41"
"1002","181001","4","42"
"1003","181001","4","43"
"1004","181001","4","44"
"1005","181001","4","45"
"1009","181001","2","46"
"1010","181001","2","47"
"1011","181001","2","48"
"1012","181001","2","49"
"1013","181001","2","50"
"1014","181001","2","51"
"1015","181001","2","52"
"1016","181001","2","53"
"1017","181001","2","54"
"1001","181101","4","55"
"1002","181101","4","56"
"1003","181101","4","57"
"1004","181101","4","58"
"1005","181101","4","59"
"1009","181101","2","60"
"1010","181101","2","61"
"1012","181101","2","62"
"1013","181101","2","63"
"1014","181101","2","64"
"1015","181101","2","65"
"1016","181101","2","66"
"1017","181101","2","67"
