a3005c41b4397d744cbfadc16610f6e3e64814ee01f121279d17ccdb29510b7c,afbecff64890c5a185038d88902fe3597aa8e25ba2d59dd81225fb310d358523,e7de80af0e0211e9962aa3e1ca8eea3daf1aefe408d9dd1aa99eb7113fe589d5,ad54abdbc9bb360cffba1051631442d34c49893797eb065df578a0f1a2ae751f,6d60dfa2c91ca43970682f034a2b45a58c3946a14d59422a726e06083201f80b,8d814a2b5122c133e6efb937e8f9b438cc792228f23ecbf06fc2af87209b5d7d,627f5652912cb776bc29568128afda017ffabeae298f2b7a12a8ecee2b1d382c,e226a69fb694fcd23219f19d018eea9b80747092b70ce57c4837e72f1b326d5b,5c96bd71a3af5fd97d0790258c92dad135919c7f4851685658841d8584488164,3dbf21df1e67ca1170d3f9ea2f9d435723725536ee1c9946f92fa8963072e9cc,be0a5859d59d0f2c3f0e70ea0e208e8c2057b3d4f6c0d95803bfb86de8c4436d,868b63cfb6780d078c8c50243003510c35f50f75d4a0fd9db27474244d31bb79,81c510b1aa7536c0c375a807ae7ea5433a883998726062e490869fb8dfbad3d0,bea46dfaebfd51891a682b918577dcea07bd86240e0d35eed55e12fa50c7181d
"10050","0","0","0","1.7","1005001","100000","10","0","1.5","-30","0","30","2"
"10050","10050101","0.03","-40","1.7","1005001","100000","0","1","1.5","25","0","-17","1"
"10050","0","0","-23","1.7","1005001","100000","10","0","1.5","-47","0","-32","3"
"10050","0","0","0","1.7","1005002","100000","10","0","1.5","-30","0","30","2"
"10050","10050201","0.03","-40","1.7","1005002","100000","0","1","1.5","25","0","-17","1"
"10050","0","0","-23","1.7","1005002","100000","10","0","1.5","-47","0","-32","3"
"10050","0","0","0","1.7","1005003","100000","10","0","1.5","-30","0","30","2"
"10050","10050301","0.03","-40","1.7","1005003","100000","0","1","1.5","25","0","-17","1"
"10050","0","0","-23","1.7","1005003","100000","10","0","1.5","-47","0","-32","3"
"10050","0","0","0","1.7","1005004","100000","10","0","1.5","-30","0","30","2"
"10050","10050401","0.03","-40","1.7","1005004","100000","0","1","1.5","25","0","-17","1"
"10050","0","0","-23","1.7","1005004","100000","10","0","1.5","-47","0","-32","3"
"10050","0","0","0","1.7","1005005","100000","10","0","1.5","-30","0","30","2"
"10050","0","0.03","-40","1.7","1005005","100000","0","1","1.5","25","0","-17","1"
"10050","0","0","-23","1.7","1005005","100000","10","0","1.5","-47","0","-32","3"
"10077","0","0","0","1.7","1007701","100000","10","0","1.5","-30","0","30","2"
"10077","10077101","0.03","-40","1.7","1007701","100000","0","1","1.5","25","0","-17","1"
"10077","0","0","-23","1.7","1007701","100000","10","0","1.5","-47","0","-32","3"
"10077","0","0","0","1.7","1007702","100000","10","0","1.5","-30","0","30","2"
"10077","10077201","0.03","-40","1.7","1007702","100000","0","1","1.5","25","0","-17","1"
"10077","0","0","-23","1.7","1007702","100000","10","0","1.5","-47","0","-32","3"
"10077","0","0","0","1.7","1007703","100000","10","0","1.5","-30","0","30","2"
"10077","10077301","0.03","-40","1.7","1007703","100000","0","1","1.5","25","0","-17","1"
"10077","0","0","-23","1.7","1007703","100000","10","0","1.5","-47","0","-32","3"
"10077","0","0","0","1.7","1007704","100000","10","0","1.5","-30","0","30","2"
"10077","10077401","0.03","-40","1.7","1007704","100000","0","1","1.5","25","0","-17","1"
"10077","0","0","-23","1.7","1007704","100000","10","0","1.5","-47","0","-32","3"
"10077","0","0","0","1.7","1007705","100000","10","0","1.5","-30","0","30","2"
"10077","0","0.03","-40","1.7","1007705","100000","0","1","1.5","25","0","-17","1"
"10077","0","0","-23","1.7","1007705","100000","10","0","1.5","-47","0","-32","3"
"10088","10088101","0.03","-50","0.84","1008801","100000","10","1","0.92","-25","0","-13","1"
"10088","0","0","-50","0.7","1008801","100000","0","0","0.8","-25","0","13","2"
"10088","10088201","0.03","-50","0.84","1008802","100000","10","1","0.92","-25","0","-13","1"
"10088","0","0","-50","0.7","1008802","100000","0","0","0.8","-25","0","13","2"
"10088","10088301","0.03","-50","0.84","1008803","100000","10","1","0.92","-25","0","-13","1"
"10088","0","0","-50","0.7","1008803","100000","0","0","0.8","-25","0","13","2"
"10088","10088401","0.03","-50","0.7","1008804","100000","10","1","0.92","-30","0","-17","1"
"10088","0","0","-50","0.6","1008804","100000","0","0","0.8","-30","0","30","2"
"10088","0","0.03","-50","0.7","1008805","100000","10","1","0.92","-30","0","-17","1"
"10088","0","0","-50","0.6","1008805","100000","0","0","0.8","-30","0","30","2"
"20029","0","0","0","1.7","2002901","100000","10","0","1.5","-30","0","30","2"
"20029","20029101","0.03","-40","1.7","2002901","100000","0","1","1.5","25","0","-17","1"
"20029","0","0","-23","1.7","2002901","100000","10","0","1.5","-47","0","-32","3"
"20029","0","0","0","1.7","2002902","100000","10","0","1.5","-30","0","30","2"
"20029","0","0.03","-40","1.7","2002902","100000","0","1","1.5","25","0","-17","1"
"20029","0","0","-23","1.7","2002902","100000","10","0","1.5","-47","0","-32","3"
"20029","0","0","0","1.7","2002903","100000","10","0","1.5","-30","0","30","2"
"20029","0","0.03","-40","1.7","2002903","100000","0","1","1.5","25","0","-17","1"
"20029","0","0","-23","1.7","2002903","100000","10","0","1.5","-47","0","-32","3"
"20029","0","0","0","1.7","2002904","100000","10","0","1.5","-30","0","30","2"
"20029","0","0.03","-40","1.7","2002904","100000","0","1","1.5","25","0","-17","1"
"20029","0","0","-23","1.7","2002904","100000","10","0","1.5","-47","0","-32","3"
"20029","0","0","0","1.7","2002905","100000","10","0","1.5","-30","0","30","2"
"20029","0","0.03","-40","1.7","2002905","100000","0","1","1.5","25","0","-17","1"
"20029","0","0","-23","1.7","2002905","100000","10","0","1.5","-47","0","-32","3"
"10115","10115101","0.03","-50","0.84","1011501","100000","10","1","0.92","-25","0","-13","1"
"10115","0","0","-50","0.7","1011501","100000","0","0","0.8","-25","0","13","2"
"10115","10115201","0.03","-50","0.84","1011502","100000","10","1","0.92","-25","0","-13","1"
"10115","0","0","-50","0.7","1011502","100000","0","0","0.8","-25","0","13","2"
"10115","10115301","0.03","-50","0.84","1011503","100000","10","1","0.92","-25","0","-13","1"
"10115","0","0","-50","0.7","1011503","100000","0","0","0.8","-25","0","13","2"
"10115","10115401","0.03","-50","0.7","1011504","100000","10","1","0.92","-30","0","-17","1"
"10115","0","0","-50","0.6","1011504","100000","0","0","0.8","-30","0","30","2"
"10115","0","0.03","-50","0.7","1011505","100000","10","1","0.92","-30","0","-17","1"
"10115","0","0","-50","0.6","1011505","100000","0","0","0.8","-30","0","30","2"
"20048","0","0.03","-50","0.84","2004801","100000","10","1","0.92","-25","0","-13","1"
"20048","0","0","-50","0.7","2004801","100000","0","0","0.8","-25","0","13","2"
"20048","0","0.03","-50","0.84","2004802","100000","10","1","0.92","-25","0","-13","1"
"20048","0","0","-50","0.7","2004802","100000","0","0","0.8","-25","0","13","2"
"20048","0","0.03","-50","0.84","2004803","100000","10","1","0.92","-25","0","-13","1"
"20048","0","0","-50","0.7","2004803","100000","0","0","0.8","-25","0","13","2"
