64681a8f83aa32a6e05e28da34da95bc283952ae04f6982a89e3582bd99417cb,d6cb954e632c41343c2711bd868d1f91eca7bea75552ca9bb1717d050acedb93,fe6c308b7f2b1b35ea2442424a1686279dfa6d9fce38c176d3398788e44119f8,c47aad3e40573108ce805bedb51d1469fd7f2ae56349eecab23684e858807e3a,ab531d6cd7225fbf179fa6d7abcd5d7593f4cd01fcdc64480ac85116a354b1fe,c2285b4b06229ddc2858b496b884e1bfe04dc082fb913c37b13b8644c4f25fcc,ba43c312f404f8a6382550507f61746acf0affdc0b97ee641539cea65d22addf,fb19b6dda9f45e950b078bc3fa7a5b060e15b6c873de89c4e11ad272531d3589
"100","1","未鑑定的平凡寶物","未鑑定的\n平凡寶物","1","200","53001","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。"
"200","1","未鑑定的貴重寶物","未鑑定的\n貴重寶物","2","400","53002","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。鑑定完後，有時候稀有度會上升。"
"400","1","未鑑定的頂級寶物","未鑑定的\n頂級寶物","3","800","53003","內容不明的神祕寶物。拿至公會管理協會辦事處，可以請花凜協助鑑定。"
"100","0","平凡寶石","平凡寶石","1","200","53004","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。"
"200","0","貴重寶石","貴重寶石","2","400","53005","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。"
"400","0","頂級寶石","頂級寶石","3","800","53006","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。"
"100","0","平凡金屬塊","平凡金屬塊","1","200","53007","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。"
"200","0","貴重金屬塊","貴重金屬塊","2","400","53008","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。"
"400","0","頂級金屬塊","頂級金屬塊","3","800","53009","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。"
"100","0","平凡卷軸","平凡卷軸","1","200","53010","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。"
"200","0","貴重卷軸","貴重卷軸","2","400","53011","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。"
"400","0","頂級卷軸","頂級卷軸","3","800","53012","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。"
"100","0","平凡皇冠","平凡皇冠","1","200","53013","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。"
"200","0","貴重皇冠","貴重皇冠","2","400","53014","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。"
"400","0","頂級皇冠","頂級皇冠","3","800","53015","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。"
"100","0","平凡符文","平凡符文","1","200","53016","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。"
"200","0","貴重符文","貴重符文","2","400","53017","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。"
"400","0","頂級符文","頂級符文","3","800","53018","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。"
"100","0","平凡王冠","平凡王冠","1","200","53019","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。"
"200","0","貴重王冠","貴重王冠","2","400","53020","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。"
"400","0","頂級王冠","頂級王冠","3","800","53021","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。"
"100","0","平凡古遺物","平凡古遺物","1","200","53022","平凡寶物。拿至公會管理協會辦事處，可換取低額巡遊幣。"
"200","0","貴重古遺物","貴重古遺物","2","400","53023","稀有寶物。拿至公會管理協會辦事處，可換取巡遊幣。"
"400","0","頂級古遺物","頂級古遺物","3","800","53024","非常稀有寶物。拿至公會管理協會辦事處，可換取高額巡遊幣。"
