0a57f0fd688f91786666f926cd87d9b1c57b0ce0b7a79a25040e82a130a4eaa5,1ba315695c73b3498429dc8948c91834d0210a95ddc15cb47f317907c79b9f71,8278d371d8061b3e6a5e9e464de58c3895c5c3b7f9268c123b27051525ea6c33,554d1a01ed566094baf3e7c8d235958e3fc7dacaeca15ea3bea4af872e0ef4af,72d96de70861175c12124164a1e1c4ec87230f8e5748aeb738a833065d1f9ba3
"25011","1000","32000101","2","320001011"
"25012","1000","32000101","2","320001012"
"25013","1000","32000102","2","320001021"
"25014","1000","32000102","2","320001022"
"91002","1000","32000103","8","320001031"
"94002","3000000","32000103","12","320001032"
"25015","1000","32000103","2","320001033"
"25021","1000","32000103","2","320001034"
"25013","1000","32000104","2","320001041"
"25014","1000","32000104","2","320001042"
"25012","1000","32000105","2","320001051"
"25015","1000","32000105","2","320001052"
"91002","1000","32000106","8","320001061"
"94002","3000000","32000106","12","320001062"
"25011","1000","32000106","2","320001063"
"25021","1000","32000106","2","320001064"
"25014","1000","32000107","2","320001071"
"25015","1000","32000107","2","320001072"
"25011","1000","32000108","2","320001081"
"25013","1000","32000108","2","320001082"
"91002","1000","32000109","8","320001091"
"94002","3000000","32000109","12","320001092"
"25012","1000","32000109","2","320001093"
"25021","1000","32000109","2","320001094"
"25011","3000","32000110","2","320001101"
"25012","3000","32000110","2","320001102"
"25013","3000","32000110","2","320001103"
"25014","3000","32000110","2","320001104"
"25015","3000","32000110","2","320001105"
"25011","3000","32000111","2","320001111"
"25012","3000","32000111","2","320001112"
"25013","3000","32000111","2","320001113"
"25014","3000","32000111","2","320001114"
"25015","3000","32000111","2","320001115"
"25011","3000","32000112","2","320001121"
"25012","3000","32000112","2","320001122"
"25013","3000","32000112","2","320001123"
"25014","3000","32000112","2","320001124"
"25015","3000","32000112","2","320001125"
"21953","1","32000113","2","320001131"
"25021","2000","32000113","2","320001132"
