8191eb0db9a9e249845b6f021c80747fe0bd15c892723e846ee4b768af448988,6a0ddc288541d99aa0a2c4479402fa6b8c0068cdf4059b1361bad0f071fb896f,49483517755f54e8b4f43f96c194b674611bf98b94f11500074d2db393182ca8,24b1e8c069b316afea1d224eadd39b2cdc072b3fffc9297f1b70489d82dc5e5d,c40ea4e41cdfc60b2d6946464a159fc03c125fc8991920cd5fd62a8baf0506e0,da8cfd8d0531af7b83923dc23e4a4938ecc0eb97d84fa5d1bb03bbb015cd5b44,7ba51f21d2070d49c6dd265a2765becfdc8102947fc6041092aecf98a741ce4b,f74e44a59cc7f82b12f120bb98ae94ae073c51126cf45f8cc1ff2f050b04f08e,c3d1c7bd77d242de44a71ac100de18aaac6928f9dc417734e438a6fb97da41a0,e461e18f5dc70338a63f55a9981e42c557195c6deda5fca06bd41c6a2f020054,65f0790f1c6617c35bd2b7d63086d5662a2a78771b2fdfb8da0e7ce6fb2b8c47,ce47710ee3e1a7c075eb901d19a085ee55eaf2f941ce712b78a134b487625a0e,56a3746fabca9005f38617878553d3fd4dba8632b56c07ff4d7def7781d7cc30,4b8cb777dcd94ec33f9f94ed025b3f9365968f7dc4b7b802f7a2cb290de48156,0bef1f2de10fbd8183ec952037685e4fcc0ad448bb639bb049bc7f764a747338,497a85f7ada8e355cfa22d0fa3352ad729b03a2d1ecb6d6c6e45c1ddb4a11b7f,ba44eabc628e46fadd7f32e5241dddb2f93f8669f908a735da46ee6c050fb27e,dbf0124096f137e4b929ed9fd7d7e2b3b2f6ed2dcf85d1c544820273c206a464,cb303f21090af02109bf9b3fff9e83e22eaa97d0a19d48a4dd4cc4f7c2dcb81a,f5877e1d4b678eeb1297b283b0dc17395ccd99f457c400d0291fa903f049c9ed
"1","1","1001","6","6","把你變成布丁喲","21938","19969","把你變成布丁喲","35722","6","這個的名稱是什麼？","1001","1","6","25104","變成布丁喲","「宮子」的口頭禪，同時也是其必殺技名稱的詞語。","6","24067"
"1","1","1008","6","6","蘭德索爾盃","30403","29246","","34349","6","這個的名稱是什麼？","0","1","6","24503","蘭德索爾盃","每半年舉行一次的障礙物賽跑。來猜猜四名跑者中哪一名角色會跑第一吧！","6","32034"
"1","1","1010","6","6","斬擊暴風雨","38632","39080","","26028","6","這個的名稱是什麼？","0","1","6","25802","斬擊暴風雨","「怜（★6）」的必殺技。","6","26292"
"1","1","1011","6","6","歡樂軟綿綿突擊","32191","32191","歡樂軟綿綿突擊","27489","6","這個的名稱是什麼？","0","1","6","27138","歡樂軟綿綿","「莉瑪（★6）」的必殺技。","6","36575"
"2","1","1012","6","6","喵咪喵咪幻影大暴走","36208","26292","喵咪喵咪幻影大暴走","24187","6","這個的名稱是什麼？","0","1","6","24433","幻影大暴走","「珠希（★6）」的必殺技。","6","22823"
"2","1","1013","6","6","七七香‧∞‧閃亮","20142","38275","","19971","6","這個的名稱是什麼？","0","1","6","19971","七七香閃亮","「七七香（★6）」的必殺技。","6","39321"
"2","1","1014","6","6","認知與發展性的哲學","24615","23637","認知與發展性的哲學","35469","6","這個的名稱是什麼？","0","1","6","30693","認知發展性","「優妮」的必殺技。","6","30332"
"2","1","1015","3","3","心型Love颶風","101","118","心型Love颶風","24515","2","這個的名稱是什麼？","0","1","6","76","心Love","「伊緒（★6）」的必殺技。","3","111"
"2","1","1016","6","6","兔子先生旋風","26059","29983","","20820","6","這個的名稱是什麼？","0","1","6","23376","兔子先生旋","「美美（★6）」的必殺技。","6","20808"
"2","1","1017","6","6","忍法‧烈火之紅蓮旋風","34030","32005","忍法‧烈火之紅蓮旋風","28872","6","這個的名稱是什麼？","0","1","6","28779","烈火之紅蓮","「妮諾（★6）」的必殺技。","6","20043"
"1","1","1018","6","6","不死鳥之終結","32080","32066","不死鳥之終結","19981","6","這個的名稱是什麼？","0","1","6","27515","不死鳥終結","「咲戀（★6）」的必殺技。","6","40165"
"2","1","1019","6","6","伊麗莎白聯合攻擊","21512","32879","伊麗莎白聯合攻擊","20234","6","這個的名稱是什麼？","0","1","6","40599","伊麗莎聯合","「真陽（★6）」的必殺技。","6","33678"
"2","1","1020","6","6","宇宙藍色行星","26143","34892","宇宙藍色行星","23431","6","這個的名稱是什麼？","0","1","6","23449","宇宙藍行星","「鏡華（★6）」的必殺技。","6","34253"
"2","1","1021","6","6","噗吉旋風全壘打","25171","22744","噗吉旋風全壘打","22103","6","這個的名稱是什麼？","0","1","6","21513","噗吉全壘打","「綾音（★6）」的必殺技。","6","20840"
"1","1","1022","6","6","天樓霸斷劍","21133","26039","","22825","6","這個的名稱是什麼？","0","1","6","27155","天樓霸斷劍","「矛依未」的必殺技。","6","38712"
"1","1","1023","6","6","切嚕切嚕☆大滅絕","32085","28357","切嚕切嚕☆大滅絕","22165","6","這個的名稱是什麼？","0","1","6","20999","嚕切大滅絕","「琪愛兒」的必殺技。","6","22823"
"2","1","1067","6","6","安全撤離路線","32218","36335","安全撤離路線","20840","6","這個的名稱是什麼？","0","2","6","25764","全撤離路線","登山時，改變預定行程後用以下山的路徑。","6","38626"
"3","1","1068","6","6","有金屬爪的鞋子","23376","38795","有金屬爪的鞋子","37329","6","這是什麼？","0","2","6","23660","金屬爪鞋子","請解釋「冰爪鞋套」","6","29226"
