ddc9c5722cc60378e309e4ef60e0bf0fb3f098c9e440a47ca58e3647d73c60e3,ca2727eab1e8beeb66f6d3a96d6cfde0e370fef0a4b50e5858bdc78247ef255f,9b3980d5f282c21ae16ef5a8c7a97be5d53a619abb35b65047a5caa0abfa5e7b,f058415a65371d4a081a345b5024dc9ccb764b035e83e1a2451b530b4d48890c,217d8750f1ef4b7b650a4350ecaa87bd649850e4a527b5648ecd16f706cc5d16,96f39bfac8247087b5b7a8bbfbf501f63b2e0e81a9adf46208c0d5cf276007c8,6fd59394fdd70d3ac862cb4dcaed079595e2ea066d1798e2c7dac76ede29e124,1dea514ef17fe1a787b20c25f08687660b3828cc368960139409ffe944fc32ea,6697f8dcd531ea426841fa026f21053cb620ca1f245f52285d018849c1581766,f678940f0a87c18aa66e200abf6fab5d77a074f6319dc9a3426d823e2347fdb6,dbf1b21dfb074e7ea934d1a9f8562aa3e4d386212c1d748fc52eede14cdbebcd,8bcaabaa6339a13e514433667740796bce2663780bdd891dc3ca47061a948fba,4c54f626441e10cd07790faa69e6bfe62f5c47cb984c5049ed07bbbc9b926237,7d3a8ce6c4cb73224410c68ddb2a33ac4ad956f6e780a4c01bc7f5bc3c6a8d57,18e31ddd4abad197fa7e1a024e205c24b21ac8a96cb240e06b7a444985d22b79,1c381a2217a8a49d106829b0ae81f4b24f22179e1475235fd924eec5cf7334ab,52566940f146fbeeb73c98e16fb93cb35f1057569a5a3a2285c0c8b2542b34f4,ee1944538467776b20e5f17734c2c9707317f4387f19320d85269116436051d1
"12","0","0","0","累積獲得分數2000點","0","0","0","0","0","0","0","0","20000","2000","1","0","94002"
"12","0","0","0","累積獲得分數4000點","0","0","0","0","0","0","0","0","30000","4000","2","0","94002"
"8","0","0","0","累積獲得分數8000點","0","0","0","0","0","0","0","0","25","8000","3","0","91002"
"12","0","0","0","累積獲得分數10000點","0","0","0","0","0","0","0","0","40000","10000","4","0","94002"
"12","0","0","0","累積獲得分數12000點","0","0","0","0","0","0","0","0","50000","12000","5","0","94002"
"2","0","0","0","累積獲得分數14000點","0","0","0","0","0","0","0","0","20","14000","6","0","23001"
"8","0","0","0","累積獲得分數18000點","0","0","0","0","0","0","0","0","50","18000","7","0","91002"
"12","0","0","0","累積獲得分數21000點","0","0","0","0","0","0","0","0","70000","21000","8","0","94002"
"12","0","0","0","累積獲得分數24000點","0","0","0","0","0","0","0","0","80000","24000","9","0","94002"
"8","0","0","0","累積獲得分數27000點","0","0","0","0","0","0","0","0","75","27000","10","0","91002"
"2","0","0","0","累積獲得分數35000點","0","0","0","0","0","0","0","0","50","35000","11","0","23001"
"8","0","0","0","累積獲得分數40000點","0","0","0","0","0","0","0","0","100","40000","12","0","91002"
"12","0","0","0","累積獲得分數45000點","0","0","0","0","0","0","0","0","100000","45000","13","0","94002"
"15","0","0","0","累積獲得分數50000點","0","0","0","0","0","0","0","0","1","50000","14","0","11001086"
