0f0db590e48073179d0b9a894274e3f25cf6c65dfa0ddb83e22f7c7ab50f59d2,7faa3e0a19334e1b0d16422a3bf59d64980d16bef28a311785a412c15a379f1d,336f79ef7201f1e1ad4d2a501647bd7b471212401557c90f3de5e1f2dd528537,6831250654718fdf3ceee4e633b0eb4201f4f13eb5b917e8cc37405a15eb7df2,ae935cb83bc709675d4c01164646adbb6e48ec010c4b17614dddb130088c4839,cebb7312776aab28324e446b19d3d1a7c23a0e3a188b356c1b078091803f6b9b,f4ecfc2410d971b56ca8aeb639397274de6d9f88d1b37df5c929c419c081632e,89104b609d7c27e155a285e709e7c6b4b88bd1dfe0b0c1ffc5d57389989c7da0,9e09a7d048c668ee98b186cfa036d711fed4b6ca8f6201ff9a25263515d2e83f,458c6c6eb6500be6e852d93a7d60619c7f086cd9e0a63e2c4619dc4153c47b97,23b8be48a81f4fdce41a2a5908e91b5aae5fd393eb27bbda7daa2430c64ec42a,b8cc64fa2c49df9037fed3dacb9305adfc6682ebce905a2d68c98472922b04f1,fe8ea953781d4e7d5985b0d7fd16e4473cd9c6adf8d9909b4e81b9ea5a9af679,88d380fff3f79f264fbc0e145fdb7750730e5e2c640873481dfa8ebb4fbcb98d
"20001102","20001101","2030/12/31 14:59:59","8004","9003","72001001","完成活動任務1-1 (NORMAL)","2018/01/01 12:00:00","1","601","0","72001001","20001","0"
"20001102","20001102","2030/12/31 14:59:59","8004","9003","72001002","完成活動任務1-2 (NORMAL)","2018/01/01 12:00:00","1","601","0","72001002","20001","0"
"20001102","20001103","2030/12/31 14:59:59","8004","9003","72001003","完成活動任務1-3 (NORMAL)","2018/01/01 12:00:00","1","601","0","72001003","20001","0"
"20001102","20001104","2030/12/31 14:59:59","8004","9003","72001004","完成活動任務1-4 (NORMAL)","2018/01/01 12:00:00","1","601","0","72001004","20001","0"
"20001102","20001105","2030/12/31 14:59:59","8004","9003","72001005","完成活動任務1-5 (NORMAL)","2018/01/01 12:00:00","1","601","0","72001005","20001","0"
"20001102","20001106","2030/12/31 14:59:59","8004","9003","72001006","完成活動任務1-6 (NORMAL)","2018/01/01 12:00:00","1","601","0","72001006","20001","0"
"20001102","20001107","2030/12/31 14:59:59","8004","9003","72001007","完成活動任務1-7 (NORMAL)","2018/01/01 12:00:00","1","601","0","72001007","20001","0"
"20001102","20001108","2030/12/31 14:59:59","8004","9003","72001008","完成活動任務1-8 (NORMAL)","2018/01/01 12:00:00","1","601","0","72001008","20001","0"
"20001102","20001109","2030/12/31 14:59:59","8004","9003","72001009","完成活動任務1-9 (NORMAL)","2018/01/01 12:00:00","1","601","0","72001009","20001","0"
"20001102","20001110","2030/12/31 14:59:59","8004","9003","72001010","完成活動任務1-10 (NORMAL)","2018/01/01 12:00:00","1","601","0","72001010","20001","0"
"20001102","20001111","2030/12/31 14:59:59","8004","9003","72001011","完成活動任務1-11 (NORMAL)","2018/01/01 12:00:00","1","601","0","72001011","20001","0"
"20001102","20001112","2030/12/31 14:59:59","8004","9003","72001012","完成活動任務1-12 (NORMAL)","2018/01/01 12:00:00","1","601","0","72001012","20001","0"
"20001102","20001113","2030/12/31 14:59:59","8004","9003","72001013","完成活動任務1-13 (NORMAL)","2018/01/01 12:00:00","1","601","0","72001013","20001","0"
"20001102","20001114","2030/12/31 14:59:59","8004","9003","72001014","完成活動任務1-14 (NORMAL)","2018/01/01 12:00:00","1","601","0","72001014","20001","0"
"20001102","20001115","2030/12/31 14:59:59","8004","9003","72001015","完成活動任務1-15 (NORMAL)","2018/01/01 12:00:00","1","601","0","72001015","20001","0"
"20001103","20001201","2030/12/31 14:59:59","8005","9003","72001016","完成活動任務1-1 (HARD)","2018/01/01 12:00:00","1","601","0","72001016","20001","0"
"20001103","20001202","2030/12/31 14:59:59","8005","9003","72001017","完成活動任務1-2 (HARD)","2018/01/01 12:00:00","1","601","0","72001017","20001","0"
"20001103","20001203","2030/12/31 14:59:59","8005","9003","72001018","完成活動任務1-3 (HARD)","2018/01/01 12:00:00","1","601","0","72001018","20001","0"
"20001103","20001204","2030/12/31 14:59:59","8005","9003","72001019","完成活動任務1-4 (HARD)","2018/01/01 12:00:00","1","601","0","72001019","20001","0"
"20001103","20001205","2030/12/31 14:59:59","8005","9003","72001020","完成活動任務1-5 (HARD)","2018/01/01 12:00:00","1","601","0","72001020","20001","0"
"20001104","660001101","2030/12/31 14:59:59","8006","9001","72001021","打倒 1 隻席茲（NORMAL限定）","2018/01/01 12:00:00","1","601","0","72001021","20001","0"
"20001104","660001201","2030/12/31 14:59:59","8007","9001","72001022","打倒 1 隻席茲（HARD限定）","2018/01/01 12:00:00","1","601","0","72001022","20001","0"
"20001104","660001301","2030/12/31 14:59:59","8010","9001","72001023","打倒 1 隻席茲（VERY HARD限定）","2018/01/01 12:00:00","1","601","0","72001023","20001","0"
