03df36b5a2a390e51fb447999af119b0ec5d89784f249754f25dc2c33d5a4fdf,1410a49752252b69e2f237b3f87d132b8498ecaad8326581e9de4e8b6281d309,6b0c22caad1d79960809e3b90b6c426274077c7a135d0f7b7dc82703e81b43e0,9c1786adff56cd72a6f7ba60faa5bbdce2504b2c1f734fa0a0790f029614cf6f,47e4d32a0a9ef1525c72f0d967f403106c1a3ac026f4c779ebc6ab73f4eb39fd,6a6f096bcc3012289a3b5d18ff73682f9896f8229988329bc17f40a6c83b06df,b3a58ba168a4c76c652c97f0e951d89506826a3d74df3ea6ef428356e9a6f02d,421f547679489c54671c8e0f60d77da23b822767ef1eadc67165d4bebd145c8d,65e773e1f675ad9afce7ec0d57ff412f5ee02d0883f44490704582fe957bf285,6f1febd313c092992569a2021d4399ae9146c32c95bc908087e67874407b5aba,7e4f639f1786a8bda3bcc4678301cbae47d607f4dc228006dea9e3b8b827f036,54469ac725d468c4ff22964f8498f3f18c9e0af187c006ff753baeeec499bd2a,5976b70d4acd742cc6aefe25d0b12d1ec18d3c91a003f843f143aa93779322a7,94d282e5add1191c24054a04a08fe2ce9f01834a52321cca1a6387b5c7e57505,3059d93a13f86e9e6a4c725af663c8333ec5fda28ee408785c3d40d52510bb57,ac6ce1128e796c5f21079b46b44f89268390a9d7b25b83b76c2ba8d07cecdb92,613fefe9ab6c15772a2b03f0f9b954c0565333c793df71f45e1a4b5f3df1910b,ed4cd90e09c9ec0f96fc13389560bacdf1d0223a582167e1e8841927ffc3ac02,55de24a099fe022a41f48264ab139a034b39bffcc9c0c5dfb8454a08757760e1,b3ee54354c453eb930c617f69d2505db254ed3cf0c66f48baaf99d120e3565a0,dcb2eda3e2203c6c50a9745cdb5970a66e040ff464b42e3c89efcd5a8bfd4991,e0fd01dbf725ec817742c5ad66a094dd07d7d8ca26f26b1cac08882aaa119159,1140b2d067e7eca377698e055e66c27b04f05f5efcb18421573d8c5f62942589,e1e2d71cbd9a8309d3212edebf2e6389e3533ad7a598f6ee82a65376f485b6fa
"1","0","10010101","1002","1001","1002","1001","0","0","0","0","0","3","7","0","0","0","0","0","0","1","0","1","100101"
"1","0","10020101","1002","1001","1002","1001","0","0","1","1","0","3","10","0","0","0","0","0","1001","1","0","1","100201"
"1002","0","10030101","1","1","1","1001","0","0","0","1002","0","4","8","0","0","0","0","0","0","1001","0","1","100301"
"1","0","10030102","1","0","0","1001","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","1002","100301"
"1","0","10040101","1002","1001","1001","1001","0","0","0","0","0","3","7","0","0","0","0","0","0","1","0","1","100401"
"1","0","10050101","1002","1001","1002","1001","0","0","0","0","0","3","7","0","0","0","0","0","0","1","0","1","100501"
"1","0","10060101","1001","1001","1002","1002","0","0","1001","1","0","3","9","0","0","0","0","0","0","1","0","1","100601"
"1001","0","10070101","1","1","1002","1","0","0","1002","1001","0","6","9","0","0","0","0","0","0","1","0","1","100701"
"1","0","10080101","1001","1","1","1002","0","0","1","1001","0","3","10","0","0","0","0","0","1002","1002","0","1001","100801"
"1001","0","10090101","1001","1001","1001","1","0","0","0","0","0","3","7","0","0","0","0","0","0","1","0","1","100901"
"1","0","10100101","1002","1001","1","1001","0","0","1002","1","0","3","10","0","0","0","0","0","1","1","0","1002","101001"
"1","0","10110101","1001","1002","1001","1002","0","0","0","0","0","3","7","0","0","0","0","0","0","1","0","1","101101"
"1","0","10120101","1002","1001","1002","1001","0","0","0","0","0","3","7","0","0","0","0","0","0","1","0","1","101201"
"1","0","10130101","1001","1","1","1002","0","0","0","0","0","3","7","0","0","0","0","0","0","1002","0","1001","101301"
"1","0","10140101","1001","0","1001","1002","0","0","0","0","0","3","6","0","0","0","0","0","0","1002","0","1","101401"
"1","0","10150101","1001","1002","1001","1002","0","0","0","0","0","3","7","0","0","0","0","0","0","1","0","1","101501"
"1","0","10160101","1002","1001","1002","2001","0","0","0","0","0","3","7","0","0","0","0","0","0","1","0","1","101601"
"1","0","10170101","1002","1001","1","1001","0","0","1001","1","0","5","9","0","0","0","0","0","0","1","0","1001","101701"
"1","0","10180101","1001","1002","1001","1002","0","0","0","0","0","3","7","0","0","0","0","0","0","1","0","1","101801"
"1","0","10200101","1002","1001","1002","1001","0","0","0","0","0","3","7","0","0","0","0","0","0","1","0","1","102001"
"1001","0","10210101","1002","1","1","1","0","0","0","1001","0","4","8","0","0","0","0","0","0","1002","0","1","102101"
"1002","0","10220101","1001","1002","1001","1002","0","0","0","0","0","3","7","0","0","0","0","0","0","1","0","1","102201"
"1001","0","10230101","1002","1","1","1","0","0","0","1001","0","4","8","0","0","0","0","0","0","1002","0","1","102301"
"1","0","10250101","1002","1","1","1001","0","0","0","1001","0","3","8","0","0","0","0","0","0","1001","0","1002","102501"
"1","0","10260101","1001","1002","1","1002","1","0","1","1","0","4","12","0","0","1002","0","0","1001","1001","0","1001","102601"
"1","0","10270101","1001","1","1","1002","0","0","0","1001","0","3","8","0","0","0","0","0","0","1002","0","1002","102701"
"1","0","10280101","1001","1002","1001","1002","0","0","0","0","0","3","7","0","0","0","0","0","0","1","0","1","102801"
"1","0","10290101","1002","1001","1002","1001","0","0","1001","1","0","3","9","0","0","0","0","0","0","1","0","1","102901"
"1","0","10300101","1002","1001","1002","1001","0","0","0","0","0","3","7","0","0","0","0","0","0","1","0","1","103001"
