d7ede30d6ad9d4be41ea8afcff358b7bb18abbf25ab7b9b54a4fc7d1f8f8b80d,eee08d052efcc6b307e4fe717ae1c9f350745e3aa4f1c3c5057a54e76f9a869e,cfb3efa7ab76d09064151f727cff8bf0f149771fc2f76341bb2b11fc122804e7,8444a778a0545a0f20e897f9b6186093ca0fd5bf9c7496003ed4f041c941928d,bd49d74e61347b7f41730f033e5f42fd24449fa52500640e7476839357eb4ebc,33d378b660b21f5f1cbed4b05dc2f7fbc2687e3467b62cffb86289b871ecd4db,922f0df1eab849963d04c3b84394b9c3ab8c8f648966d28c305fb39645e235ac,36fab3ce06a93f69e7a5aa1d417392e2ff8828f1e0a0d028758e3de46d2c8e41,c693ea5d7d8ac73525fc0f5e92f258e8374f4ee0b8842d0f0404b9c24a99bbaa
"","21600","1","2","2","23001","","1","1"
"","19800","1","2","3","23001","","1","2"
"","18000","1","2","3","23001","","1","3"
"","16200","1","2","3","23001","","1","4"
"","14400","1","2","4","23001","","1","5"
"","12960","1","2","4","23001","","1","6"
"","11520","1","2","5","23001","","1","7"
"","10080","1","2","6","23001","","1","8"
"","8640","1","2","7","23001","","1","9"
"","7200","1","2","8","23001","","1","10"
"","5760","1","2","10","23001","","1","11"
"","5040","1","2","12","23001","","1","12"
"","4320","1","2","14","23001","","1","13"
"","7200","2","2","16","23001","","1","14"
"","5400","2","2","18","23001","","1","15"
"","5040","2","2","18","23001","","1","16"
"","4800","2","2","18","23001","","1","17"
"","4500","2","2","20","23001","","1","18"
"","4320","2","2","20","23001","","1","19"
"","6000","3","2","24","23001","","1","20"
"","5700","3","2","48","23001","","1","21"
"","5400","3","2","48","23001","","1","22"
"","5220","3","2","51","23001","","1","23"
"","4980","3","2","54","23001","","1","24"
"","4800","3","2","54","23001","","1","25"
"","4500","3","2","60","23001","","1","26"
"","4320","3","2","60","23001","","1","27"
"","4200","3","2","63","23001","","1","28"
"","5400","4","2","64","23001","","1","29"
"","5220","4","2","68","23001","","1","30"
"","5040","4","2","72","23001","","1","31"
"","4920","4","2","72","23001","","1","32"
"","4800","4","2","72","23001","","1","33"
"","4680","4","2","76","23001","","1","34"
"","4500","4","2","80","23001","","1","35"
"","4320","4","2","80","23001","","1","36"
"","4260","4","2","84","23001","","1","37"
"","4200","4","2","84","23001","","1","38"
"","21600","20","6","80","93001","","2","1"
"","21600","24","6","96","93001","","2","2"
"","21600","28","6","112","93001","","2","3"
"","21600","30","6","120","93001","","2","4"
"","21600","32","6","128","93001","","2","5"
"","21600","34","6","136","93001","","2","6"
"","21600","36","6","144","93001","","2","7"
"","21600","38","6","152","93001","","2","8"
"","21600","40","6","160","93001","","2","9"
"","21600","42","6","168","93001","","2","10"
"","21600","44","6","176","93001","","2","11"
"","21600","46","6","184","93001","","2","12"
"","21600","48","6","192","93001","","2","13"
"","21600","50","6","200","93001","","2","14"
"","21600","52","6","208","93001","","2","15"
"","21600","54","6","216","93001","","2","16"
"","21600","56","6","224","93001","","2","17"
"","21600","58","6","232","93001","","2","18"
"","21600","60","6","240","93001","","2","19"
"","21600","62","6","248","93001","","2","20"
"","21600","64","6","256","93001","","2","21"
"","21600","66","6","264","93001","","2","22"
"","21600","68","6","272","93001","","2","23"
"","21600","70","6","280","93001","","2","24"
"","21600","72","6","288","93001","","2","25"
"","21600","74","6","296","93001","","2","26"
"","21600","76","6","304","93001","","2","27"
"","21600","78","6","312","93001","","2","28"
"","21600","80","6","320","93001","","2","29"
