a1d4d406d5fdd2356cd58c5d8e0dfe53eb72e69754b8e26e78ff5e76effc02e1,85ab756fbc562d4d0944755d4ec6913bc6fc7da96a4f4e0a2b1f83d8c2923977,7ba1d2101bc3cf12ca7930a1ae36eca9f7cec21d7b749ba6f8540b3c981fb476,4429ea529af7742bd69683f98f941164f05100dd98aba7d1fc482915fa267981,d65b31affcabf7556218b4dc0ee60c67ec7312677ddf7f3acf1f7bc76843196b,a845525e5b2dc2c99efb777699d6c411cf9882e92374b193883ec278efa04bde,29dcf79fce0cc5b9bb29d4c763759e3cd3062d7cdcae091d99359b55b2a48b32,12902c7b15a5990d2f9af813b7a9c833df53005866aa859e70bd431b4c785588,3fb58788033e867b4e9ec5ac7c5e4b377ecff21f0a3edffaf7ebb40e021b6e4a,49606746ca7f26bf07663ccbad9568c8b2e2b5d74c87448eca756703b19c48d2,5b5daade66229312117d4c5f26b022e1c4c5cd0f7bc59ecf3e4a9ca8d0f7f6db,4785333ca8b7269c54d18949f4641158553362233e03cf8977d0971ad5e7109c,248288ae315d70cd6002d178a7771f072f8f7173b9e82891a45878089fdf42e7,d1ef0bd44a487a3f5b420ac600e5a79b5293d923628b08eb6e212a9fa2565521,b24368bf37d841eb36ae69e550bd4f5213e6757f6729df858a532ae03232422b,dfcdb459e37f24b0f026fcac4bc0c78ab7abce19c1e22c78b043dd25bb6680ba,49e449d6113c546acb1fc62a0845eabd7a62a00e36c7df29c0abc186e5f051e6,b7ad2d1a8adfe34774a3bb6e41d24409787456a43178b014d0b42104b527f8c1,b16760969ce9cbab8e78062872c780f1ab8b53a6531cfbebe8aa2a15e8a4f9ab,f369ef1b2670db086f797bcc0dff319c827144da691ac9c17df50bf4dd55e44b
"0","100000001","100000001","0","0","0","0","0","0","0","0","100","0","0","0","0","512000021","0","0","0"
"0","100000001","100000002","100000002","0","0","0","0","0","0","0","100","0","0","0","0","512000022","0","0","100000001"
"11999091","101010101","101000001","0","0","0","0","255","0","0","0","100","0","0","11001011","0","110010011","0","0","101010101"
"11999092","101010101","101000002","0","0","0","0","255","0","0","0","100","0","0","11001012","0","110010012","0","0","101010102"
"11999093","101010104","101000003","101010102","0","0","0","255","0","0","0","100","11999101","0","11001013","0","110010013","0","0","101010103"
"11999091","101010203","101000004","0","0","0","0","261","0","0","0","100","0","0","11001021","0","110010021","0","0","101010203"
"11999092","101010201","101000005","101010202","0","0","0","261","0","0","0","100","0","0","11001022","0","110010022","0","0","101010201"
"11999093","101010202","101000006","101010203","0","0","0","261","0","0","0","100","11999102","0","11001023","0","110010023","0","101010202","101010203"
"11999091","101010302","101000007","0","0","0","0","266","0","0","0","100","0","0","11001031","0","110010031","0","0","101010302"
"11999092","101010301","101000008","101010302","0","0","0","266","0","0","0","100","0","0","11001032","0","110010032","0","0","101010301"
"11999093","101010304","101000009","101010303","0","0","0","266","0","0","0","100","11999103","0","11001033","0","110010033","0","0","101010303"
"11999091","101010404","101000010","0","0","0","0","270","0","0","0","100","0","0","11001041","0","110010041","0","0","101010402"
"11999092","101010402","101000011","0","0","0","0","270","0","0","0","100","0","0","11001042","0","110010042","0","0","101010403"
"11999093","101010404","101000012","101010402","0","0","0","270","0","0","0","100","11999101","0","11001043","0","110010043","0","0","101010403"
"11999091","101010504","101000013","0","0","0","0","270","0","0","0","100","0","0","11001051","0","110010051","0","0","101010504"
