0a597a0d3be37b7ba198ecf3dda84c57b120d7623a1364a7eff29f0e702ce486,455d9e7af397218ddc41a4f7b66231bbd4371fd57e55c82085fd50d650b5602e,8753522d9ecbed798a395755e7ec50337a7ce8a59af12b3de627b96c573b81f4,db43eec820f4cefb0edea41f11d74d972845ed8dab61ea914f14e3778c48d820,4cd6efd7bc260d6717c125c0e6b8a2ddc0587784fa33e07d633564cd95ce9b60,d3c04840245e21bfd40aece535eaa7105188d4648aa3c4478118d6ba6a180d11,3abc72815ca115575d90451404e7d0223db49d30d8b92eca49677153727099df,c887f362320ec49480d4c3732288c32ba6d043e8a8dea100c59a7687e1c02401,5827e859b31ff42652cc2a091f12b95d09fb92db6b93389e9bbc2d6599bf49ba
"1","90043","0","10000","1","30000","90001","10","12000"
"2","90047","0","10000","2","30000","90002","20","24000"
"3","90047","0","10000","3","30000","90002","20","24000"
"4","90047","0","10000","4","30000","90002","20","24000"
"5","90047","0","10000","5","30000","90002","20","24000"
"6","90047","0","10000","6","30000","90002","20","24000"
"7","90047","0","10000","7","30000","90002","20","24000"
"8","90047","0","10000","8","30000","90002","20","24000"
"9","90047","0","10000","9","30000","90002","20","24000"
"10","90047","0","10000","10","30000","90002","20","24000"
"11","90051","90011","10000","11","30000","90003","40","48000"
"12","90051","90011","10000","12","30000","90003","40","48000"
"13","90051","90011","10000","13","30000","90003","40","48000"
"14","90051","90011","10000","14","30000","90003","40","48000"
"15","90051","90011","10000","15","30000","90003","40","48000"
"16","90051","90011","10000","16","30000","90003","40","48000"
"17","90051","90011","10000","17","30000","90003","40","48000"
"18","90051","90011","10000","18","30000","90003","40","48000"
"19","90051","90011","10000","19","30000","90003","40","48000"
"20","90051","90011","10000","20","30000","90003","40","48000"
"21","90055","90015","10000","21","30000","90004","60","72000"
"22","90055","90015","10000","22","30000","90004","60","72000"
"23","90055","90015","10000","23","30000","90004","60","72000"
"24","90055","90015","10000","24","30000","90004","60","72000"
"25","90055","90015","10000","25","30000","90004","60","72000"
"26","90055","90015","10000","26","30000","90004","60","72000"
"27","90055","90015","10000","27","30000","90004","60","72000"
"28","90055","90015","10000","28","30000","90004","60","72000"
"29","90055","90015","10000","29","30000","90004","60","72000"
"30","90055","90015","10000","30","30000","90004","60","72000"
"31","90059","90015","10000","31","30000","90005","80","96000"
"32","90059","90015","10000","32","30000","90005","80","96000"
"33","90059","90015","10000","33","30000","90005","80","96000"
"34","90059","90015","10000","34","30000","90005","80","96000"
"35","90059","90015","10000","35","30000","90005","80","96000"
"36","90059","90015","10000","36","30000","90005","80","96000"
"37","90059","90015","10000","37","30000","90005","80","96000"
"38","90059","90015","10000","38","30000","90005","80","96000"
"39","90059","90015","10000","39","30000","90005","80","96000"
"40","90059","90015","10000","40","30000","90005","80","96000"
"41","90063","90017","10000","41","30000","90005","120","144000"
"42","90063","90017","10000","42","30000","90005","120","144000"
"43","90063","90017","10000","43","30000","90005","120","144000"
"44","90063","90017","10000","44","30000","90005","120","144000"
"45","90063","90017","10000","45","30000","90005","120","144000"
"46","90063","90017","10000","46","30000","90005","120","144000"
"47","90063","90017","10000","47","30000","90005","120","144000"
"48","90063","90017","10000","48","30000","90005","120","144000"
"49","90063","90017","10000","49","30000","90005","120","144000"
"50","90063","90017","10000","50","30000","90005","120","144000"
"51","90067","90019","10000","51","30000","90006","150","180000"
"52","90067","90019","10000","52","30000","90006","150","180000"
"53","90067","90019","10000","53","30000","90006","150","180000"
"54","90067","90019","10000","54","30000","90006","150","180000"
"55","90067","90019","10000","55","30000","90006","150","180000"
"56","90067","90019","10000","56","30000","90006","150","180000"
"57","90067","90019","10000","57","30000","90006","150","180000"
"58","90067","90019","10000","58","30000","90006","150","180000"
"59","90067","90019","10000","59","30000","90006","150","180000"
"60","90067","90019","10000","60","30000","90006","150","180000"
"61","90071","90021","10000","61","30000","90007","180","216000"
"62","90071","90021","10000","62","30000","90007","180","216000"
"63","90071","90021","10000","63","30000","90007","180","216000"
"64","90071","90021","10000","64","30000","90007","180","216000"
"65","90071","90021","10000","65","30000","90007","180","216000"
"66","90071","90021","10000","66","30000","90007","180","216000"
"67","90071","90021","10000","67","30000","90007","180","216000"
"68","90071","90021","10000","68","30000","90007","180","216000"
"69","90071","90021","10000","69","30000","90007","180","216000"
"70","90071","90021","10000","70","30000","90007","180","216000"
