365766823c2a19e379656d39ba8f29851f5ef934fb87b63f4ce3dfc86a549d10,fcf8f70b0e45c386b0970362da240648c9fc1ac5f051c2b6304b466c2b9e0302,5294a86b139c55560f9e4e80f005d22174dfa2d81f2903c097655629faa5fd2f,0e98a57d8d462c81433107980277c760253a5c3f0a0392afefecf8f95e324d16,78f4daf1a3a8377281eba79c3db78167ded720cdfa3b6294eabc701552fcbdee,664569bd9d384c216220e852dc4d20620deecb8706250e55fe630208e159ad13,b19b41faf9cb30011aeb083f461ce865d092d5441c14eaf0f0c799c33e7ae742,5586bc3546d1fda3078b641e67a6d41d9bfdc6fd3c8ac2e7c980052add24241c,6561064dd5520f0ebf10c95804631bb4bf7a3b92d4cdb21280f7eb046ae3beec,93c2595ae11596fb6dddb3d174be5815eabb0c32a41680d3f17ad8c8691c687a,7f3f86099e47f5a212c26c6e4bc2781008f5531b36572d640deb541e26c5dc00,0c25c03388249d577038f679c19d4e2f91a55ab7ea7a2ef5adc8b8fe87e47587
"0","0","0","0","0","0","0","1","0","0","0","0"
"800","0","0","0","3","0","2","11002","1","0","1","0"
"500","0","0","0","1","0","1","12001","1","0","1","0"
"700","0","0","0","1","0","1","12002","1","0","1","0"
"600","0","0","0","1","0","2","13001","1","0","1","0"
"700","0","0","0","1","0","2","13002","1","0","1","0"
"600","0","0","0","1","0","2","14002","1","0","1","0"
"900","0","0","0","3","0","2","21001","1","0","2","0"
"0","0","0","0","0","0","0","22001","2","0","8000","0"
"1","0","1","0","99","0","1","23001","3","0","5","0"
"1","0","1","0","99","0","1","23002","3","0","7","0"
"3","0","1","0","0","0","4","25001","5","0","0","0"
"0","0","0","0","0","1","1","25002","5","0","0","0"
"3","0","1","0","0","0","4","25003","5","0","1","0"
"0","0","0","0","0","1","1","25004","5","0","1","0"
"37","0","0","0","0","40","0","26001","6","0","76","0"
"1","0","0","0","0","1","0","27001","7","0","2","0"
"1","0","0","0","0","1","0","27002","7","0","3","0"
"0","0","0","0","0","0","0","28001","8","0","0","0"
