ade23533768b08dfad8344e568da30666f2a72dd5b06cebf95f9de93ef688e03,033886f6bc83b822b4c2d0543c0fe4468db17bb0b959b68584b31b1f034569ae,c323424840a18a9503ce7b1860bc358f4f028b51470e20d45d963cfdcde8ce57,2cfb8a9af07d4ce2617c0a0f80d6f4e0fdcb6644c8ff3f01e5d021a56716e77e,77a651c437a8e1f203688e1fde99e0b37a3ee560bb33724be81360c9e538a4b0,a8f562bad7cdfe2979c9b144ea3e5ef5962d909acb59f30cf15a83c7631cec63,5ab18dbea8ad73c3606e17a091ca36d5c4ebe0a1f7b0065efdba6d6f6178ac88,a36cead4607276ec3b2435f0a0d37038ffafbe832c99a6c3a2c55ad11af5d08a,0d6552d8ffbaf0fe2fdd8fbaac4f4cf4c12f396ea43742e51d76d6e5f01cc150,b647956651b89d019fa2e8d6b25579f93ec2fbaebb89713f46800029bdb0a121
"500000","101","0","0","111","0","0","2","220","25021"
"500000","102","0","0","121","0","0","2","220","25021"
"500000","103","0","0","131","0","0","2","220","25021"
"500000","104","0","0","141","0","0","2","220","25021"
"500000","105","0","0","151","0","0","2","220","25021"
"500000","201","0","0","211","0","0","2","220","25021"
"500000","202","0","0","221","0","0","2","220","25021"
"500000","203","0","0","231","0","0","2","220","25021"
"500000","204","0","0","241","0","0","2","220","25021"
"500000","205","0","0","251","0","0","2","220","25021"
"500000","301","0","0","311","0","0","2","220","25021"
"500000","302","0","0","321","0","0","2","220","25021"
"500000","303","0","0","331","0","0","2","220","25021"
"500000","304","0","0","341","0","0","2","220","25021"
"500000","305","0","0","351","0","0","2","220","25021"
"500000","401","0","0","411","0","0","2","220","25021"
"500000","402","0","0","421","0","0","2","220","25021"
"500000","403","0","0","431","0","0","2","220","25021"
"500000","404","0","0","441","0","0","2","220","25021"
"500000","405","0","0","451","0","0","2","220","25021"
"500000","501","0","0","511","0","0","2","220","25021"
"500000","502","0","0","521","0","0","2","220","25021"
"500000","503","0","0","531","0","0","2","220","25021"
"500000","504","0","0","541","0","0","2","220","25021"
"500000","505","0","0","551","0","0","2","220","25021"
"500000","601","0","0","611","0","0","2","220","25021"
"500000","602","0","0","621","0","0","2","220","25021"
"500000","603","0","0","631","0","0","2","220","25021"
"500000","604","0","0","641","0","0","2","220","25021"
"500000","605","0","0","651","0","0","2","220","25021"
"500000","701","0","0","711","0","0","2","220","25021"
"500000","702","0","0","721","0","0","2","220","25021"
