2515aa59d6894af7a31b39ea8f94716d4bffcb9dcc3251d9762cbe0b505df602,690d955559012c3f3cc0f02fc8f4e3bbdacdab714e8e6cc0d35377ad019ea4aa,e066ce831e94c01b3e376ec9400c806df07ff951db03968fa5eab279cd3561a7,ad7928b68c83476a751400e072e86186cc8a766773ce8d8296399c4e499951b9,cab8e5594ad64f827af604c6f0386cb1d9f3a1df4a501eabf47bbc28b244c941,791288a2a2ff81f083a8415a50e94283c3614d8e2802bad872af9708c800117d
"1","自動","1","2019/02/15 15:00:00","","1"
"2","預設","2","2019/02/15 15:00:00","","2"
"3","周年","3","2020/08/03 16:00:00","","3"
"4","粉紅色","1","2020/04/20 12:00:00","","4"
"5","紅色","1","2020/04/20 12:00:00","","5"
"6","黃色","1","2020/04/20 12:00:00","","6"
"7","綠色","1","2020/04/20 12:00:00","","7"
"8","淺藍色","1","2020/04/20 12:00:00","","8"
"9","藍色","1","2020/04/20 12:00:00","","9"
"10","紫色","1","2020/04/20 12:00:00","","10"
"11","灰色","1","2020/04/20 12:00:00","","11"
