69c5358a939789dc47f46ad972624cc0bf6f63fda8d5a80fc3e5f061c8878926,85fdd304de33f6fa2b7d9063f647111f7a5e0e28ec87d26d7fed89d2362ef5cf,5ac4e157a66f25d12b30c42134245859da6b0f64dc2c0ec4f9ac4864117b1740,93ece7c2fbe876766fd324b8becda62493eae510c4d05f0774ca54e79427325a,4da62a4c508497685e2029e871f9ae603705addeee320b1e65b2b32940bf59ba,b8b0397a45b264743a35978ae984f520a5dce9049030db8399b70a08a3fe2cc5,5ec18146a0ecd48dd2ff7362dc059c11d33ef4d75e1f1a5c4cdcc15ce45b309b,1912cec6e2637c5549bc68931ea1117d6adb05a2a46af1c86748c9e830cfdb7b,7c465c612d6e4d0aee66a113b3e7345345a6431dfe9fd2e705b2c08f4f766327
"累積獲得3個★","100000001","1","100101","1001","3","4101","3","0"
"累積獲得6個★","100000002","2","100102","1001","6","4101","6","0"
"累積獲得9個★","100000003","3","100103","1001","9","4101","9","1"
"累積獲得12個★","100000004","4","100104","1001","12","4101","12","0"
"累積獲得15個★","100000005","5","100105","1001","15","4101","15","0"
"累積獲得18個★","100000006","6","100106","1001","18","4101","18","0"
"累積獲得21個★","100000007","7","100107","1001","21","4101","21","1"
"累積獲得24個★","100000008","8","100108","1001","24","4101","24","0"
"累積獲得27個★","100000009","9","100109","1001","27","4101","27","1"
"累積獲得30個★","100000010","10","100110","1001","30","4101","30","0"
"累積獲得33個★","100000011","11","100111","1001","33","4101","33","0"
"累積獲得36個★","100000012","12","100112","1001","36","4101","36","1"
"累積獲得39個★","100000013","13","100113","1001","39","4101","39","0"
"累積獲得42個★","100000014","14","100114","1001","42","4101","42","0"
"累積獲得45個★","100000015","15","100115","1001","45","4101","45","1"
"累積獲得48個★","100000016","16","100116","1001","48","4101","48","0"
"累積獲得51個★","100000017","17","100117","1001","51","4101","51","1"
"累積獲得54個★","100000018","18","100118","1001","54","4101","54","0"
"累積獲得3個★","100200001","1","100201","1002","3","4101","3","0"
"累積獲得6個★","100200002","2","100202","1002","6","4101","6","0"
"累積獲得9個★","100200003","3","100203","1002","9","4101","9","1"
"累積獲得12個★","100200004","4","100204","1002","12","4101","12","0"
"累積獲得15個★","100200005","5","100205","1002","15","4101","15","0"
"累積獲得18個★","100200006","6","100206","1002","18","4101","18","0"
"累積獲得21個★","100200007","7","100207","1002","21","4101","21","1"
"累積獲得24個★","100200008","8","100208","1002","24","4101","24","0"
"累積獲得27個★","100200009","9","100209","1002","27","4101","27","1"
"累積獲得30個★","100200010","10","100210","1002","30","4101","30","0"
"累積獲得33個★","100200011","11","100211","1002","33","4101","33","0"
"累積獲得36個★","100200012","12","100212","1002","36","4101","36","1"
"累積獲得39個★","100200013","13","100213","1002","39","4101","39","0"
"累積獲得42個★","100200014","14","100214","1002","42","4101","42","0"
"累積獲得45個★","100200015","15","100215","1002","45","4101","45","1"
"累積獲得48個★","100200016","16","100216","1002","48","4101","48","0"
"累積獲得51個★","100200017","17","100217","1002","51","4101","51","1"
"累積獲得54個★","100200018","18","100218","1002","54","4101","54","0"
"累積獲得3個★","100300001","1","100301","1003","3","4101","3","0"
"累積獲得6個★","100300002","2","100302","1003","6","4101","6","0"
"累積獲得9個★","100300003","3","100303","1003","9","4101","9","1"
"累積獲得12個★","100300004","4","100304","1003","12","4101","12","0"
"累積獲得15個★","100300005","5","100305","1003","15","4101","15","0"
"累積獲得18個★","100300006","6","100306","1003","18","4101","18","0"
