84fa325d9cc597475d006c80c75c632cd52dd3b7e16b1bb529ca18ce8376c323,baa730adb7436e9504e09574d34ed061f734398a14d347a5346dac550e683a39,6e449c5d8000b30941941494586fe8e5545a2ac9b011e9ff8dc9891f5c7d38c9,4aa3b238f0afcb156adabf5c7f34c577f3ab2d7587ada61ad67424c46e17edef,a7e5fe807ef9ddfb1a13f3803680f399bf5f073746ac1ea7fe1559d71e30aa17,0303c14d759623fa2b1bc70d30cff2748dbad31f27ab07a44930ff3b2fc2dc13,ed711bb2c2aeaebb6d74c8d0c824e6bd397eaf8efae866c37f2695b5f6775a19,f4596ad4ff6b6ff6afef88f40f3827689bbb6c56d6805a91329f241a52668b15,888384431533d434bee37d44aa54442aa262f2d306ef389e1dd243f9e78998ef,ec556db36271b9051288d5dd8986ec66559507b3bd1d2b24f567590252dd838b,ca4b6c23b0a01d915787329a69ba925d8191eba017e4cce729ef84fb96e5cb14,9839c408f463e2738d574fda0bff82fe1077b7d62c43de57b91e24473d2c808e,e8473074d09e373f59825f694d53c4bef1f729aab1262e678ad7dc4f705d6640,f5808958dc1dae26af19755b7fb318dc5019c120a8d25d77dab262f1fa474156,b71d034e0dc060c05d3ccde3c61c0480cdcf7fb6265a8198e803428d4cb2c1fd
"登頂1次特殊地下城","32001001","32001","1","1004110","1","2030/04/01 14:59:59","80001","0","3200101","2015/04/01 15:00:00","0","0","603","1st Round Clear！"
"登頂2次特殊地下城","32001002","32001","2","1004110","1","2030/04/01 14:59:59","80001","0","3200102","2015/04/01 15:00:00","0","0","603","2nd Round Clear！"
"登頂3次特殊地下城","32001003","32001","3","1004110","1","2030/04/01 14:59:59","80001","0","3200103","2015/04/01 15:00:00","0","0","603","3rd Round Clear！"
"登頂4次特殊地下城","32001004","32001","4","1004110","1","2030/04/01 14:59:59","80001","0","3200104","2015/04/01 15:00:00","0","0","603","4th Round Clear！"
"登頂5次特殊地下城","32001005","32001","5","1004110","1","2030/04/01 14:59:59","80001","0","3200105","2015/04/01 15:00:00","0","0","603","CONQUEST！"
"登頂1次特殊地下城","32001001","32002","1","1004110","1","2030/04/01 14:59:59","80001","0","3200201","2015/04/01 15:00:00","0","0","603","1st Round Clear！"
"登頂2次特殊地下城","32001002","32002","2","1004110","1","2030/04/01 14:59:59","80001","0","3200202","2015/04/01 15:00:00","0","0","603","2nd Round Clear！"
"登頂3次特殊地下城","32001003","32002","3","1004110","1","2030/04/01 14:59:59","80001","0","3200203","2015/04/01 15:00:00","0","0","603","3rd Round Clear！"
"登頂4次特殊地下城","32001004","32002","4","1004110","1","2030/04/01 14:59:59","80001","0","3200204","2015/04/01 15:00:00","0","0","603","4th Round Clear！"
"登頂5次特殊地下城","32001005","32002","5","1004110","1","2030/04/01 14:59:59","80001","0","3200205","2015/04/01 15:00:00","0","0","603","CONQUEST！"
"登頂1次特殊地下城","32001001","32003","1","1004110","1","2030/04/01 14:59:59","80001","0","3200301","2015/04/01 15:00:00","0","0","603","1st Round Clear！"
"登頂2次特殊地下城","32001002","32003","2","1004110","1","2030/04/01 14:59:59","80001","0","3200302","2015/04/01 15:00:00","0","0","603","2nd Round Clear！"
"登頂3次特殊地下城","32001003","32003","3","1004110","1","2030/04/01 14:59:59","80001","0","3200303","2015/04/01 15:00:00","0","0","603","3rd Round Clear！"
"登頂4次特殊地下城","32001004","32003","4","1004110","1","2030/04/01 14:59:59","80001","0","3200304","2015/04/01 15:00:00","0","0","603","4th Round Clear！"
"登頂5次特殊地下城","32001005","32003","5","1004110","1","2030/04/01 14:59:59","80001","0","3200305","2015/04/01 15:00:00","0","0","603","CONQUEST！"
"登頂1次特殊地下城","32001001","32004","1","1004110","1","2030/04/01 14:59:59","80001","0","3200401","2015/04/01 15:00:00","0","0","603","1st Round Clear！"
"登頂2次特殊地下城","32001002","32004","2","1004110","1","2030/04/01 14:59:59","80001","0","3200402","2015/04/01 15:00:00","0","0","603","2nd Round Clear！"
"登頂3次特殊地下城","32001003","32004","3","1004110","1","2030/04/01 14:59:59","80001","0","3200403","2015/04/01 15:00:00","0","0","603","3rd Round Clear！"
"登頂4次特殊地下城","32001004","32004","4","1004110","1","2030/04/01 14:59:59","80001","0","3200404","2015/04/01 15:00:00","0","0","603","4th Round Clear！"
"登頂5次特殊地下城","32001005","32004","5","1004110","1","2030/04/01 14:59:59","80001","0","3200405","2015/04/01 15:00:00","0","0","603","CONQUEST！"
"登頂1次特殊地下城","32001001","32005","1","1004110","1","2030/04/01 14:59:59","80001","0","3200501","2015/04/01 15:00:00","0","0","603","1st Round Clear！"
"登頂2次特殊地下城","32001002","32005","2","1004110","1","2030/04/01 14:59:59","80001","0","3200502","2015/04/01 15:00:00","0","0","603","2nd Round Clear！"
"登頂3次特殊地下城","32001003","32005","3","1004110","1","2030/04/01 14:59:59","80001","0","3200503","2015/04/01 15:00:00","0","0","603","3rd Round Clear！"
"登頂4次特殊地下城","32001004","32005","4","1004110","1","2030/04/01 14:59:59","80001","0","3200504","2015/04/01 15:00:00","0","0","603","4th Round Clear！"
"登頂5次特殊地下城","32001005","32005","5","1004110","1","2030/04/01 14:59:59","80001","0","3200505","2015/04/01 15:00:00","0","0","603","CONQUEST！"
"登頂1次特殊地下城","32001001","32006","1","1004110","1","2030/04/01 14:59:59","80001","0","3200601","2015/04/01 15:00:00","0","0","603","1st Round Clear！"
"登頂2次特殊地下城","32001002","32006","2","1004110","1","2030/04/01 14:59:59","80001","0","3200602","2015/04/01 15:00:00","0","0","603","2nd Round Clear！"
"登頂3次特殊地下城","32001003","32006","3","1004110","1","2030/04/01 14:59:59","80001","0","3200603","2015/04/01 15:00:00","0","0","603","3rd Round Clear！"
"登頂4次特殊地下城","32001004","32006","4","1004110","1","2030/04/01 14:59:59","80001","0","3200604","2015/04/01 15:00:00","0","0","603","4th Round Clear！"
"登頂5次特殊地下城","32001005","32006","5","1004110","1","2030/04/01 14:59:59","80001","0","3200605","2015/04/01 15:00:00","0","0","603","CONQUEST！"
"登頂1次特殊地下城","32001001","32007","1","1004110","1","2030/04/01 14:59:59","80001","0","3200701","2015/04/01 15:00:00","0","0","603","1st Round Clear！"
"登頂2次特殊地下城","32001002","32007","2","1004110","1","2030/04/01 14:59:59","80001","0","3200702","2015/04/01 15:00:00","0","0","603","2nd Round Clear！"
"登頂3次特殊地下城","32001003","32007","3","1004110","1","2030/04/01 14:59:59","80001","0","3200703","2015/04/01 15:00:00","0","0","603","3rd Round Clear！"
"登頂4次特殊地下城","32001004","32007","4","1004110","1","2030/04/01 14:59:59","80001","0","3200704","2015/04/01 15:00:00","0","0","603","4th Round Clear！"
"登頂5次特殊地下城","32001005","32007","5","1004110","1","2030/04/01 14:59:59","80001","0","3200705","2015/04/01 15:00:00","0","0","603","CONQUEST！"
"登頂1次特殊地下城","32001001","32008","1","1004110","1","2030/04/01 14:59:59","80001","0","3200801","2015/04/01 15:00:00","0","0","603","1st Round Clear！"
"登頂2次特殊地下城","32001002","32008","2","1004110","1","2030/04/01 14:59:59","80001","0","3200802","2015/04/01 15:00:00","0","0","603","2nd Round Clear！"
"登頂3次特殊地下城","32001003","32008","3","1004110","1","2030/04/01 14:59:59","80001","0","3200803","2015/04/01 15:00:00","0","0","603","3rd Round Clear！"
"登頂4次特殊地下城","32001004","32008","4","1004110","1","2030/04/01 14:59:59","80001","0","3200804","2015/04/01 15:00:00","0","0","603","4th Round Clear！"
"登頂5次特殊地下城","32001005","32008","5","1004110","1","2030/04/01 14:59:59","80001","0","3200805","2015/04/01 15:00:00","0","0","603","CONQUEST！"
"登頂1次特殊地下城","32001001","32009","1","1004110","1","2030/04/01 14:59:59","80001","0","3200901","2015/04/01 15:00:00","0","0","603","1st Round Clear！"
"登頂2次特殊地下城","32001002","32009","2","1004110","1","2030/04/01 14:59:59","80001","0","3200902","2015/04/01 15:00:00","0","0","603","2nd Round Clear！"
"登頂3次特殊地下城","32001003","32009","3","1004110","1","2030/04/01 14:59:59","80001","0","3200903","2015/04/01 15:00:00","0","0","603","3rd Round Clear！"
"登頂4次特殊地下城","32001004","32009","4","1004110","1","2030/04/01 14:59:59","80001","0","3200904","2015/04/01 15:00:00","0","0","603","4th Round Clear！"
"登頂5次特殊地下城","32001005","32009","5","1004110","1","2030/04/01 14:59:59","80001","0","3200905","2015/04/01 15:00:00","0","0","603","CONQUEST！"
"登頂1次特殊地下城","32001001","32010","1","1004110","1","2030/04/01 14:59:59","80001","0","3201001","2015/04/01 15:00:00","0","0","603","1st Round Clear！"
"登頂2次特殊地下城","32001002","32010","2","1004110","1","2030/04/01 14:59:59","80001","0","3201002","2015/04/01 15:00:00","0","0","603","2nd Round Clear！"
"登頂3次特殊地下城","32001003","32010","3","1004110","1","2030/04/01 14:59:59","80001","0","3201003","2015/04/01 15:00:00","0","0","603","3rd Round Clear！"
"登頂4次特殊地下城","32001004","32010","4","1004110","1","2030/04/01 14:59:59","80001","0","3201004","2015/04/01 15:00:00","0","0","603","4th Round Clear！"
"登頂5次特殊地下城","32001005","32010","5","1004110","1","2030/04/01 14:59:59","80001","0","3201005","2015/04/01 15:00:00","0","0","603","CONQUEST！"
"登頂1次特殊地下城","32001001","32011","1","1004110","1","2030/04/01 14:59:59","80001","0","3201101","2015/04/01 15:00:00","0","0","603","1st Round Clear！"
"登頂2次特殊地下城","32001002","32011","2","1004110","1","2030/04/01 14:59:59","80001","0","3201102","2015/04/01 15:00:00","0","0","603","2nd Round Clear！"
"登頂3次特殊地下城","32001003","32011","3","1004110","1","2030/04/01 14:59:59","80001","0","3201103","2015/04/01 15:00:00","0","0","603","3rd Round Clear！"
"登頂4次特殊地下城","32001004","32011","4","1004110","1","2030/04/01 14:59:59","80001","0","3201104","2015/04/01 15:00:00","0","0","603","4th Round Clear！"
"登頂5次特殊地下城","32001005","32011","5","1004110","1","2030/04/01 14:59:59","80001","0","3201105","2015/04/01 15:00:00","0","0","603","CONQUEST！"
