8de4f63c6395a1caa858007fdb76006e6696c2d221d6ad0d20e158636508cef7,2dd6bac4a9ff5f64823efef898cdf6db7911551a4e7ace960c211b3a286541a5,95219aa6b47c7a982dc2bfe4ed7c45cc35d87ae43fe04d1cffc4a984307051a3,379e522ae4f60a5ad033918a2d2dda4b9237e63fac2b205391e3bcfc684b6c4d,756de77812d5b52ee20c0dbb9c3609546995aab48c5b7a789d85604e54117774,c3f5d01c9de6ef8cf8802f82990ab0c7ccdcbc51fd46e15e8f47cb89e1f42aa7,e1108846990b89a2d4a51fbe613861d9391c07b3c6df1a86feaf99ce52d84312,8ecfdc76946e66a1448afd870ae04606878e7a1dcabda8acbf3030c7fb8c538c,c4dbb6669ab72df063730e9a359a5fb4ff65cfc8b4b77bf3ef69d4aa301eb5f2,70d339efdd1af0e6f137f05e2d9c3f81de3350e25888b31b01cda623dbacf9e1,babd6dfefc61bdfa6a9f4476c017c750953f2ad10dfbbd8f32d2aa36342b6537,8d252b31448a321aa1be6442490e0c60e7e9ae52c8946d7ec5033f855d24a155
"vo_10020900_0001","0","vo_10020900","0","1","0","1","2","0","1010001","0","0"
"0","0.818181818181818","0","1","1","0","2","1","0","1010002","0","180"
"0","0","0","1","1","0","3","4","1","1010003","0.818181818181818","0"
"0","0.634285714285714","0","2","1","0","4","1","0","1010004","0","226"
"0","0","0","2","1","0","5","4","1","1010005","1.03428571428571","0"
"0","1.33714285714286","0","2","1","226","6","1","0","1010006","0","460"
"0","0","0","2","1","0","7","4","1","1010007","2.13714285714286","0"
"vo_10020900_0002","0","vo_10020900","0","1","0","8","2","0","1010008","0","0"
"0","1.12948051948052","0","3","1","0","9","1","0","1010009","0","132"
"0","0","0","3","1","0","10","4","1","1010010","2.12948051948052","0"
"vo_10020900_0003","0","vo_10020900","0","1","0","11","2","0","1010011","0","0"
"0","0.545454545454545","0","3","1","132","12","1","0","1010012","0","271"
"0","0","0","3","1","0","13","4","1","1010013","1.04545454545455","0"
"0","1.71545454545455","0","3","1","271","14","1","0","1010014","0","700"
"0","0","0","3","1","0","15","4","1","1010015","2.71545454545455","0"
"vo_10020900_0004","0","vo_10020900","0","1","0","16","2","0","1010016","0","0"
"0","1.67857142857143","0","4","1","0","17","1","0","1010017","0","244"
"0","0","0","4","1","0","18","4","1","1010018","2.17857142857143","0"
"vo_10020900_0005","0","vo_10020900","0","1","0","19","2","0","1010019","0","0"
"0","1.28311688311688","0","4","1","244","20","1","0","1010020","0","715"
"0","0","0","4","1","0","21","4","1","1010021","1.98311688311688","0"
"0","1.2987012987013","0","5","1","0","22","1","0","1010022","0","214"
"0","0","0","5","1","0","23","4","1","1010023","1.9987012987013","0"
"0","2.07792207792208","0","5","1","214","24","1","0","1010024","0","603"
"0","0","0","5","1","0","25","4","1","1010025","3.07792207792208","0"
"vo_10020900_0006","0","vo_10020900","0","1","0","26","2","0","1010026","0","0"
"0","1.06363636363636","0","6","1","0","27","1","0","1010027","0","241"
"0","0","0","6","1","0","28","4","1","1010028","1.56363636363636","0"
"0","2.96","0","6","1","241","29","1","0","1010029","0","750"
"0","0","0","6","1","0","30","4","1","1010030","3.96","0"
"vo_10020900_0007","0","vo_10020900","0","1","0","31","2","0","1010031","0","0"
"0","0.386363636363636","0","7","1","0","32","1","0","1010032","0","85"
"0","0","0","7","1","0","33","4","1","1010033","0.886363636363636","0"
"0","3.54090909090909","0","7","1","85","34","1","0","1010034","0","750"
"0","0","0","7","1","0","35","4","1","1010035","4.54090909090909","0"
"vo_10020900_0008","0","vo_10020900","0","1","0","36","2","0","1010036","0","0"
"0","0.431818181818182","0","8","1","0","37","1","0","1010037","0","138"
"0","0","0","8","1","0","38","4","1","1010038","1.03181818181818","0"
"vo_10020900_0009","0","vo_10020900","0","1","0","39","2","0","1010039","0","0"
"0","0.709090909090909","0","8","1","138","40","1","0","1010040","0","349"
"0","0","0","8","1","0","41","4","1","1010041","1.30909090909091","0"
"vo_10020900_0010","0","vo_10020900","0","1","0","42","2","0","1010042","0","0"
"0","3.07662337662338","0","8","1","349","43","1","0","1010043","0","750"
"0","0","0","8","1","0","44","4","1","1010044","4.07662337662338","0"
"vo_10020900_0011","0","vo_10020900","0","1","0","45","2","0","1010045","0","0"
"0","1.43506493506493","0","9","1","0","46","1","0","1010046","0","242"
"0","0","0","9","1","0","47","4","1","1010047","2.43506493506493","0"
"vo_10020900_0012","0","vo_10020900","0","1","0","48","2","0","1010048","0","0"
"0","2.75","0","9","1","242","49","1","0","1010049","0","754"
"0","0","0","9","1","0","50","4","1","1010050","3.95","0"
"vo_10020900_0013","0","vo_10020900","0","1","0","51","2","0","1010051","0","0"
"0","1.67792207792208","0","10","1","313","52","1","0","1010052","0","556"
"0","0","0","10","1","0","53","4","1","1010053","2.27792207792208","0"
"0","0.9","0","10","1","556","54","1","0","1010054","0","750"
