14afbcb9d66ea3012bc157890259db94186061f47147b517abfbf4b7e3e58471,033dd9f16e49f05a0f95bc3919eb7b4dae708224402bf510a30afdc5ff0c5ee3,8d746ea35c6130d1ae2d462ad9f760a2f6fca48e284bf8d3c406ee7a67e7dd39,018d326e9d9c393a6c3aefadc8a1828d43e5c14c69d4b9cd35712968860b6772,e194102f3e2d2d42d22ab239198d0cba2f9d314f0ef0943905379fcfabf7e89c,a1c7c07cd780587363361c372dc3193af3c6c6026f16ebd8298e0e31b623e0df,7bfc86875548c7471f5f6b424127b226c16707640b0c8a2ddf76382c06da15e5
"10101","2","0","1","0","300","0"
"10101","2","1","1","0","360","0"
"10101","2","2","1","0","420","0"
"10101","2","3","1","0","480","0"
"10101","2","4","1","0","540","0"
"10101","2","5","1","0","600","0"
"10101","2","0","2","0","900","0"
"10101","2","1","2","0","960","0"
"10101","2","2","2","0","1020","0"
"10101","2","3","2","0","1080","0"
"10101","2","4","2","0","1140","0"
"10101","2","5","2","0","1200","0"
"10101","2","0","3","0","1500","0"
"10101","2","1","3","0","1560","0"
"10101","2","2","3","0","1620","0"
"10101","2","3","3","0","1680","0"
"10101","2","4","3","0","1740","0"
"10101","2","5","3","0","1800","0"
"10101","2","0","4","0","2100","0"
"10101","2","1","4","0","2160","0"
"10101","2","2","4","0","2220","0"
"10101","2","3","4","0","2280","0"
"10101","2","4","4","0","2340","0"
"10101","2","5","4","0","2400","0"
"10101","2","0","5","0","2700","0"
"10101","2","1","5","0","2760","0"
"10101","2","2","5","0","2820","0"
"10101","2","3","5","0","2880","0"
"10101","2","4","5","0","2940","0"
"10101","2","5","5","0","3000","0"
"10102","5","0","1","0","150","0"
"10102","5","1","1","0","180","0"
"10102","5","2","1","0","210","0"
"10102","5","3","1","0","240","0"
"10102","5","4","1","0","270","0"
"10102","5","5","1","0","300","0"
"10102","5","0","2","0","450","0"
"10102","5","1","2","0","480","0"
"10102","5","2","2","0","510","0"
"10102","5","3","2","0","540","0"
"10102","5","4","2","0","570","0"
"10102","5","5","2","0","600","0"
"10102","5","0","3","0","750","0"
"10102","5","1","3","0","780","0"
"10102","5","2","3","0","810","0"
"10102","5","3","3","0","840","0"
"10102","5","4","3","0","870","0"
"10102","5","5","3","0","900","0"
"10102","5","0","4","0","1050","0"
"10102","5","1","4","0","1080","0"
"10102","5","2","4","0","1110","0"
"10102","5","3","4","0","1140","0"
"10102","5","4","4","0","1170","0"
"10102","5","5","4","0","1200","0"
"10102","5","0","5","0","1350","0"
"10102","5","1","5","0","1380","0"
"10102","5","2","5","0","1410","0"
"10102","5","3","5","0","1440","0"
"10102","5","4","5","0","1470","0"
"10102","5","5","5","0","1500","0"
"10103","7","0","1","0","150","0"
"10103","7","1","1","0","180","0"
"10103","7","2","1","0","210","0"
"10103","7","3","1","0","240","0"
"10103","7","4","1","0","270","0"
"10103","7","5","1","0","300","0"
