3f838e99d0272137e8a7e39dd71d6b34e179423c6eb902d1630bc762d24bd66b,558079248a7cba2f81a1b3a342f2758ab1a850f2a0e14de8549ad227497da813,c9a9e81c1e3226625a3a84aee49f4e1b33f24081fd7ad16c4db8d786b1eaaa6d,62e69b67142acf50610c4ca74a172744bbd320d49dd23cbef418ec45c0721187,4e2b9b4f5a14fbbd075de4587de425be0e53890c4846af7179456bc269e4acdb,345f91e1690f226e5d0bcfb822da3c66712826dd701699c209a7595077ddd7ee,9ce6c68f89fe7a10dafd3b26966eddca5c6f5f30c5998803f9e90483cb00bc14
"1","獲得累積分數2500分","91002","8","101","10","2500"
"1","獲得累積分數5000分","91002","8","102","10","5000"
"1","獲得累積分數10000分","91002","8","103","10","10000"
"1","獲得累積分數12500分","91002","8","104","10","12500"
"1","獲得累積分數15000分","91002","8","105","10","15000"
"1","獲得累積分數20000分","91002","8","106","10","20000"
"1","獲得累積分數25000分","91002","8","107","10","25000"
"1","獲得累積分數30000分","91002","8","108","10","30000"
"1","取得累積分數35000分","91002","8","109","10","35000"
"1","取得累積分數40000分","91002","8","110","10","40000"
"1","取得累積分數45000分","91002","8","111","10","45000"
"1","取得累積分數50000分","11001302","15","112","1","50000"
"2","獲得累積分數2500分","91002","8","201","10","2500"
"2","獲得累積分數5000分","91002","8","202","10","5000"
"2","獲得累積分數10000分","91002","8","203","10","10000"
"2","獲得累積分數12500分","91002","8","204","10","12500"
"2","獲得累積分數15000分","91002","8","205","10","15000"
"2","獲得累積分數20000分","91002","8","206","10","20000"
"2","獲得累積分數25000分","91002","8","207","10","25000"
"2","獲得累積分數30000分","91002","8","208","10","30000"
"2","取得累積分數35000分","91002","8","209","10","35000"
"2","取得累積分數40000分","91002","8","210","10","40000"
"2","取得累積分數45000分","91002","8","211","10","45000"
"2","取得累積分數50000分","11001303","15","212","1","50000"
