d727a0c678c7a0985e70e2eb7b7836964643084c1c8828ad05e678888d3a182f,b6c5c764b40cd965fc8b5b183763dd4ca537c5482d6102f03b79827249ac77ea,14666dacbff813f12cab8fd276b47c95e8208b946d669145b1e26128c4d8318f,5ad30b102b62ca12278543f5a8aa428ffd23833c09460d69e0afae85e906a2e3,413b8bc975f8efdbccd2a3f3b231cb014d746c3ff50b242a8dff7f127e69cac6,02911406efbfa28659fdbce171764725637cc73237fc870c1888c5ee402b3ab7,aa10dc6236fd3084651ac8e2d9f3c0845949b318f3ed14099e10d97c74fdf1e1,f5dbe31084597e3dc9e52bba1473ae09be49ccbb0df5477a23a0e59c7b168fae,37b16a5a037f034d8174c1c597791b85a35173884aa7c56bcabad287efad3678
"0","1","0","1","這裡看起來沒有人\n碰上困難呢。\n真是太好了♪","1","1","100101","1"
"0","2","0","1","冒險的準備準備……\n嗯，看來沒忘記\n什麼東西！……啊！","1","2","100101","1"
"0","3","0","1","跟隨節奏……\nOneTwo，OneTwo！\n嗯，絕佳狀態","1","3","100101","1"
"0","4","0","1","你問可以在這特訓嗎？\n小心別弄壞東西\n就沒關係喔！","1","4","100101","1"
"0","5","0","1","怎麼感覺靜不太下心呢\n難道說\n這附近有人\n遇上麻煩了嗎……？","1","5","100101","1"
"0","101","0","1","誒嘿嘿……\n謝謝你！\n一直陪在我身邊。","1","6","100101","4"
"0","102","0","1","當然記得囉\n騎士先生的聲音……\n那時候真的謝謝你啦！","1","7","100101","8"
"0","1","0","1","哇哈哈！\n敢搔癢我──！\n這是回禮啦──！\n我搔搔搔……","2","8","100101","1"
"0","2","0","1","怎麼了嗎？\n難道是有什麼煩惱嗎？\n交給我吧！","2","9","100101","1"
"0","3","0","1","那個……\n尾巴是不能摸的唷？","2","10","100101","1"
"0","4","0","1","明明已經做了禁止反應\n的特訓…但是還是\n做不到啊！不甘心～！","2","11","100101","1"
"0","101","0","1","呼啊？\n被捉弄了～！　不要\n戳人家的臉頰啦～","2","12","100101","4"
"0","102","0","1","誒嘿嘿……\n是騎士先生的手……\n暖暖的呢……♪","2","13","100101","8"
"0","1","1","1","早唷──！\n今天也要\n充滿元氣的上囉！","2","14","100101","1"
"0","2","2","1","要不要去\n拜託優衣\n做些點心呢～♪","2","15","100101","1"
"0","3","3","1","睡眠也是修行的一環\n前陣子怜\n好像說過……","2","16","100101","1"
"0","1","0","1","為了不留下疤痕\n不好好保養的話\n不行呢……","3","17","100101","1"
"0","2","0","1","只要一休息\n感覺就會一直這樣\n懶散下去了呢……","3","18","100101","1"
"0","3","0","1","把這當作新的練習對手\n開玩笑的啦開玩笑的！\n不是認真的啦！","3","19","100101","1"
"0","4","0","1","真讓人放鬆呀～\n不只是心情連身體\n都好像要融化了呢♪","3","20","100101","1"
"0","5","0","1","只要一待在暖和的地方\n就不自覺的\n會捲起身子呢……","3","21","100101","1"
"0","6","0","1","無法預知\n何時會遇上什麼情況，\n所以必須加強鍛鍊","3","22","100101","1"
"0","7","0","1","雖然很好吃，\n但要注意\n不能吃太多……！！","3","23","100101","1"
"0","8","0","1","文字一多起來\n就想睡……\n真是好險！","3","24","100101","1"
"0","1","0","1","跟隨節奏……\nOneTwo，OneTwo！\n嗯，絕佳狀態","1","26","100102","1"
"0","2","0","1","放鬆什麼的\n好像很無聊……\n要不要玩什麼遊戲？","1","27","100102","1"
"0","3","0","1","我好像不太會\n看家的樣子……\n好寂寞呦。","1","28","100102","1"
"0","4","0","1","可以也叫上\n我的朋友嗎？\n一定會很開心呦！","1","29","100102","1"
"0","5","0","1","沒有人再煩惱吧？\n到底該\n做什麼才好呢。","1","30","100102","1"
"0","101","0","1","當然記得囉\n騎士先生的聲音……\n那時候真的謝謝你啦！","1","31","100102","8"
"0","102","0","1","……為什麼我\n總是看著\n騎士先生呢……","1","32","100102","8"
"0","1","0","1","明明已經做了禁止反應\n的特訓…但是還是\n做不到啊！不甘心～！","2","33","100102","1"
"0","2","0","1","這樣摸它很開心嗎？\n……這樣啊。\n只能摸一下下呦……？","2","34","100102","1"
"0","3","0","1","把我的精神\n分給你呦！\n加油ー！　加油ー！","2","35","100102","1"
