24e3d9caa4c6608377eff5c65c33dfb1ce39ab004c6798c08e821b8af1ac0b84,ad430292e462580c46c3079946a3cfd0aa63b37dc07df4f57c8bd161c98bf687,c9ebe5a8b3e7b4fd1c6be99d5168c91270a2fae156348a05504fafc4eed236c0,a03527e9e69f38c432247057ca6cbba001e9a2428c3a8ea81184754699dbac0f,7edad7827fcd7ce79e2b44cda9fba44f609453e2a051d105133a9bcc51fc7940,a6f26a29ca5666e330dc949ce015c859ce6578e6234d33a6738ac0c9cc87750a,7a5e90b0bb0978b8e05b00760a950806d2834658b515d38c3c449a04f1353ef4,7eb9edfb54e4c96114ec09e555091c70834457c492d171b80adf4c8bd86a23ff
"1","1","1","0","0","52001","【料理】骰子增加成為兩個","1"
"2","1","1","0","0","52002","【料理】骰子只會丟出「1」","1"
"3","3","1","0","0","52002","【料理】跳過下次的回合數計算","2"
"4","1","1","0","0","52004","【料理】骰子只會丟出「4」","1"
"5","1","1","0","0","52006","【料理】骰子只會丟出\n「4・5・6」","1"
"6","1","1","0","0","52007","【料理】骰子第1次只會丟出「3」，第2次只會丟出「6」","1"
"7","1","1","0","0","52003","【料理】骰子只會丟出「5」","1"
"8","2","1","0","0","52008","【料理】里程格所獲得的里程將提升200%","7"
"9","3","2","0","0","4","【事件】跳過下次的回合數計算","2"
"10","2","2","0","0","5","【事件】里程格所獲得的里程將提升100%","3"
"11","2","2","0","0","6","【事件】小遊戲所獲得的里程將提升100%","5"
"12","3","2","0","0","7","【事件】里程商店的所有商品折價20%以上","4"
"13","1","1","0","0","52009","【料理】骰子第1次只會丟出「8」，第2次只會丟出「1」","1"
"14","2","1","0","0","52010","【料理】「里程格」「寶物格」\n「商店格」的RANK提升1個","6"
"15","1","1","0","0","52011","【料理】骰子第1次只會丟出「2」，第2次只會丟出「7」","1"
"16","1","1","0","0","52012","【料理】骰子只會丟出\n「1・2・3」","1"
"17","3","1","0","0","52012","【料理】跳過下次的回合數計算","2"
"18","1","1","0","0","52014","【料理】移動時將可以跳過里程格。","8"
"19","1","1","0","0","52005","【料理】下次移動時，將多移動1格。","1"
"20","1","1","2","2","52014","【料理】下次移動時，將多移動1格。","1"
"21","1","1","0","0","52015","【料理】骰子增加成為兩個","1"
"22","1","1","0","0","52015","【料理】下次移動時，將多移動1格。","1"
"23","1","1","0","0","52016","【料理】投擲的骰子一定會丟出「6」。","1"
"24","1","1","0","0","52017","【料理】變得無法食用移動系的料理。","9"
"25","1","1","0","0","52018","【料理】投擲的骰子一定會丟出「3」。","1"
"26","1","1","0","0","52019","【料理】投擲的骰子一定會丟出「8」。","1"
"27","3","2","0","0","98011","【事件】跳過下次的回合數計算","2"
"28","3","2","0","0","98012","【事件】跳過下次的回合數計算","2"
"29","2","1","0","0","52020","【料理】移動時將可以跳過里程格。","10"
"30","1","1","2","2","52020","【料理】下次移動時，將多移動1格。","1"
"31","2","1","0","0","52021","【料理】移動時可以跳過寶物格。","10"
"32","1","1","0","0","52022","【料理】投擲的骰子丟出「5和6」的\n機率變成3倍。","1"
"33","1","1","0","0","52023","【料理】第1次投擲骰子一定會丟出「6」，第2次一定會丟出「3」","1"
"34","1","1","0","0","52024","【料理】下次移動時多前進3格","1"
"35","2","1","0","0","52025","【料理】移動時可以跳過「里程格」及「寶物格」。","10"
"36","1","1","0","0","52027","【料理】骰子只會丟出「5」","1"
"37","1","1","0","0","52028","【料理】投擲的骰子\n只會丟出「1、2」。","1"
"38","1","1","0","0","52029","【料理】投擲的骰子一定會丟出「2」。","1"
"39","3","1","0","0","52029","【料理】跳過下次的回合數計算","2"
"40","3","2","0","0","8","【事件】里程商店的所有商品折價20%以上","4"
"41","3","1","0","0","52030","【料理】將「里程格」變成「寶物格」。","11"
"42","1","1","0","0","52031","【料理】下次投擲的骰子\n會丟出「1、6、6、6、8、8」。","1"
"43","2","1","0","0","52032","【料理】移動時可以跳過料理格","10"
"44","1","1","0","0","52034","【料理】移動時可以跳過里程格","8"
"45","1","1","0","0","52036","【料理】第1回合投擲骰子一定會丟出「12」，第2、3回合一定會丟出「1」","1"
"46","2","1","0","0","52037","【料理】「里程格」「寶物格」\n「商店格」的RANK提升1個","6"
"47","1","1","0","0","52038","【料理】骰子增加成為兩個","1"
"48","3","1","0","0","52039","【料理】將「里程格」變成「商店格子」。","11"
"49","2","1","0","0","52040","【料理】移動時可以跳過寶物格","10"
"50","1","1","0","0","52041","【料理】第1回合投擲骰子一定會丟出「7」，第2回合一定會丟出「2」","1"
"51","1","1","0","0","52042","【料理】骰子只會丟出\n「4・5・6」","1"
"52","1","1","0","0","52043","【料理】變得無法食用移動系的料理","9"
"53","1","1","0","0","52044","【料理】骰子只會丟出\n「1・2・3」","1"
"54","3","1","0","0","52044","【料理】跳過下次的回合數計算","2"
"1001","1","3","0","0","1","取得最大n里程","99"
"1002","1","3","0","0","2","重新擲1次骰子","99"
"1003","1","3","0","0","3","重新擲1次骰子_有效回合2","99"
"11001","1","3","0","0","1001","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","126501"
"11002","1","3","0","0","1002","【夥伴】取得最大1000里程","105301"
"11003","1","3","0","0","1003","【夥伴】取得1個料理","126401"
"11004","1","3","0","0","1004","【夥伴】重新擲1次骰子","100501"
"11005","1","3","0","0","1005","【夥伴】重新擲2次骰子","101301"
"11006","1","3","0","0","1006","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","104301"
"11007","1","3","0","0","1007","【夥伴】同時投擲數字為3的骰子並可在骰子之間做選擇","102701"
"11008","1","3","0","0","1008","【夥伴】追加投擲骰子直到數字合計為7以上","100901"
"11009","1","3","0","0","1009","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","105101"
"11010","1","3","0","0","1010","【夥伴】取得最大1000里程","101801"
"11011","1","3","0","0","1011","【夥伴】可以選擇使用骰子的正面或背面","129701"
"11012","1","3","0","0","1012","【夥伴】重新擲1次骰子","101601"
"11013","1","3","0","0","1013","【夥伴】重新擲2次骰子","105601"
"11014","1","3","0","0","1014","【夥伴】同時投擲數字為3的骰子並可在骰子之間做選擇","102001"
"11015","1","3","0","0","1015","【夥伴】追加投擲骰子直到數字合計為7以上","129601"
"11016","1","3","0","0","1016","【夥伴】骰子擲出奇數時，可以讓對手休息1個回合","100401"
"11017","1","3","0","0","1017","【夥伴】骰子擲出偶數時，多前進1格。","127701"
"11018","1","3","0","0","1018","【夥伴】骰子擲出奇數時，可以讓對手休息1個回合","127801"
"11019","1","3","0","0","1019","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","104801"
"11020","1","3","0","0","1020","【夥伴】重新擲2次骰子","104701"
"11021","1","3","0","0","1021","【夥伴】追加投擲骰子直到數字合計為7以上","105001"
"11022","1","3","0","0","1022","【夥伴】取得最大2000里程","103201"
"11023","1","3","0","0","1023","【夥伴】取得1張抽獎券","130901"
"11024","1","3","0","0","1024","【夥伴】取得1個料理","102501"
"11025","1","3","0","0","1025","【夥伴】可以選擇使用骰子的正面或背面","100801"
"11026","1","3","0","0","1026","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","123301"
"11027","1","3","0","0","1027","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","104601"
"11028","1","3","0","0","1028","【夥伴】重新擲2次骰子","118101"
"11029","1","3","0","0","1029","【夥伴】追加投擲骰子直到數字合計為7以上","103401"
"11030","1","3","0","0","1030","【夥伴】取得最大2000里程","118001"
"11031","1","3","0","0","1031","【夥伴】取得1張抽獎券","102801"
"11032","1","3","0","0","1032","【夥伴】取得1個料理","100201"
"11033","1","3","0","0","1033","【夥伴】骰子擲出奇數時，多前進1格。","101201"
"11034","1","3","0","0","1034","【夥伴】重新擲1次骰子","118201"
"11035","1","3","0","0","1035","【夥伴】追加投擲骰子直到數字合計為7以上","106101"
"11036","1","3","0","0","1036","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","103101"
