c67371a128eb5715d54bdaa11903c54350ce1549734e7281257150c964f5ffb3,60cb080aa48c15276044527e48fbdbe8f3c787ff83f07e6cb8dcf899aeb70614,3b2be0a0f4303a26dfe6098613e6d9f8068c5e0cf7113e7598ae4b07492e89d8,4fc760c406def07aadc62a197f8e7d9ba99e55ad58c8cfdf74c914264b68c438,a390de9c2c9f0de85b6ee6217f86675e118bb2326dd0193777a108d5cf22c28f,0a6db00bbe8b8b7ffc1227c75f38f094cab857650c05d57ff2934c47afa29b90,3a2d6a0166aea947773ae8eee16eaf7f68a8a60b2d554937f45fdc70881296e2
"1","2500","取得累積分數2500分","5126700","12","94002","50000"
"1","5000","取得累積分數5000分","0","12","94002","50000"
"1","7500","取得累積分數7500分","0","12","94002","50000"
"1","10000","取得累積分數10000分","5126701","7","2839","1"
"1","12500","取得累積分數12500分","0","12","94002","80000"
"1","15000","取得累積分數15000分","0","12","94002","80000"
"1","17500","取得累積分數17500分","0","12","94002","80000"
"1","20000","取得累積分數20000分","5126702","8","91002","25"
"1","22500","取得累積分數22500分","0","12","94002","100000"
"1","25000","取得累積分數25000分","0","12","94002","100000"
"1","27500","取得累積分數27500分","0","8","91002","100"
"1","30000","取得累積分數30000分","5126703","15","11001262","1"
"2","2500","取得累積分數2500分","5126710","12","94002","50000"
"2","5000","取得累積分數5000分","0","12","94002","50000"
"2","7500","取得累積分數7500分","0","12","94002","50000"
"2","10000","取得累積分數10000分","5126711","7","2840","1"
"2","12500","取得累積分數12500分","0","12","94002","80000"
"2","15000","取得累積分數15000分","0","12","94002","80000"
"2","17500","取得累積分數17500分","0","12","94002","80000"
"2","20000","取得累積分數20000分","5126712","8","91002","25"
"2","22500","取得累積分數22500分","0","12","94002","100000"
"2","25000","取得累積分數25000分","0","12","94002","100000"
"2","27500","取得累積分數27500分","0","8","91002","100"
"2","30000","取得累積分數30000分","5126713","15","11001263","1"
