d81ec813cfe10cdc377517962dc5461310952da01693c8000f24a30ffec4d11d,fe5a74418027d23f325c7ddb88007e672332c61ffd5e9da169d90e82ae82b8e9,a8869bec889b5ca2e478913bcff70eafd458b33e6453fa8886ed4381dfce5e59,b2ffbe836bd3f83a6891f9f424786bf3a58f5e5089ac80a49e07ab133ecdf06f,ad49e09715393ab8337f12ad248ce7995bec290410e3ebf8a52028e2d0dd1bb6,c2aea8f7abbef2380c43002a7bcf96169ff92f89fe617d9ad5153a70320f465b,d67f4e9366ebd515f1691461bdd3059456e9b3edf1d050bdc2718a46a91c97da,717b5fccfc87c54e8c2c6755ab40f7e2484495b8a73493360673e368eaa08792,733454fdeba4a2ec07c9a13540504b8e3d238611450ba866e43385cad6af3bc0,3f0ce621912058dacadebf428b9ef1f6c28dffab2bc7225424986fc2c322af44,56a5f688f16516acb859ab5e20506475e891dbd079a62520bd207a42dccb3d51,c61e735e6de97412b6e376bdf81a508abb7a7a2b9fcbdce79ab8db688f80443a
"3","1","0","0","1120001","12","0","1","0","0","4","0"
"0","2","vo_nyx_0101","0","1120002","12","0","0","0","0","2","vo_nyx"
"0","3","0","1","1120003","12","278","0","2.698","0","1","0"
"1","4","0","0","1120004","12","0","3.334","0","0","4","0"
"0","5","vo_nyx_0102","0","1120005","12","0","0","0","0","2","vo_nyx"
"0","6","0","1","1120006","12","382","0","1.055","278","1","0"
"1","7","0","0","1120007","12","0","1.055","0","0","4","0"
"0","8","0","2","1120008","12","78","0","0.732","0","1","0"
"1","9","0","0","1120009","12","0","1.05","0","0","4","0"
"0","10","0","2","1120010","12","365","0","2.42","78","1","0"
"1","11","0","0","1120011","12","0","3.5","0","0","4","0"
"3","12","0","0","1120012","12","0","2","0","0","4","0"
"0","13","vo_nyx_0103","0","1120013","12","0","0","0","0","2","vo_nyx"
"0","14","0","3","1120014","12","79","0","0.815","0","1","0"
"1","15","0","0","1120015","12","0","1.157","0","0","4","0"
"0","16","0","3","1120016","12","372","0","2.763","79","1","0"
"1","17","0","0","1120017","12","0","2.763","0","0","4","0"
"0","18","0","4","1120018","12","250","0","2.388","0","1","0"
"1","19","0","0","1120019","12","0","3.338","0","0","4","0"
"0","20","vo_nyx_0104","0","1120020","12","0","0","0","0","2","vo_nyx"
"0","21","0","5","1120021","12","108","0","0.778","0","1","0"
"1","22","0","0","1120022","12","0","1.214","0","0","4","0"
"0","23","0","5","1120023","12","375","0","3.167","108","1","0"
"1","24","0","0","1120024","12","0","3.61","0","0","4","0"
"0","25","0","6","1120025","12","279","0","2.618","0","1","0"
"1","26","0","0","1120026","12","0","3.198","0","0","4","0"
"0","27","vo_nyx_0105","0","1120027","12","0","0","0","0","2","vo_nyx"
"0","28","0","6","1120028","12","392","0","1.4","279","1","0"
"1","29","0","0","1120029","12","0","1.448","0","0","4","0"
"0","30","0","7","1120030","12","309","0","2.927","0","1","0"
"1","31","0","0","1120031","12","0","3.811","0","0","4","0"
"3","32","0","0","1120032","12","0","3","0","0","4","0"
"0","33","vo_nyx_0106","0","1120033","12","0","0","0","0","2","vo_nyx"
"0","34","0","7","1120034","12","360","0","0.506","309","1","0"
"1","35","0","0","1120035","12","0","1.175","0","0","4","0"
"3","36","0","0","1120036","12","0","3","0","0","4","0"
"0","37","vo_nyx_0107","0","1120037","12","0","0","0","0","2","vo_nyx"
"0","38","0","8","1120038","12","233","0","1.439","0","1","0"
"1","39","0","0","1120039","12","0","1.439","0","0","4","0"
"0","40","0","8","1120040","12","345","0","1.462","233","1","0"
"1","41","0","0","1120041","12","0","2.178","0","0","4","0"
"0","42","vo_nyx_0108","0","1120042","12","0","0","0","0","2","vo_nyx"
"0","43","0","9","1120043","12","400","0","3.765","0","1","0"
"1","44","0","0","1120044","12","0","4.495","0","0","4","0"
"0","45","vo_nyx_0109","0","1120045","12","0","0","0","0","2","vo_nyx"
"0","46","0","10","1120046","12","109","0","1.137","0","1","0"
"1","47","0","0","1120047","12","0","1.484","0","0","4","0"
"0","48","0","10","1120048","12","395","0","2.686","109","1","0"
"1","49","0","0","1120049","12","0","2.686","0","0","4","0"
"0","50","0","11","1120050","12","127","0","0.736","0","1","0"
"1","51","0","0","1120051","12","0","1.06","0","0","4","0"
"0","52","vo_nyx_0110","0","1120052","12","0","0","0","0","2","vo_nyx"
"0","53","0","11","1120053","12","133","0","0.353","127","1","0"
"1","54","0","0","1120054","12","0","1.137","0","0","4","0"
"0","55","vo_nyx_0111","0","1120055","12","0","0","0","0","2","vo_nyx"
"0","56","0","12","1120056","12","406","0","2.51","0","1","0"
"1","57","0","0","1120057","12","0","3.164","0","0","4","0"
"0","58","vo_nyx_0112","0","1120058","12","0","0","0","0","2","vo_nyx"
"0","59","0","13","1120059","12","155","0","1.532","0","1","0"
"1","60","0","0","1120060","12","0","1.62","0","0","4","0"
"0","61","0","13","1120061","12","374","0","1.367","155","1","0"
"1","62","0","0","1120062","12","0","2.245","0","0","4","0"
"0","63","vo_nyx_0113","0","1120063","12","0","0","0","0","2","vo_nyx"
"0","64","0","14","1120064","12","124","0","1.116","0","1","0"
"1","65","0","0","1120065","12","0","1.735","0","0","4","0"
"0","66","0","14","1120066","12","238","0","1.048","124","1","0"
"1","67","0","0","1120067","12","0","2.848","0","0","4","0"
"3","1","0","0","1130001","13","0","1","0","0","4","0"
"0","2","vo_nyx_0201","0","1130002","13","0","0","0","0","2","vo_nyx"
"0","3","0","1","1130003","13","36","0","0.382","0","1","0"
"1","4","0","0","1130004","13","0","0.672","0","0","4","0"
"0","5","0","1","1130005","13","67","0","0.65","36","1","0"
"1","6","0","0","1130006","13","0","1.115","0","0","4","0"
"0","7","0","1","1130007","13","192","0","2.158","67","1","0"
"1","8","0","0","1130008","13","0","2.541","0","0","4","0"
"0","9","0","1","1130009","13","365","0","0.914","192","1","0"
"1","10","0","0","1130010","13","0","0.914","0","0","4","0"
"0","11","0","2","1130011","13","220","0","1.72","0","1","0"
"1","12","0","0","1130012","13","0","1.5","0","0","4","0"
"3","13","0","0","1130013","13","0","2","0","0","4","0"
"1","14","0","0","1130014","13","0","1.726","0","0","4","0"
"0","15","vo_nyx_0202","0","1130015","13","0","0","0","0","2","vo_nyx"
"0","16","0","3","1130016","13","335","0","2.838","0","1","0"
"1","17","0","0","1130017","13","0","3.334","0","0","4","0"
"0","18","0","4","1130018","13","300","0","2.491","0","1","0"
"1","19","0","0","1130019","13","0","3.427","0","0","4","0"
"3","20","0","0","1130020","13","0","3","0","0","4","0"
"0","21","vo_nyx_0203","0","1130021","13","0","0","0","0","2","vo_nyx"
"0","22","0","5","1130022","13","28","0","0.475","0","1","0"
"1","23","0","0","1130023","13","0","0.872","0","0","4","0"
"0","24","0","5","1130024","13","103","0","1.001","28","1","0"
"1","25","0","0","1130025","13","0","1.492","0","0","4","0"
"0","26","0","5","1130026","13","310","0","1.73","103","1","0"
"1","27","0","0","1130027","13","0","2.045","0","0","4","0"
"0","28","0","5","1130028","13","395","0","0.87","310","1","0"
"1","29","0","0","1130029","13","0","1.949","0","0","4","0"
"0","30","vo_nyx_0204","0","1130030","13","0","0","0","0","2","vo_nyx"
"0","31","0","6","1130031","13","165","0","1.885","0","1","0"
"1","32","0","0","1130032","13","0","2.37","0","0","4","0"
"0","33","0","6","1130033","13","311","0","0.939","165","1","0"
"1","34","0","0","1130034","13","0","1.12","0","0","4","0"
"0","35","0","6","1130035","13","388","0","0.5","311","1","0"
"1","36","0","0","1130036","13","0","1.435","0","0","4","0"
"0","37","vo_nyx_0205","0","1130037","13","0","0","0","0","2","vo_nyx"
"0","38","0","7","1130038","13","45","0","0.58","0","1","0"
"1","39","0","0","1130039","13","0","0.976","0","0","4","0"
"0","40","0","7","1130040","13","292","0","1.425","45","1","0"
"1","41","0","0","1130041","13","0","1.683","0","0","4","0"
"0","42","0","7","1130042","13","292","0","0.85","292","1","0"
"1","43","0","0","1130043","13","0","1.9","0","0","4","0"
"3","44","0","0","1130044","13","0","4","0","0","4","0"
"0","45","vo_nyx_0206","0","1130045","13","0","0","0","0","2","vo_nyx"
"0","46","0","7","1130046","13","322","0","0.43","292","1","0"
"1","47","0","0","1130047","13","0","1.105","0","0","4","0"
"0","48","0","7","1130048","13","396","0","0.759","322","1","0"
"1","49","0","0","1130049","13","0","0.759","0","0","4","0"
"0","50","0","8","1130050","13","134","0","1.136","0","1","0"
"1","51","0","0","1130051","13","0","1.533","0","0","4","0"
"0","52","0","8","1130052","13","360","0","1.347","134","1","0"
"1","53","0","0","1130053","13","0","1.518","0","0","4","0"
"0","54","0","8","1130054","13","360","0","0.981","360","1","0"
"1","55","0","0","1130055","13","0","1.862","0","0","4","0"
"3","56","0","0","1130056","13","0","5","0","0","4","0"
"0","57","vo_nyx_0207","0","1130057","13","0","0","0","0","2","vo_nyx"
"0","58","0","9","1130058","13","36","0","0.44","0","1","0"
"1","59","0","0","1130059","13","0","0.9","0","0","4","0"
"0","60","0","9","1130060","13","276","0","1.404","36","1","0"
"1","61","0","0","1130061","13","0","1.74","0","0","4","0"
"0","62","0","9","1130062","13","325","0","0.986","276","1","0"
"1","63","0","0","1130063","13","0","0","0","0","4","0"
"0","64","0","9","1130064","13","377","0","0.437","325","1","0"
"1","65","0","0","1130065","13","0","0","0","0","4","0"
"0","66","0","10","1130066","13","376","0","1.317","0","1","0"
"1","67","0","0","1130067","13","0","1.317","0","0","4","0"
"0","68","0","10","1130068","13","376","0","2.659","376","1","0"
"1","69","0","0","1130069","13","0","0","0","0","4","0"
"0","70","0","11","1130070","13","190","0","1.834","0","1","0"
"1","71","0","0","1130071","13","0","6.509","0","0","4","0"
"0","72","vo_nyx_0208","0","1130072","13","0","0","0","0","2","vo_nyx"
"0","73","0","12","1130073","13","110","0","1.574","0","1","0"
"1","74","0","0","1130074","13","0","2.083","0","0","4","0"
"0","75","0","12","1130075","13","270","0","1.236","110","1","0"
"1","76","0","0","1130076","13","0","1.443","0","0","4","0"
"0","77","0","12","1130077","13","345","0","0.869","270","1","0"
"1","78","0","0","1130078","13","0","1.288","0","0","4","0"
"0","79","0","13","1130079","13","141","0","0.48","0","1","0"
"1","80","0","0","1130080","13","0","0.81","0","0","4","0"
"0","81","0","13","1130081","13","141","0","0.789","141","1","0"
"1","82","0","0","1130082","13","0","1.627","0","0","4","0"
"0","83","vo_nyx_0209","0","1130083","13","0","0","0","0","2","vo_nyx"
"0","84","0","13","1130084","13","250","0","0.707","141","1","0"
"1","85","0","0","1130085","13","0","2.507","0","0","4","0"
"3","1","0","0","1140001","14","0","1","0","0","4","0"
"0","2","vo_nyx_0301","0","1140002","14","0","0","0","0","2","vo_nyx"
"0","3","0","1","1140003","14","105","0","1.075","0","1","0"
"1","4","0","0","1140004","14","0","1.692","0","0","4","0"
