8940890469fddc913dfb516f8e22e1858ecec5651c3f7e57315354ab388b810c,6d36c72020f920f5a1beb16bdb6dbed2bc179b5ae20c1d7a9c08b2d78481c4fe,77ab68c29ac5dcf50b3110106d6c23d57f6f3e77f5d4199945a8bf691e434e3c,f0c13f6500c1aa245e1a515adb550f27d69ea37e1cfb4e485868170b2d339059,4813f99aa382c2a29b8bcebd5d3eeb4836dd25d0369d4e02866f8cb891e75b17,8dbc6424c5d9b3c41a8ed0d9baa541bdc6b1f43b4bc77e5cf8432de136c3faf4,9c1279b05461e02b85181222d0ed57fe054a79ece8c04a3491a6c1a78740fdd5,d1aa9e7f968b1ae90b5946a821602d7a7c7bd11472bc568d64c7c9e89a96e619,439defd73601e3839d5cc5941dbcd8b8184e9c5d1c18cd7470381497b6ea8f4c,44b581020587d2f1be731dd5e969eb7c7919231e777a9d461fc965920449f3ad,192ace3142773caa0aae9730022b82bc4ec59bc49e63de44662f3850c6e77586,51e0c354e0eea2fdc5ae7b29eff3000c7e0774dd15a03a36b8c909868c9fffe1
"4","0","104","0","1","11041","0","0","101","1","2","0"
"2","0","14","0","2","10141","0","1","201","2","3","0"
"2","0","103","0","3","11031","0","2","301","3","2","0"
"1","0","102","0","4","11021","0","3","401","4","1","0"
"4","0","104","0","5","11041","0","4","501","5","2","0"
"1","0","1","0","6","10011","0","5","601","6","3","0"
"3","0","101","0","7","11011","0","6","701","7","4","0"
"1","0","100","0","8","11001","0","7","801","8","3","0"
"4","0","104","0","9","11041","0","8","901","9","2","0"
"2","0","1","0","10","10011","0","9","1001","10","3","0"
"1","0","51","0","11","10511","0","10","1101","11","4","0"
"2","0","52","0","12","10521","0","11","1201","12","3","0"
"4","0","104","0","13","11041","0","12","1301","13","2","0"
"1","0","103","0","14","11031","0","13","1401","14","1","0"
"1","0","102","0","15","11021","0","14","1501","15","2","0"
"1","0","1","0","16","10011","0","15","1601","16","3","0"
"4","0","104","0","17","11041","0","16","1701","17","2","0"
"2","0","50","0","18","10501","0","17","1801","18","3","0"
"3","0","101","0","19","11011","0","18","1901","19","4","0"
"2","0","100","0","20","11001","0","19","2001","20","3","0"
"4","0","104","0","21","11041","0","20","2101","21","2","0"
"3","0","1","0","22","10011","0","21","2201","22","1","0"
"2","0","100","0","23","11001","0","22","2301","23","3","0"
"2","0","101","0","24","11011","0","23","2401","24","2","0"
"4","0","104","0","25","11041","0","24","2501","25","3","0"
"3","0","50","0","26","10501","0","25","2601","26","4","0"
"3","0","52","0","27","10521","0","26","2701","27","3","0"
"1","0","50","0","28","10501","0","27","2801","28","1","0"
"4","0","104","0","29","11041","0","28","2901","29","2","0"
"3","0","51","0","30","10511","0","29","3001","30","1","0"
"2","0","100","0","31","11001","0","30","3101","31","2","0"
"1","0","101","0","32","11011","0","31","3201","32","3","0"
"4","0","104","0","33","11041","0","32","3301","33","4","0"
"3","0","100","0","34","11001","0","33","3401","34","3","0"
"4","0","104","0","35","11041","0","34","3501","35","2","0"
"2","0","103","0","36","11031","0","35","3601","36","3","0"
"1","0","102","0","37","11021","0","36","3701","37","2","0"
"2","0","50","0","38","10501","0","37","3801","38","1","0"
"3","0","102","0","39","11021","0","38","3901","39","3","0"
"4","0","104","0","40","11041","0","39","4001","40","4","0"
"1","0","100","0","41","11001","0","40","4101","41","3","0"
"3","0","52","0","42","10521","0","41","4201","42","2","0"
"4","0","104","0","43","11041","0","42","4301","43","1","0"
"1","0","103","0","44","11031","0","43","4401","44","2","0"
"4","0","104","0","45","11041","0","44","4501","45","1","0"
"3","0","101","0","46","11011","0","45","4601","46","3","0"
"1","0","102","0","47","11021","0","46","4701","47","4","0"
"4","0","104","0","48","11041","0","47","4801","48","2","0"
"2","0","103","0","49","11031","0","48","4901","49","3","0"
"4","0","104","0","50","11041","0","49","5001","50","2","0"
"2","0","101","0","51","11011","0","50","5101","51","1","0"
"3","0","102","0","52","11021","0","51","5201","52","2","0"
"4","0","104","0","53","11041","0","52","5301","53","3","0"
"1","0","52","0","54","10521","0","53","5401","54","4","0"
"3","0","103","0","55","11031","0","54","5501","55","3","0"
"4","0","104","0","56","11041","0","55","5601","56","4","0"
"1","0","100","0","57","11001","0","56","5701","57","2","0"
"3","0","101","0","58","11011","0","57","5801","58","3","0"
"2","0","103","0","59","11031","0","58","5901","59","4","0"
"4","0","104","0","60","11041","0","59","6001","60","3","0"
"1","0","102","0","61","11021","0","60","6101","61","1","0"
"3","0","50","0","62","10501","0","61","6201","62","2","0"
"4","0","104","0","63","11041","0","62","6301","63","1","0"
"2","0","103","0","64","11031","0","63","6401","64","2","0"
"1","0","102","0","65","11021","0","64","6501","65","3","0"
"4","0","104","0","66","11041","0","65","6601","66","2","0"
"1","0","52","0","67","10521","0","66","6701","67","3","0"
"2","0","102","0","68","11021","0","67","6801","68","2","0"
"4","0","104","0","69","11041","0","68","6901","69","4","0"
"2","0","103","0","70","11031","0","69","7001","70","3","0"
"3","0","101","0","71","11011","0","70","7101","71","2","0"
"2","0","100","0","72","11001","0","71","7201","72","3","0"
"4","0","104","0","73","11041","0","72","7301","73","1","0"
"1","0","103","0","74","11031","0","73","7401","74","1","0"
"3","0","102","0","75","11021","0","74","7501","75","3","0"
"1","0","50","0","76","10501","0","75","7601","76","4","0"
"4","0","104","0","77","11041","0","76","7701","77","3","0"
"2","0","101","0","78","11011","0","77","7801","78","2","0"
"3","0","100","0","79","11001","0","78","7901","79","3","0"
"4","0","104","0","80","11041","0","79","8001","80","2","0"
"3","0","52","0","81","10521","0","80","8101","81","1","0"
"1","0","101","0","82","11011","0","81","8201","82","2","0"
"3","0","50","0","83","10501","0","82","8301","83","4","0"
"1","0","103","0","84","11031","0","83","8401","84","3","0"
"4","0","104","0","85","11041","0","84","8501","85","2","0"
"2","0","100","0","86","11001","0","85","8601","86","3","0"
"2","0","102","0","87","11021","0","86","8701","87","2","0"
"2","0","103","0","88","11031","0","87","8801","88","1","0"
"4","0","104","0","89","11041","0","88","8901","89","3","0"
"1","0","102","0","90","11021","0","89","9001","90","2","0"
"4","0","104","0","91","11041","0","90","9101","91","3","0"
"3","0","50","0","92","10501","0","91","9201","92","4","0"
"4","0","104","0","93","11041","0","92","9301","93","3","0"
"1","0","102","0","94","11021","0","93","9401","94","2","0"
"2","0","103","0","95","11031","0","94","9501","95","2","0"
"4","0","104","0","96","11041","0","95","9601","96","3","0"
"4","0","104","0","97","11041","0","96","9701","97","2","0"
"2","0","101","0","98","11011","0","97","9801","98","2","0"
"4","0","104","0","99","11041","0","98","9901","99","3","0"
"1","0","102","0","100","11021","0","99","10001","100","1","0"
"3","0","103","0","101","11031","0","100","10101","101","3","0"
"4","0","104","0","102","11041","0","101","10201","102","4","0"
"3","0","50","0","103","10501","0","102","10301","103","2","0"
"1","0","100","0","104","11001","0","103","10401","104","3","0"
"4","0","104","0","105","11041","0","104","10501","105","4","0"
"2","0","103","0","106","11031","0","105","10601","106","2","0"
"4","0","104","0","107","11041","0","106","10701","107","1","0"
"2","0","103","0","108","11031","0","107","10801","108","3","0"
"3","0","100","0","109","11001","0","108","10901","109","3","0"
"4","0","104","0","110","11041","0","109","11001","110","1","0"
"3","0","101","0","111","11011","0","110","11101","111","2","0"
"4","0","104","0","112","11041","0","111","11201","112","4","0"
"1","0","102","0","113","11021","0","112","11301","113","3","0"
"4","0","104","0","114","11041","0","113","11401","114","2","0"
"2","0","103","0","115","11031","0","114","11501","115","4","0"
"4","0","104","0","116","11041","0","115","11601","116","3","0"
"2","0","102","0","117","11021","0","116","11701","117","2","0"
"4","0","104","0","118","11041","0","117","11801","118","2","0"
"3","0","52","0","119","10521","0","118","11901","119","1","0"
"4","0","104","0","120","11041","0","119","12001","120","3","0"
"1","0","102","0","121","11021","0","120","12101","121","3","0"
"3","0","103","0","122","11031","0","121","12201","122","4","0"
"2","0","100","0","123","11001","0","122","12301","123","2","0"
"1","0","102","0","124","11021","0","123","12401","124","1","0"
"4","0","104","0","125","11041","0","124","12501","125","3","0"
"2","0","101","0","126","11011","0","125","12601","126","2","0"
"3","0","100","0","127","11001","0","126","12701","127","1","0"
"2","0","50","0","128","10501","0","127","12801","128","2","0"
"4","0","104","0","129","11041","0","128","12901","129","3","0"
"1","0","101","0","130","11011","0","129","13001","130","1","0"
"3","0","103","0","131","11031","0","130","13101","131","3","0"
"4","0","104","0","132","11041","0","131","13201","132","4","0"
"3","0","102","0","133","11021","0","132","13301","133","3","0"
"1","0","100","0","134","11001","0","133","13401","134","3","0"
"4","0","104","0","135","11041","0","134","13501","135","2","0"
"4","0","104","0","136","11041","0","135","13601","136","1","0"
"1","0","101","0","137","11011","0","136","13701","137","1","0"
"2","0","100","0","138","11001","0","137","13801","138","3","0"
"4","0","104","0","139","11041","0","138","13901","139","4","0"
"3","0","101","0","140","11011","0","139","14001","140","2","0"
"4","0","104","0","141","11041","0","140","14101","141","1","0"
"3","0","52","0","142","10521","0","141","14201","142","2","0"
"2","0","100","0","143","11001","0","142","14301","143","3","0"
"1","0","103","0","144","11031","0","143","14401","144","4","0"
"4","0","104","0","145","11041","0","144","14501","145","2","0"
"4","0","104","0","146","11041","0","145","14601","146","3","0"
"2","0","102","0","147","11021","0","146","14701","147","2","0"
"2","0","103","0","148","11031","0","147","14801","148","1","0"
"4","0","104","0","149","11041","0","148","14901","149","3","0"
"3","0","102","0","150","11021","0","149","15001","150","3","0"
"1","0","103","0","151","11031","0","150","15101","151","4","0"
"4","0","104","0","152","11041","0","151","15201","152","2","0"
"2","0","102","0","153","11021","0","152","15301","153","1","0"
"4","0","104","0","154","11041","0","153","15401","154","3","0"
"3","0","101","0","155","11011","0","154","15501","155","2","0"
"4","0","104","0","156","11041","0","155","15601","156","4","0"
