e4fc6b5fb48125a68d6873e752884b201d9793d182afde988cec48663f492a16,b4f7f55ff3a4d67f3fa4012b24a1d039fe6224d985ca2a521f14289b921f8350,57ff24545126ae926a1a1bd6a4305227bdb86307539e6abf03a6ec18f80d0010,c53c327137502f415e62ab69b2bb8b3da27847786b9e58a145d891ed36854b84,53f045d277f2d1c5579a66ebddc822f344b51443bfdd46d3605940550d23941f,6796d584f302fd4b76ff0562f40d5872bf3f3541793fc07ca4a13495004b9f95,8d91593e68fe1b69dfacf83a40169fe4b837d85d3b9e3ab12a3b61e6c97b01d4,2359bdc3dfada8542df437229c144e0c09d0e3ce56337d6667ac21cf6947de5e,3a675fcf8dd0e2a171414ba17c1b56153cb5ce87174eb768bddc534b002052c4,5079f17641262c3275f49848c94ced34e9d59ab85f49b5e9b73395eb86fab808,184948bf9a6d4842860aa9bbd89ba951a06b019f56173521a83232e1d7bde3d4
"0","1","ＴＰ上升+5","在迷宮內發現的耳環。\n會賦予裝備者活力加速的效果。","11001","1","1800","1","加速玉飾","10","11001"
"0","1","每受到傷害時恢復ＴＰ100（最多１次）","在迷宮內發現的圓盾。\n能將受到的攻擊轉換為能量。","11002","1","1800","1","水蓮之盾","10","11002"
"0","1","戰鬥開始時恢復ＴＰ100","在迷宮內發現的手環。\n當戰鬥開始，會同時給予\n裝備者能量。","11003","1","1800","1","青輝之環","10","11003"
"0","1","ＴＰ消耗減輕＋2","在迷宮內發現的法杖。\n會賦予裝備者保存力量的效果。","11004","1","1800","1","冷玉法杖","10","11004"
"0","1","可重複的行動速度＋10％","在迷宮內發現的鞋。\n能讓裝備者迅速行動。","11005","1","1800","1","踏風之鞋","10","11005"
"0","2","狀態異常命中＋20","在迷宮內發現的首飾。\n能更容易對敵人造成異常狀態。","12001","1","1800","1","紫晶比薩利歐","10","12001"
"0","2","對敵方全體施加詛咒（每秒【弱化】數×500傷害）","在迷宮內發現的法杖。光持有\n就能詛咒敵人。","12002","1","1800","1","魔杖梅吉那耶","10","12002"
"0","2","對敵方全體施加中毒（每秒【弱化】數×500傷害）","在迷宮內發現的短劍。\n光持有就能令敵人中毒。","12003","1","1800","1","暗劍劇毒","10","12003"
"0","2","敵人的物理/魔法攻擊力－10％","在迷宮內發現的帽子。\n一旦裝備，就能弱化敵人的攻擊。","12004","1","1800","1","破防帽消解","10","12004"
"0","2","敵人的物理/魔法防禦力－10％","在迷宮內發現的刀。\n擁有瓦解敵人防禦的力量。","12005","1","1800","1","崩刀山崎","10","12005"
"0","3","敵人的物理/魔法被暴擊傷害＋10％","在迷宮內發現的槍。能以犀利\n的一擊對敵人造成重傷。","13001","1","1800","1","殺手長矛","10","13001"
"0","3","物理/魔法暴擊傷害＋10％","在迷宮內發現的刀。可提高\n賦予致命攻擊時的威力。","13002","1","1800","1","賞花之刀","10","13002"
"0","3","普通攻擊強化＋30","在迷宮內發現的法杖。\n能施展出經過強化的一擊。","13003","1","1800","1","劈裂拳套","10","13003"
"0","3","物理/魔法暴擊率＋10％","在迷宮內發現的弓。一旦裝備，\n能更容易給予致命一射。","13004","1","1800","1","暴擊之弓","10","13004"
"0","3","ＨＰ吸收＋10","在迷宮內發現的斧頭。在攻擊\n的同時，能吸取敵人的體力。","13005","1","1800","1","吸收手斧","10","13005"
"0","4","增益強化＋30","在迷宮內發現的耳飾。可提高\n裝備者的強化效果。","14001","1","1800","1","強化寶石","10","14001"
"0","4","提升物理/魔法攻擊力\n（前方角色的物理防禦力×5）","在迷宮內發現的鎧甲。能將\n夥伴的強韌轉換為自身的攻擊。","14002","1","1800","1","抗鐵板甲","10","14002"
