87d7cbea93aae8c0f56ff877b19239d3a091b8ba8e03227fa3cfbd8f4316ef0a,58ea7768d73a3340221a9ca020bd1eb1b6daed9cb93a9d63bc2247eed4391861,debc4ada2aff072a7657b340b2a85bb929f6cc6431d5a87e82ce48e33bad59a3,f7d01f2f5456960d4d108805963a7ee17f8902ef381259528370dc282dde502d,2815d8dc71807f0a5971b56443cd4cff23cc86a8c8d515702175edb210b4f677,fcf0ca045189ad6f138cdf4b9b2348c2aa27219e9cb56534b93d895c88a355db,6bd79a298bf53b417ec8cb4a4cdb6ee01b665814474a6de1eba42aa97999f467,59c000c882500e15d4636209e0d3f0293414e2a9dc691a222f897af4f7dd44aa
"10001","塔爾格姆地區","10001101","bgm_M32","10001101","10001","10001","bgm_M32"
"10002","馬席納地區","10002101","bgm_M98","10002101","10002","10002","bgm_M98_2"
"10003","蘭德索爾郊外","10003101","bgm_M106","10003101","10003","10003","bgm_M106"
"10004","塔帕斯海灘 周邊","10004101","bgm_M112","10004101","10004","10004","bgm_M112"
"10005","伊爾席翁的孤島","10005101","bgm_M121","10005101","10005","10005","bgm_M121"
"10006","王城蘭德索爾","10006101","bgm_M128","10006101","10006","10006","bgm_M128"
"10007","蘭德索爾近郊","10007101","bgm_M135","10007101","10007","10007","bgm_M135"
"10008","蘭德索爾近郊","10008101","bgm_M121","10008101","10008","10008","bgm_M121"
"10009","聖誕節","10009101","bgm_M171","10009101","10009","10009","bgm_M171"
"10010","往神殿的參道","10010101","bgm_M121","10010101","10010","10010","bgm_M121"
"10011","情人節","10011101","bgm_M189","10011101","10011","10011","bgm_M189"
"10012","王城蘭德索爾","10012101","bgm_M206","10012101","10012","10012","bgm_M206"
"10013","馬納歷亞","10013101","bgm_M215","10013101","10013","10013","bgm_M215"
"10014","塔爾格姆地區","10014101","bgm_M32","10014101","10014","10014","bgm_M32"
"10015","大江戶大街","10015101","bgm_M189","10015101","10015","10015","bgm_M189"
