b4fb56985129dbbee37546d6701fefce25e08b26340985d2cdc385c8583e6584,ce0755c86188e9b1fd4b4dca2568372dd39a1528df6644147dafabd489b55e1b,8d4734f75d43fc09c4ea5fc812869265acb56e31262c9474aca2f7c2eb5d0618,08cec81c728041922f210e0eed778b1f799fcb16220c28e637445785ad9bd18e,a25f1dec092c32085a37ed24e5d524576bf85c1f18f314d048def87ffd777314,4865f41ca8197b28ba414471787874cc580b619bcbb18f18b9df111215797af4
"1","自動","1","1","","2019/02/15 15:00:00"
"2","預設","2","2","","2019/02/15 15:00:00"
"3","周年","3","3","","2020/08/03 16:00:00"
"4","粉紅色","4","1","","2020/04/20 12:00:00"
"5","紅色","5","1","","2020/04/20 12:00:00"
"6","黃色","6","1","","2020/04/20 12:00:00"
"7","綠色","7","1","","2020/04/20 12:00:00"
"8","淺藍色","8","1","","2020/04/20 12:00:00"
"9","藍色","9","1","","2020/04/20 12:00:00"
"10","紫色","10","1","","2020/04/20 12:00:00"
"11","灰色","11","1","","2020/04/20 12:00:00"
