ac97e26bd79d11e4233c4c743fc131d4d3a745c240ff005609def316d08cb165,5a4afaafae76717772501bed4531f163381397899101ba1ca4ae038409e3544e,a5add291b5b36e21bf653a19c7cb13d773ea7862c27d2f239bd4a5303deeab64,f5a7dcf3a65340318362de55a076488250ebd92df58d8d929057f12825095b45
"1","9040001","11100","0"
"2","9050001","107101","5"
"3","9050001","108101","5"
"4","9050001","108301","5"
"5","9040002","11100","0"
"6","9040003","11100","0"
"7","9010001","91001","0"
"8","9020001","91001","0"
"9","9020001","91002","0"
"10","9040004","11101","0"
"11","9040005","11102","0"
