e3419fa4b8fa60539106674cf7695a868a4aae63fcd5ab62f78c8ca11223bd1f,db13481a36f0181c5e045ffb96ab953b5372c7b4395f477fbef7c69bce8913d7,ae16f3a282ebfb275ba0faecb98857aedf76aecca2da8bbb2694edcfe8677f7c,ae46fd1c1c87bb79b3366ae8cc33150fed9d9511552b5eabc1b8339df7605841,6908f72067f4dcce10478c4adb9f70795265daa953f9aa683f59bc1875d05287,84d887ade0548623dd4a3a2146bab14659628bfab633376c81424312c33c3b7a,ff1d302c4bdf368c292d7ee5b5e984b96f38f00cece388869f43b0f7f2bf2775
"1","10","獲得累積分數2500分","8","101","91002","2500"
"1","10","獲得累積分數5000分","8","102","91002","5000"
"1","10","獲得累積分數10000分","8","103","91002","10000"
"1","10","獲得累積分數12500分","8","104","91002","12500"
"1","10","獲得累積分數15000分","8","105","91002","15000"
"1","10","獲得累積分數20000分","8","106","91002","20000"
"1","10","獲得累積分數25000分","8","107","91002","25000"
"1","10","獲得累積分數30000分","8","108","91002","30000"
"1","10","取得累積分數35000分","8","109","91002","35000"
"1","10","取得累積分數40000分","8","110","91002","40000"
"1","10","取得累積分數45000分","8","111","91002","45000"
"1","1","取得累積分數50000分","15","112","11001302","50000"
"2","10","獲得累積分數2500分","8","201","91002","2500"
"2","10","獲得累積分數5000分","8","202","91002","5000"
"2","10","獲得累積分數10000分","8","203","91002","10000"
"2","10","獲得累積分數12500分","8","204","91002","12500"
"2","10","獲得累積分數15000分","8","205","91002","15000"
"2","10","獲得累積分數20000分","8","206","91002","20000"
"2","10","獲得累積分數25000分","8","207","91002","25000"
"2","10","獲得累積分數30000分","8","208","91002","30000"
"2","10","取得累積分數35000分","8","209","91002","35000"
"2","10","取得累積分數40000分","8","210","91002","40000"
"2","10","取得累積分數45000分","8","211","91002","45000"
"2","1","取得累積分數50000分","15","212","11001303","50000"
