e1551c4cd8970d26d5fa1866989e0b8e118df9edd3b4b1f931e80fd8013f6942,73c07dc4486f809a4a2507988fdf6d7dcbce94d0663bae281064480b272e3c49,2e719797ad4df210953bf649c5205a08088e26a813a097e7b672af179bbae6aa,82af7b87258fc962d01a8eb7b6a83404f2ce4c68a887fc048863c0258aa7f635,34e297fb04a981ca291d6ba5a032e963aff243c01b21a37fbb7064f7cc2565a3,fa3db0e97ee5cbba35a728f67cea47ec115cbb1359e14891e6ffb61629783030,68af9c802c5b2056a35d4735dd70488d142bd80da55f5ec4742eb5992231c479,f6a5dd840d5266bcd66264280073ece51db46abec5081358c55a90bfc8ee5602,63f8dce931e476014a54809d63699906cd865430a4786deadf3b0f7c7b4f8558,765b03cc0daccefde328f9137340dfe928742b33c055129cfd3e9ccf9957e868,b879f721be6009f776392e3c944004232693d7a361a51aaeb97efc96cd6177cd,d24bbf926c651910175b5fbdb39c254d119598a50d4d58f77b33ac6f1ee2db73,81d90fc9b3987ff222fe3ac6d06fe457e2e4f63cdac284c1b3b97207441d0d89,993422c33218d7c1ac00dc59a82d82b807e186ec74495c07f4ee976565895859,c294e33ace79a25c8895ae9a341f514ebb1617f9e8ecb3c93ce53784873a55b0,da9f96aa3660e0a4cbf2308ed05184de99511b54d46c1b5b8903cc17ebb040f6,01e5551d78657e9cb41001a738f6c4b02076714ca06f6973c9b3641eb8b0999b,7d62daa52dfa98c582d99fc2c1034829cf2e2ebec9fc6e483e62709de150d28d
"76010001","bgm_M299","102271","0.95","102271","0","-100","-100","-250","-200","0","0","霸瞳皇帝的領域1層","bgm_M299","26202","90013","0.85","99011"
"76010002","bgm_M299","102271","0.95","102271","0","-100","-100","-250","-200","0","0","霸瞳皇帝的領域2層","bgm_M299","26202","90013","0.85","99011"
"76010003","bgm_M299","102271","0.95","102271","0","-100","-100","-250","-200","0","0","霸瞳皇帝的領域3層","bgm_M299","26202","90013","0.85","99011"
"76010004","bgm_M299","102271","0.95","102271","0","-100","-100","-250","-200","0","0","霸瞳皇帝的領域4層","bgm_M299","26202","90013","0.85","99011"
"76010005","bgm_M299","102271","0.95","102271","0","-100","-100","-250","-200","0","0","霸瞳皇帝的領域5層","bgm_M299","26202","90013","0.85","99011"
"76020001","bgm_M506","102891","1.3","102891","0","0","-100","0","0","0","0","贊恩的領域1層","bgm_M506","26202","90013","1.2","99011"
"76020002","bgm_M506","102891","1.3","102891","0","0","-100","0","0","0","0","贊恩的領域2層","bgm_M506","26202","90013","1.2","99011"
"76020003","bgm_M506","102891","1.3","102891","0","0","-100","0","0","0","0","贊恩的領域3層","bgm_M506","26202","90013","1.2","99011"
"76020004","bgm_M506","102891","1.3","102891","0","0","-100","0","0","0","0","贊恩的領域4層","bgm_M506","26202","90013","1.2","99011"
"76020005","bgm_M506","102891","1.3","102891","0","0","-100","0","0","0","0","贊恩的領域5層","bgm_M506","26202","90013","1.2","99011"
