eed12c2729c82012523cb9abb4fee2c72c3d838f3a449176490b77f4e44ed049,24209f8a39680cdbfaffdf96b978b454d9d0bc66c7c8ea1cee80d41d7bb249d1,1787a78cf04db658b0748f69c1792428a6d38b371c909c266f5b5883e98e6faa,2fa1fdc3b51e5371c3753e23b673bc51ba50465ee23960c81c954144180bbf17,8fd8bb922f93037375df14af6c82bcb7f300a2caee96c0ed7c8379836e5a9056,39fa8e59b7f527efdf2795c0b65518ff5578a4cafdf14e637368aab305301d5c,c41a770c89c23900383e3c17c0c7224567c57c08bb63987e1fb446e117c108b1
"0.3046875","對小細節極其講究又充滿躍動感，至高無上的紡希模型。\n能夠歷歷在目地回憶起最棒演唱會的亢奮之情與感動，\n為每一天帶來活力。","0.478515625","紡希的模型","1","10101","3"
"0.365234375","對小細節極其講究又充滿躍動感，至高無上的望模型。\n能夠歷歷在目地回憶起最棒演唱會的亢奮之情與感動，\n為每一天帶來活力。","0.490234375","望的模型","1","10102","3"
"0.291015625","對小細節極其講究又充滿躍動感，至高無上的千歌模型。\n能夠歷歷在目地回憶起最棒演唱會的亢奮之情與感動，\n為每一天帶來活力。","0.478515625","千歌的模型","1","10103","3"
"0.440625","強烈表現出紡希個性的親筆簽名板。上頭還寫著含藏了心意的訊息。\n似乎有很多粉絲奉為傳家之寶。","0.440625","紡希的親筆簽名板","2","10201","3"
"0.440625","強烈表現出望個性的親筆簽名板。上頭還寫著含藏了心意的訊息。\n似乎有很多粉絲奉為傳家之寶。","0.440625","望的親筆簽名板","2","10202","3"
"0.440625","強烈表現出千歌個性的親筆簽名板。上頭還寫著含藏了心意的訊息。\n似乎有很多粉絲奉為傳家之寶。","0.440625","千歌的親筆簽名板","2","10203","3"
"1.40625","紡希的夏日演唱會限定紀念別針。時髦的設計帶有高級感。\n各名成員的設計都重現了個人代表色。\n以完全收齊為目標吧！","1.40625","紡希的紀念別針","3","10301","3"
"1.40625","望的夏日演唱會限定紀念別針。時髦的設計帶有高級感。\n各名成員的設計都重現了個人代表色。\n以完全收齊為目標吧！","1.40625","望的紀念別針","3","10302","3"
"1.40625","千歌的夏日演唱會限定紀念別針。時髦的設計帶有高級感。\n各名成員的設計都重現了個人代表色。\n以完全收齊為目標吧！","1.40625","千歌的紀念別針","3","10303","3"
"1.40625","為了紀念舉辦夏日演唱會而製作的限定紀念別針。\n烙印了象徵標誌的稀有絕品。\n和各名成員的別針一起收齊吧！","1.40625","慈樂之音的紀念別針","3","10304","3"
"1.0875","紡希的人物照片。只要看著精挑細選出來的可愛表情，\n一定能讓你對紡希的心意變得更加熱情。","0.675","紡希的人物照片","7","10401","2"
"1.0875","紡希穿著夏日服裝的人物照片。\n看著照片中能讓人感受到熾熱的夏天，\n既耀眼又充滿魅力的模樣，和她一起度過最棒的夏天吧。","0.675","紡希的夏日版人物照片","7","10402","2"
"1.0875","紡希穿著萬聖節服裝的人物照片組。\n包含無數只能在萬聖節見到的珍貴畫面。\n甜甜的糖果和惡作劇都充滿了魅力。萬聖節快樂！","0.675","紡希的萬聖節版人物照片","7","10403","2"
"1.0875","望的人物照片。只要看著精挑細選出來的可愛表情，\n一定能讓你對望的心意變得更加熱情。","0.675","望的人物照片","7","10404","2"
"1.0875","望穿著夏日服裝的人物照片。\n看著照片中能讓人感受到熾熱的夏天，\n既耀眼又充滿魅力的模樣，和她一起度過最棒的夏天吧。","0.675","望的夏日版人物照片","7","10405","2"
"1.0875","望穿著聖誕節服裝的人物照片。只能在聖誕季節見到的珍貴打扮，\n正是送給慈樂之音粉絲的最棒的禮物。","0.675","望的聖誕節版人物照片","7","10406","2"
"1.0875","千歌的人物照片。只要看著精挑細選出來的可愛表情，\n一定能讓你對千歌的心意變得更加熱情。","0.675","千歌的人物照片","7","10407","2"
"1.0875","千歌穿著夏日服裝的人物照片。\n看著照片中能讓人感受到熾熱的夏天，\n既耀眼又充滿魅力的模樣，和她一起度過最棒的夏天吧。","0.675","千歌的夏日版人物照片","7","10408","2"
