682a58caab4202b15d86a83e4cb72e85da1e45feb3d41638fab3a5b05f619d06,b2919d0647f629f6a9ce464d83b0ecaa85cf88af152c3fb94a7932a52caf9741,cc6336279785c7895e3f47cc59dbfd020f18c5bf5fd98b1d28419e87caa02e03,4539d4e58f9815c593cd851905686f619a9ed8b122ac6616f771317ba6914170,03a082464a8c7fd862060c2a80297d290ece4299a08732bcbe1d5ca9c52303ed,5785b2b2b6cd73250f8d9bfc61ee09f7439343505c9ef2476c3f1781ea547547
"10008001","1","10008103","0","1","10008"
"10008002","2","10008104","0","1","10008"
"10008003","3","10008105","0","1","10008"
"10008004","4","10008107","0","1","10008"
"10008005","5","10008111","0","1","10008"
"10008006","201","0","0","2","10008"
"10008201","101","10008105","0","201","10008"
"10008202","102","10008107","0","201","10008"
"10008203","103","10008111","0","201","10008"
"10008204","111","10008115","0","202","10008"
"10008301","105601","0","0","101","10008"
"10008302","100901","10008103","0","101","10008"
"10008303","101301","10008104","0","101","10008"
"10008304","105601","10008105","0","101","10008"
"10008305","101301","10008107","0","101","10008"
"10008306","100901","10008111","0","101","10008"
"10008307","105601","0","0","102","10008"
"10010001","201","0","0","2","10010"
"10010002","2","10010112","0","1","10010"
"10010003","3","10010115","0","1","10010"
"10010004","4","10010103","0","1","10010"
"10010005","5","10010105","0","1","10010"
"10010006","6","10010107","0","1","10010"
"10010007","7","10010109","0","1","10010"
"10010201","101","10010112","0","211","10010"
"10010202","0","10010115","0","211","10010"
"10010501","101461","10010110","101471","501","10010"
"10010502","101462","10010110","101472","501","10010"
"10010503","101463","10010110","101473","501","10010"
"10010531","211","1001004","0","3","10010"
"10012001","1","1001201","0","4","10012"
"10012002","2","1001202","0","4","10012"
"10012003","3","1001203","0","4","10012"
"10012004","4","1001204","0","4","10012"
"10012301","101","1001201","0","5","10012"
"10012302","101","1001202","0","5","10012"
"10012303","101","1001203","0","5","10012"
"10012401","501","0","0","6","10012"
"10012531","211","1001204","0","3","10012"
"10013531","211","1001304","0","3","10013"
"10015531","211","1001504","0","3","10015"
"10017001","1","10017102","0","1","10017"
"10017002","2","10017108","0","1","10017"
"10017003","3","10017115","0","1","10017"
"10017301","105801","0","0","101","10017"
"10017302","109901","10017102","0","101","10017"
"10017303","109901","0","0","102","10017"
"10017531","211","1001704","0","3","10017"
"10021001","101921","10021112","101931","501","10021"
"10021002","101922","10021112","101932","501","10021"
"10021003","101923","10021112","101933","501","10021"
"10021004","100011","10021112","100351","501","10021"
"10021005","100012","10021112","100352","501","10021"
"10021006","100013","10021112","100353","501","10021"
"10021007","100014","10021112","100354","501","10021"
"10021008","100015","10021112","100355","501","10021"
"10021009","100016","10021112","100356","501","10021"
"10021010","100017","10021112","100357","501","10021"
"10021011","100018","10021112","100358","501","10021"
"10021012","100019","10021112","100359","501","10021"
"10039531","211","1003904","0","3","10039"
"10053001","1","10053102","0","1","10053"
"10053002","2","10053108","0","1","10053"
"10053003","3","10053115","0","1","10053"
"10053301","105801","0","0","101","10053"
"10053302","109901","10053102","0","101","10053"
"10053303","109901","0","0","102","10053"
"10053531","211","1005304","0","3","10053"
"10084001","1","10084102","0","1","10084"
"10084002","2","10084112","0","1","10084"
"10084003","3","10084115","0","1","10084"
"10085001","1","10085102","0","1","10085"
"10085002","2","10085108","0","1","10085"
"10085003","3","10085115","0","1","10085"
"10112001","1","10112102","0","1","10112"
"10112002","2","10112112","0","1","10112"
"10112003","3","10112115","0","1","10112"
"10113001","1","10113102","0","1","10113"
"10113002","2","10113108","0","1","10113"
"10113003","3","10113115","0","1","10113"
"10153001","1","10153102","0","1","10153"
"10153002","2","10153108","0","1","10153"
"10153003","3","10153115","0","1","10153"
"10153301","105801","0","0","101","10153"
"10153302","109901","10153102","0","101","10153"
"10153303","109901","0","0","102","10153"
"10153531","211","1015304","0","3","10153"
"20008001","1","20008103","0","1","20008"
