3579a7cf590440cd302edd3ee045765129d3ef35d9d76f7cb2f880b0a9c82c9a,c072be0fa9f7ee69a31744a5733a85069d3470dc0858874d3212c8cf749fc46c
"100101","1"
"100201","1"
"100301","1"
"100401","3"
"100501","2"
"100701","3"
"100801","2"
"100901","2"
"101001","3"
"101101","2"
"101201","2"
"101301","2"
"101401","3"
"101501","3"
"101601","2"
"101801","3"
"102001","3"
"102101","3"
"102301","3"
"102501","3"
"102601","3"
"102801","3"
"102901","4"
"103001","2"
"103101","3"
"103201","1"
"103301","3"
"103601","3"
"103701","2"
"103801","2"
"104001","3"
"104201","4"
"104401","2"
"104501","2"
"104601","1"
"104701","3"
"104801","1"
"104901","2"
"105001","2"
"105201","3"
"105301","2"
"105401","4"
"105501","3"
"105801","1"
"105901","1"
"106001","1"
"107101","3"
"112401","1"
"112501","1"
"112601","1"
