c30ea7e48e3659f2a6f4f96e7f93ead2fcf4e373a028cff57f6ff3688675e285,31d891dfba4cdba7f03f2dd5705fd6794bc2022dbbeb062f1589fd3099369aed,52e6af087d5b1b912b8bd3e80629edda18eccdc20e449c580460ff82b8e855da,0d7bce2f4ea115ac88503003bc2bf087f428140b5486a0d04c0ab2374327ff8c,ca0fafb291c1d57f197724c5f12bfbb2d6d2d54e8507170e78ce37011525a866
"10153","1","信賴度","6017101","10153102"
"10168","1","信賴度","6144101","10168102"
"20015","1","信賴度","0","0"
"20017","1","信賴度","0","0"
"20018","1","信賴度","0","0"
"20019","1","信賴度","0","0"
"20020","1","信賴度","0","0"
"20022","1","信賴度","0","0"
"20023","1","信賴度","0","0"
"20024","1","信賴度","0","0"
"20025","1","信賴度","0","0"
"20026","1","信賴度","0","0"
"20028","1","信賴度","0","0"
"20029","1","信賴度","0","0"
"20030","1","信賴度","0","0"
"20031","1","信賴度","0","0"
"20032","1","信賴度","0","0"
"20035","1","信賴度","0","0"
"20037","1","信賴度","0","0"
"20038","1","信賴度","0","0"
"20042","1","信賴度","0","0"
"20043","1","信賴度","0","0"
"20048","1","信賴度","0","0"
"20049","1","信賴度","0","0"
"20051","1","信賴度","0","0"
"20054","1","信賴度","0","0"
"20055","1","信賴度","0","0"
"20056","1","信賴度","0","0"
"20061","1","信賴度","0","0"
"20066","1","信賴度","0","0"
