34c3ecf2270857e0fe4e7fedb7aeb8fd15a12f237139fb0b4e0533932b2c4ba2,26f83f9183e2145cec37bc9948b67d2c85fa6eaa49f2cc466f9a4ba03a1a073d,286f27d8e75745e1cee127e7cc688a1de32a7ca0244bba3c589c9697a9a5ddf9,26694593eb394f9fdf5a031cd32969c77f252e4587c16f47ee3acdbb058def81,8a47e09104ef4f7118e1955815131a00b71e51a5806cacc14389600685697964,8d0f84ad973a89a10af958eae643538621a9cf9c2f47957690dcc1e2db1a9cc0,332e492f87f7a4fabc6a68a821e4688d912704767dae16b25048a0ed53c469a9,02bccbf18ff99f045ad3ec8d30e2dfb101c4ca6f51ced1f6290eeb4948d24704,076de07176b753dce2fb2bf63186bfc8d71282970499e3a719b249a8e97b40e2,a4edeef5730adbc515dddde4be5ae68d62b7f8d83b6316f06f7ac9f524790c6d,a588ef7ad1bbbe2a7292178f05c8cd29e86b48f3037e6476b59099e974a21e7b
"se_travel_start_1pt","","","se_travel","0","","23","","101110001","111",""
"10010","1","0","10010","0","1","31","","101110002","111",""
"10011","1","0","10011","0","1","31","","101110003","111",""
"10020","0","0","10020","0","1","31","","101110004","111",""
"1001001","0.68","-150","2","62","-150","1","0","101110005","111","<weapon>_idle"
"1001002","0.68","-250","2","61","-75","1","0","101110006","111","<weapon>_idle"
"1001003","0.68","-350","2","63","-180","1","0","101110007","111","<weapon>_idle"
"1001004","0.68","-450","2","61","-75","1","0","101110008","111","<weapon>_idle"
"1001005","0.68","-550","2","62","-150","1","0","101110009","111","<weapon>_idle"
"1001001","1","-150","10012","-150","0.68","31","0","101110010","111",""
"1001002","1","-75","10012","-250","0.68","31","0","101110011","111",""
"1001003","1","-180","10012","-350","0.68","31","0","101110012","111",""
"1001004","1","-75","10012","-450","0.68","31","0","101110013","111",""
"1001005","1","-150","10012","-550","0.68","31","0","101110014","111",""
"10030","0","0","10030","0","1","31","","101110015","111",""
"10031","0","0","10031","0","1","31","","101110016","111",""
"0","","","","","","91","","101110017","111",""
"1","","","10030","","","32","","101110018","111",""
"0","","","0","","","91","","101110019","111",""
"<weapon>_run","0","","1001001","1","0","3","","101110020","111",""
"<weapon>_run","0","","1001002","1","0","3","","101110021","111",""
"<weapon>_run","0","","1001003","1","0","3","","101110022","111",""
"<weapon>_run","0","","1001004","1","0","3","","101110023","111",""
"<weapon>_run","0","","1001005","1","0","3","","101110024","111",""
"800","","3","1001001","-150","0","2","","101110025","111",""
"700","","3","1001002","-75","0","2","","101110026","111",""
"600","","3","1001003","-180","0","2","","101110027","111",""
"500","","3","1001004","-75","0","2","","101110028","111",""
"400","","3","1001005","-150","0","2","","101110029","111",""
"800","","3","1001001","-150","0","33","","101110030","111",""
"700","","3","1001002","-75","0","33","","101110031","111",""
"600","","3","1001003","-180","0","33","","101110032","111",""
"500","","3","1001004","-75","0","33","","101110033","111",""
"400","","3","1001005","-150","0","33","","101110034","111",""
"1","","","10020","","","32","","101110035","111",""
"0","","","2.5","","","93","","101110036","111",""
"1","","","10031","","","32","","101110037","111",""
"0","","","0.4","","","93","","101110038","111",""
"0","","","0","","","91","","101110039","111",""
"se_travel_start_2pt","","","se_travel","0","","23","","102110001","211",""
"10010","1","0","10010","0","1","31","","102110002","211",""
"10011","1","0","10011","0","1","31","","102110003","211",""
"10020","0","0","10020","0","1","31","","102110004","211",""
"1001001","0.68","-100","2","62","-90","1","0","102110005","211","<weapon>_idle"
"1001002","0.68","-170","2","61","-15","1","0","102110006","211","<weapon>_idle"
"1001003","0.68","-240","2","63","-105","1","0","102110007","211","<weapon>_idle"
"1001004","0.68","-310","2","61","-15","1","0","102110008","211","<weapon>_idle"
"1001005","0.68","-380","2","62","-90","1","0","102110009","211","<weapon>_idle"
"1001001","1","-90","10012","-100","0.68","31","0","102110010","211",""
"1001002","1","-15","10012","-170","0.68","31","0","102110011","211",""
"1001003","1","-105","10012","-240","0.68","31","0","102110012","211",""
"1001004","1","-15","10012","-310","0.68","31","0","102110013","211",""
"1001005","1","-90","10012","-380","0.68","31","0","102110014","211",""
"1002001","0.68","-500","2","52","-240","1","0","102110015","211","<weapon>_idle"
"1002002","0.68","-570","2","51","-165","1","0","102110016","211","<weapon>_idle"
"1002003","0.68","-640","2","53","-255","1","0","102110017","211","<weapon>_idle"
"1002004","0.68","-710","2","51","-165","1","0","102110018","211","<weapon>_idle"
"1002005","0.68","-780","2","52","-240","1","0","102110019","211","<weapon>_idle"
"1002001","1","-240","10012","-500","0.68","31","0","102110020","211",""
"1002002","1","-165","10012","-570","0.68","31","0","102110021","211",""
"1002003","1","-255","10012","-640","0.68","31","0","102110022","211",""
"1002004","1","-165","10012","-710","0.68","31","0","102110023","211",""
"1002005","1","-240","10012","-780","0.68","31","0","102110024","211",""
"10030","0","0","10030","0","1","31","","102110025","211",""
"10031","0","0","10031","0","1","31","","102110026","211",""
"0","","","","","","91","","102110027","211",""
"1","","","10030","","","32","","102110028","211",""
"0","","","0","","","91","","102110029","211",""
"<weapon>_run","0","","1001001","1","0","3","","102110030","211",""
"<weapon>_run","0","","1001002","1","0","3","","102110031","211",""
"<weapon>_run","0","","1001003","1","0","3","","102110032","211",""
"<weapon>_run","0","","1001004","1","0","3","","102110033","211",""
"<weapon>_run","0","","1001005","1","0","3","","102110034","211",""
"850","","3","1001001","-90","0","2","","102110035","211",""
"780","","3","1001002","-15","0","2","","102110036","211",""
"710","","3","1001003","-105","0","2","","102110037","211",""
"640","","3","1001004","-15","0","2","","102110038","211",""
"570","","3","1001005","-90","0","2","","102110039","211",""
"850","","3","1001001","-90","0","33","","102110040","211",""
"780","","3","1001002","-15","0","33","","102110041","211",""
"710","","3","1001003","-105","0","33","","102110042","211",""
"640","","3","1001004","-15","0","33","","102110043","211",""
"570","","3","1001005","-90","0","33","","102110044","211",""
"<weapon>_run","0","","1002001","1","0","3","","102110045","211",""
"<weapon>_run","0","","1002002","1","0","3","","102110046","211",""
"<weapon>_run","0","","1002003","1","0","3","","102110047","211",""
"<weapon>_run","0","","1002004","1","0","3","","102110048","211",""
"<weapon>_run","0","","1002005","1","0","3","","102110049","211",""
"450","","3","1002001","-240","0","2","","102110050","211",""
"380","","3","1002002","-165","0","2","","102110051","211",""
"310","","3","1002003","-255","0","2","","102110052","211",""
"240","","3","1002004","-165","0","2","","102110053","211",""
"170","","3","1002005","-240","0","2","","102110054","211",""
"450","","3","1002001","-240","0","33","","102110055","211",""
"380","","3","1002002","-165","0","33","","102110056","211",""
"310","","3","1002003","-255","0","33","","102110057","211",""
"240","","3","1002004","-165","0","33","","102110058","211",""
"170","","3","1002005","-240","0","33","","102110059","211",""
"1","","","10020","","","32","","102110060","211",""
"0","","","2.5","","","93","","102110061","211",""
"1","","","10031","","","32","","102110062","211",""
"0","","","0.4","","","93","","102110063","211",""
"0","","","0","","","91","","102110064","211",""
"se_travel_start_3pt","","","se_travel","0","","23","","103110001","311",""
"10010","1","0","10010","0","1","31","","103110002","311",""
"10011","1","0","10011","0","1","31","","103110003","311",""
"10020","0","0","10020","0","1","31","","103110004","311",""
"1001001","0.68","0","2","62","-240","1","0","103110005","311","<weapon>_idle"
"1001002","0.68","-70","2","61","-165","1","0","103110006","311","<weapon>_idle"
"1001003","0.68","-140","2","63","-255","1","0","103110007","311","<weapon>_idle"
"1001004","0.68","-210","2","61","-165","1","0","103110008","311","<weapon>_idle"
"1001005","0.68","-280","2","62","-240","1","0","103110009","311","<weapon>_idle"
"1001001","1","-240","10012","0","0.68","31","0","103110010","311",""
"1001002","1","-165","10012","-70","0.68","31","0","103110011","311",""
"1001003","1","-255","10012","-140","0.68","31","0","103110012","311",""
"1001004","1","-165","10012","-210","0.68","31","0","103110013","311",""
"1001005","1","-240","10012","-280","0.68","31","0","103110014","311",""
"1002001","0.68","-250","2","52","-60","1","0","103110015","311","<weapon>_idle"
"1002002","0.68","-320","2","51","15","1","0","103110016","311","<weapon>_idle"
"1002003","0.68","-390","2","53","-75","1","0","103110017","311","<weapon>_idle"
"1002004","0.68","-460","2","51","15","1","0","103110018","311","<weapon>_idle"
"1002005","0.68","-530","2","52","-60","1","0","103110019","311","<weapon>_idle"
"1002001","1","-60","10012","-250","0.68","31","0","103110020","311",""
"1002002","1","15","10012","-320","0.68","31","0","103110021","311",""
"1002003","1","-75","10012","-390","0.68","31","0","103110022","311",""
"1002004","1","15","10012","-460","0.68","31","0","103110023","311",""
"1002005","1","-60","10012","-530","0.68","31","0","103110024","311",""
"1003001","0.68","-500","2","62","-250","1","0","103110025","311","<weapon>_idle"
"1003002","0.68","-570","2","61","-175","1","0","103110026","311","<weapon>_idle"
"1003003","0.68","-640","2","63","-265","1","0","103110027","311","<weapon>_idle"
"1003004","0.68","-710","2","61","-175","1","0","103110028","311","<weapon>_idle"
"1003005","0.68","-780","2","62","-250","1","0","103110029","311","<weapon>_idle"
"1003001","1","-250","10012","-500","0.68","31","0","103110030","311",""
"1003002","1","-175","10012","-570","0.68","31","0","103110031","311",""
"1003003","1","-265","10012","-640","0.68","31","0","103110032","311",""
"1003004","1","-175","10012","-710","0.68","31","0","103110033","311",""
"1003005","1","-250","10012","-780","0.68","31","0","103110034","311",""
"10030","0","0","10030","0","1","31","","103110035","311",""
"10031","0","0","10031","0","1","31","","103110036","311",""
"0","","","","","","91","","103110037","311",""
"1","","","10030","","","32","","103110038","311",""
"0","","","0","","","91","","103110039","311",""
"<weapon>_run","0","","1001001","1","0","3","","103110040","311",""
"<weapon>_run","0","","1001002","1","0","3","","103110041","311",""
"<weapon>_run","0","","1001003","1","0","3","","103110042","311",""
"<weapon>_run","0","","1001004","1","0","3","","103110043","311",""
"<weapon>_run","0","","1001005","1","0","3","","103110044","311",""
"950","","3","1001001","-240","0","2","","103110045","311",""
"880","","3","1001002","-165","0","2","","103110046","311",""
"810","","3","1001003","-255","0","2","","103110047","311",""
"740","","3","1001004","-165","0","2","","103110048","311",""
"670","","3","1001005","-240","0","2","","103110049","311",""
"950","","3","1001001","-240","0","33","","103110050","311",""
"880","","3","1001002","-165","0","33","","103110051","311",""
"810","","3","1001003","-255","0","33","","103110052","311",""
"740","","3","1001004","-165","0","33","","103110053","311",""
"670","","3","1001005","-240","0","33","","103110054","311",""
"<weapon>_run","0","","1002001","1","0","3","","103110055","311",""
