a1687cb60515ea0ef5f82437e409d9349946810777998241951f3a6deb0d9133,898de6bbd233e93e7499e2f4aa2b65f62b2cfd3a872d824a3b6c33a206e9606d,1b84957a05485730155a7138b27209600f3344bb2c65812b29845b3698e9352b,7ad6875997a6d2d30ad141c4482c2e5531f559ebf5ec07b4cdcb5b9ba665c2a5,7051cd9a094aff60cd9380196d896c507a4dc1559e2b7ab450350f8b98af6d2d,189ff06dfbc40d1e6eb221c92a879a9510aa4f838b2827523c9c362004516030,9995f697147c5582458e4e1a95bfcb5c9d963bf64c8300e068f03d958082f5ee,e3fe3825e45a33acd9873957de3b3bbda35328e0ef05aff59a302a1ac31f14e1,5914f0bc21341e51bd2a8388248689a0446f47d9c107fb7b5007f34f71b8c4fd,e1401442ef9dbfdc7d03e62ff969b70ef1bb67e65a4904d70816d208fca3dce0,ce0d47c30a0f68cf324b34a0caba7b37229e3e45a26b07fa71f3b279d4f0d5b9
"","11","10000","1","2","0","0","30000","","0","25011"
"","12","10000","2","2","0","0","30000","","0","25012"
"","13","5000","3","2","0","0","30000","","0","25021"
"","14","50","4","8","0","0","30000","","0","91002"
"","15","10000","5","2","0","0","30000","","0","25013"
"","16","50","6","8","0","0","30000","","0","91002"
"","17","10000","7","2","0","0","30000","","0","25014"
"","18","5000","8","2","0","0","30000","","0","25021"
"","19","80","9","8","0","0","30000","","0","91002"
"","20","1","10","2","0","0","30000","","0","24001"
"","21","80","11","8","0","0","30000","","0","91002"
"","22","10000","12","2","0","0","30000","","0","25015"
"","23","5000","13","2","0","0","30000","","0","25021"
"","24","100","14","8","0","0","30000","","0","91002"
"","25","1","15","2","0","0","30000","","0","24001"
"貪吃佩可","27","150","1","8","1","107501","40001","今天是紀念日，要慶祝才行呢！\n燒肉、壽司、披薩、蛋糕～☆\n能和你一起開派對，\n我好幸福～♪","0","91002"
"可可蘿","28","150","2","8","1","107601","40001","能夠在今天迎來這個紀念日，\n全拜主人的器量所賜。\n真不愧是主人呢。\n真了不起真了不起♪","0","91002"
"凱留","29","150","3","8","1","107801","40001","你還挺能幹的嘛！\n我有點…還蠻…非、非常\n對你刮目相看了呢。\n我就誇誇你吧♪","0","91002"
"鈴莓","30","150","4","8","1","107701","40001","對您和我來說，\n今天是個特別的日子。\n因為有了您的支持，\n我才能夠如此努力！","0","91002"
"珠希","31","150","5","8","1","107901","40001","今天對你來說是個\n特別的紀念日呢喵。\n對於你的活躍，我總是\n以貓的方式在感謝你喵～♪","0","91002"
"貪吃佩可","32","150","6","8","2","107501","40001","嗚～吃了太多的刨冰，\n身體變得好冷哦…\n請用你的體溫溫暖我吧！\n抱緊──♪","0","91002"
"可可蘿","33","150","7","8","2","107601","40001","夏天總是充滿著許多的危險…\n但是在下會好好地\n保護著主人的哦。","0","91002"
"凱留","34","150","8","8","2","107801","40001","嗯～到底為什麼會和你\n一起度過了一整個夏天啊…\n雖然我很開心就是了！\n來吧，我們要繼續玩囉！","0","91002"
"鈴莓","35","150","9","8","2","107701","40001"," 和您一起度過的第一個夏天…\n我現在就已經心跳不已了呢。\n快樂又美好的回憶，\n又增加一個了呢♪","0","91002"
"珠希","36","150","10","8","2","107901","40001","明明夏天是最好賺錢的時候，\n但今年我卻想和你\n一起度過呢喵。你能和我一起\n創造愉快的回憶喵？","0","91002"
"","47","300","1","8","0","0","20000","","0","91002"
"","48","20","1","2","0","0","20000","","0","23001"
"","49","300","2","8","0","0","20000","","0","91002"
"","50","20","2","2","0","0","20000","","0","23001"
"","51","300","3","8","0","0","20000","","0","91002"
