e82db369f3bbe3ba76ab5b5196e43fdb20684b46cb00a6e8dffea8c3dbbbdb1f,68827ae8d493c69735a42ba13fc8e44f7b2cf63c133e963ad4febf26e272feb9,90be7cc2709115031503338d9a84445ee4fa5963c62a618bee536201355e1bcd,ba8e9209cd67580b83e3b4afe163871fb3ec267f46556b85d4a218b22e72dc24,6db26a509b9091dfb73d933a50a3399d99345b85e4ddcbf7c38ee27cc6175bfc,bc34bed36e7b79d7bc827457327386d80b65cf7de20f440cf4084c0851b326d0,7bd236e9f196c29e094b5ea9538072772393140218996e2a380243cb68435931,6af5d6c14d8ce1a717ccec1db7bb2491916062233c7732f4e7e8d809df06ffe6,03615f436f5f7b90408aba2be1207ff87bb267a84a1281713ce667112698fb93,a3be463720792df16f2d67ba334b733fd0897b62e8692ea1e08587948b736e99,21cefaf352ec447de9ea007b945e9f3fd02102dbf99d1b1b47c03fccd7ad3651
"2","<weapon>_idle","1.3","1","110010001","-100","1000001","55","1001","-250","0"
"100","","1","31","110010002","0","100","0","1001","1",""
"101","","0","31","110010003","0","101","0","1001","1",""
"4","","1","31","110010004","0","4","0","1001","1",""
"5","","1","31","110010005","0","5","94.5","1001","1",""
"0","","","91","110010006","","0","","1001","",""
"0.4","","","93","110010007","","0","","1001","",""
"1000001","","0.2","3","110010008","","<weapon>_joy_short","0","1001","",""
"1.3","","","93","110010009","","0","","1001","",""
"1000001","","0","3","110010010","","<weapon>_run","1","1001","",""
"1000001","","","2","110010011","1","800","-250","1001","0",""
"0.7","","","93","110010012","","0","","1001","",""
"101","","","32","110010013","","1","","1001","",""
"0.7","","","93","110010014","","0","","1001","",""
"2","<weapon>_run","1.3","1","111010001","-640","1000001","55","1101","-250","0"
"100","","1","31","111010002","0","100","0","1101","1",""
"101","","0","31","111010003","0","101","0","1101","1",""
"4","","1","31","111010004","0","4","0","1101","1",""
"4","","","35","111010005","","0","","1101","",""
"5","","1","31","111010006","0","5","0","1101","1",""
"10","","1","31","111010007","0","10","0","1101","1",""
"0","","","91","111010008","","","","1101","",""
"100","","","35","111010009","","1","","1101","",""
"1000001","","","2","111010010","2.1","640","-250","1101","0",""
"1.7","","","93","111010011","","0","","1101","",""
"101","","","32","111010012","","1","","1101","",""
"0.7","","","93","111010013","","0","","1101","",""
"1","look_loop","1.3","1","120010001","0","1000001","55","2001","-240","0"
"1","","0","31","120010002","0","1","0","2001","1","0"
"1","","","35","120010003","","0","","2001","",""
"1","","","32","120010004","","1","","2001","",""
"2","","1","31","120010005","0","2","345.4","2001","1","0"
"2","","","35","120010006","","0","","2001","",""
"3","","0","31","120010007","0","3","345.4","2001","1","0"
"3","","","35","120010008","","0","","2001","",""
"3","","","32","120010009","","1","","2001","",""
"31000001","","1","31","120010010","0","31000001","-345.4","2001","1",""
"31000002","","1","31","120010011","0","31000002","345.4","2001","1",""
"100","","1","31","120010012","0","100","0","2001","1",""
"101","","0","31","120010013","0","101","0","2001","1",""
"0","","","91","120010014","","","","2001","",""
"100","","","35","120010015","","1","","2001","",""
"1000001","","0","3","120010016","look_loop","look_in","0","2001","1","0"
"1.3","","","93","120010017","","0","","2001","",""
"12","","0","31","121010001","0","998","0","2101","1",""
"14","","0","31","121010002","0","997","0","2101","1",""
"16","","0","31","121010003","0","996","0","2101","1",""
"31000001","","","32","121010004","","0","","2101","",""
"31000002","","","32","121010005","","0","","2101","",""
"0","","0","121","121010006","1","0","-1","2101","0",""
"1","","","35","121010007","","1","","2101","",""
"3","","","35","121010008","","1","","2101","",""
"1000001","","0","3","121010009","","pointing","0","2101","",""
"1","","","93","121010010","","0","","2101","",""
