20b222b8f5d6c07ee6618b0c9c7d9a10060f9e508e141f76c134d75150b264f6,a0a74f0b9eb62896edd643cec324058c1e90d19137e4bb7336ac046afaf66bd0,5cec753b2d7c3f5792e2263dcb618ce6e898412518e595e3ca1b1694006ff568,cdfae72bf789d5fe6dfd46aee2dcfb3a5b9e1398437aa64fb41a77574372f418,5654a073bbaedbbfcb8560262a7988623c609e8f274e12311570b770219a6e95,64831c161b0ff2230fb28cfb40da6e666f55c6ab430e8cbae94e78b1606a43d3,6f5e60026cd749d0db18912e16801e0c103029dc27bad060182766f2b3631198
"180010113","18001001","180010112","1","180010111","59","1"
"180010213","18001001","180010212","60","180010211","99","2"
"180010313","18001001","180010312","100","180010311","119","3"
"180010413","18001001","180010412","120","180010411","139","4"
"180010513","18001001","180010512","140","180010511","149","5"
"180010613","18001001","180010612","150","180010611","159","6"
"180010713","18001001","180010712","160","180010711","169","7"
"180010813","18001001","180010812","170","180010811","-1","8"
"180010123","18001002","180010122","1","180010121","59","9"
"180010223","18001002","180010222","60","180010221","99","10"
"180010323","18001002","180010322","100","180010321","119","11"
"180010423","18001002","180010422","120","180010421","139","12"
"180010523","18001002","180010522","140","180010521","149","13"
"180010623","18001002","180010622","150","180010621","159","14"
"180010723","18001002","180010722","160","180010721","169","15"
"180010823","18001002","180010822","170","180010821","-1","16"
"180010133","18001003","180010132","1","180010131","59","17"
"180010233","18001003","180010232","60","180010231","99","18"
"180010333","18001003","180010332","100","180010331","119","19"
"180010433","18001003","180010432","120","180010431","139","20"
"180010533","18001003","180010532","140","180010531","149","21"
"180010633","18001003","180010632","150","180010631","159","22"
"180010733","18001003","180010732","160","180010731","169","23"
"180010833","18001003","180010832","170","180010831","-1","24"
"180010143","18001004","180010142","1","180010141","59","25"
"180010243","18001004","180010242","60","180010241","99","26"
"180010343","18001004","180010342","100","180010341","119","27"
"180010443","18001004","180010442","120","180010441","139","28"
"180010543","18001004","180010542","140","180010541","149","29"
"180010643","18001004","180010642","150","180010641","159","30"
