9e8c6fdf77d752fbc6c860cfcd6e531c72a18bf64d1b0f9189037557c5157c98,02c719cb1ba40079bea3428ee393cc87e80dbd1e83d550db61bfc87bb84eebdc,aa3c9f4b658757ae1dcdcd650344c43fb00c4428dff1e89642d329cd36940c57,46ceb28e2b0f93b40cfd6b665865321fb64b42b67b94d095260876355db87a20,91bb361170629f3ad2a5de306d6d7065148b470fe34dd52428caf46e473d4d3c,66e96c9ad3fa68896aaeeb9125d88dc0e53cb5fddc79ffcaab6ce510edc8471a,99e7d921cef4df4f091749bd4c8b54e290e237ee4960f1ee10aabdd4aecb69ab,7f7aebb4d9f6e381f14c5944ccd5a76f3c54232607d406ff3d7a81a52fe01f2c,6673969fb6b6926615e6aae4af5a3b7b6bb2a8f7eb93a180830cd75de5e719c4,ec8e237c4d4433ac3011b5a5287e497761ba849e9416d0afcad079341aaeb6ae,e3c5ebf280713b554037caf701bf04df1d71c46d74a53b811e157757185fa68c,8fb96593ebcf5ee8a208078cb4c793a06bb164b63a6d71b8ec6f0ab17f4bb7ff,54d8ae5842b002a87454633cbb08015a667db8b7f7be9bedf6f1dc7dc24ee914,682bee764d80c40de7d23748d8dbc48216f9a1928161a57dd1022073cc4b720f,0ed77582620e7efb2375342d63bb81adb8fb3dcdb77abbc4384d2d02b48fe8b4,27ad20ace4b0d6d4efe7a01d09e16ece79c6d4c1a406853b3e2c7f68a22bbbfd,cc023ad36ce9fb08440fa1c87a8adfd61dec8603453aad85f0e9f7eeac064eb7,ad9f131be33a6a91643328f8231d6bfc90d55521310e25e777a01ed3420f72f4
"94002","150000","5","20","2","2","150","1","91002","0","0","5","8","12","20003","1","0","22003"
"94002","100000","2","15","2","2","145","6","91002","0","0","9","8","12","20003","2","0","22003"
"94002","80000","5","11","2","2","140","10","91002","0","0","19","8","12","20003","3","0","22002"
"94002","80000","5","10","2","2","130","20","91002","0","0","29","8","12","20003","4","0","22002"
"94002","70000","4","9","2","2","120","30","91002","0","0","39","8","12","20003","5","0","22002"
"94002","70000","4","8","2","2","110","40","91002","0","0","49","8","12","20003","6","0","22002"
"94002","60000","3","7","2","2","100","50","91002","0","0","99","8","12","20003","7","0","22002"
"94002","40000","2","2","2","2","80","100","91002","0","0","499","8","12","20003","8","0","22002"
"94002","20000","1","7","2","2","50","500","91002","0","0","999","8","12","20002","9","0","22002"
"94002","16000","3","4","2","2","20","1000","91002","0","0","4999","8","12","20002","10","0","22001"
"94002","9000","2","3","2","2","15","5000","91002","0","0","9999","8","12","20002","11","0","22001"
"94002","4000","1","8","2","2","10","10000","91002","0","0","11999","8","12","20001","12","0","22001"
"94002","3000","1","7","2","2","5","12000","91002","0","0","13999","8","12","20001","13","0","22001"
"94002","2000","1","6","2","2","4","14000","91002","0","0","14999","8","12","20001","14","0","22001"
"94002","1800","1","5","2","2","3","15000","91002","0","0","30000","8","12","20001","15","0","22001"
