c9a7b0a9da7ae386683e0f19f98b1c68b7f1924db3241287125b8c505c6efbeb,e308f4ee88cf73f34cd074f022ba73d3b30b2d1b2b449be0b4b1185349a46033,3d6be890c5387755dd30294657c017724e170e2b1df9b652126f0d14b8aa4895
"9000169","2816","421"
"9000170","2816","751"
"9000210","2816","1061"
"9000211","2816","1361"
"9000212","2816","1671"
"9000213","2816","1801"
"9000214","2816","1981"
"9000217","2816","2281"
"9000218","2816","2591"
"9000219","2816","2891"
"9000220","2816","3201"
"9000221","2816","3511"
"9000224","2816","3791"
"9000226","2816","4091"
"9000228","2816","4092"
