2b79b959a3513a7507c31c4d7736810cae8cfac1edca300b09cfcf4409cbf417,c368bc9f75ea86e0beea3580dffb2ae9e27a0df54d877d0ae363fe5d72596821,09e444e3e0642672a8e3cc18e1f74e1120bf5e1a60c9076c969e51f6d9e53986,0f63a56d702e9cc00fafaed58db8263b3f0f5522baa640f00a9f89b9dad01e8c,526567c11232e38dff2ded35b921ce8cc7d5a5bbd4b094f961bc1a34d41f5cef,4f2dd480c770aae2b771f820c6f4fcbcc8bbfaa6870dc2864d26070983eb741e,b7ba782022cf7b5b3230acd037c376409e8f90fec707578ddbaa5cba0b5f4299,f26842f80ce0641d6ec40b812e0e64bc2744b4a11a6bb99f1129f6169df08f81,f1be157bad8db88061eeb17f60a3040d622d1529b4fe04ddb3acaf947003cc03,738d1067787e41a212a3451584254676ee572b0aac5c9ce7d5238b9c6515e429,7332b0ea75a68c571f2f2dce62f7f63aecbe9e0c50e5d2bd94e7960929f6f835,c12eafa47a01a2e59e02bb02510d09a9998d11d29cc16b4c92e6344df1042c4d,99afd7fe4e409e20896f3ecf7611994e34d6a47280b9d86f546d0872abe323d2,e7f0bb2627f446fc77d93ec560ddb3bee79e6cee2be9c27256edc3518654814e,db1c07a038ffb197f7951c84e1130ddea0bc9bcb7efffedb0e9165870ddb9e79,33e50b367da88b8279d7bdb73dcb0d4b55780bbf87e64acc9d0850db5f046af3,20994aa30260ca6203ab6f8038334e427c292cacc2565630a8e7ff9e2ea965c8,ff735153ac3a1ec6844072a1cbe208ddebe85bd832ba398b383cf35c0bd65f11,274809420ec055ab88743c16f556fe68dfbc7e35ea258357478e29d026c2e2c6,17a986aac778236f5341893c7d4844da2ba0ef0cd4bceb389a0f9432f93e1512,4021dce821b9200b59f6a8f39f89c1ee3746f7d6a747ec584f823e1683dcf2d1
"1","0","0","0","1300110","0","0","0","0","0","0","2","0","0","0","0","4.7","130011","0","-1","0"
"0","0","0","0.25","1300210","0","0","0","0","0","0.25","2","0.25","0","0","0","0","130021","2.3","-1","0"
"0","0","0","0","1300310","0","0","5.5","0","0","0","2","0","0","0","0","4.75","130031","0","-1","0"
"0","0","0","30","1300320","0","0","1000","0","0","0","1","30","0","0","0","500","130032","0","-1","0"
"0","0","0","0.3","1300410","0","0","0","0","0","0","2","0.1","0","0","0","3.35","130041","0","-1","0"
"0","0","0","0.45","1300510","0","0","6.5","0","0","0","2","0.4","0","0","0","0","130051","0","-1","0"
"0","0","0","0.15","1300610","0","0","0","0","0","0","2","0.15","0","0","0","0","130061","3.6","-1","0"
"0","0","0","0.45","1300710","0","0","11.5","0","0","0","2","0.15","0","0","0","0","130071","0","300","0.15"
"0","0","0","0.65","1300711","0","0","11.5","0","0","0","301","0.15","0","0","0","0","130071","0","-1","0"
"0","0","0","0.2","1300810","0","0","0","0","0","0","2","0.2","0","0","0","0","130081","3.15","-1","0"
"0","0","0.5","0","1300910","0","0","0","0","0","0","2","0","0","0","0","0","130091","4.5","-1","0"
"0","0","0","0.3","1301010","0","0","0","0","0","0.25","2","0.25","0","0","0","0","130101","2.1","-1","0"
"1","0","0","0","1301110","0","0","0","0","0","0","2","0","0","0","0","4.6","130111","0","-1","0"
"90","0","0","25","1301120","0","0","0","0","0","0","1","0","0","0","0","500","130112","0","-1","0"
"0","0","0.5","0.05","1301210","0","0","0","0","0","0","2","0","0","0","0","0","130121","4.4","-1","0"
"0","0","0.75","0","1301310","0","0","0","0","0","0","2","0","0","0","0","0","130131","4.5","-1","0"
"0","0","0","50","1301320","0","0","830","0","0","0","1","50","0","0","0","0","130132","0","-1","0"
"0","0","0","0.15","1301410","0","0","0","0","0","0","2","0.2","0","0","0","0","130141","3.5","-1","0"
