9b85fd2ac37df080b4c3ef52b43a274fac158216d3816367523e3d40ad1a149c,ae2ed5d20805ad851f3ea30404c020188ebbada7d234ace8395b24147cc220c7,a9eb3703ee3709f8b6f8ef61ddf344211911d9a29a2a341db4d891dc9d36de13
"1","1","32025"
"2","1","32046"
"3","1","32048"
"4","1","32016"
"5","1","32060"
"5","2","32078"
"6","1","32031"
"7","1","32007"
"8","1","32050"
"9","1","32033"
"10","1","32058"
"10","2","32075"
"11","1","32042"
"12","1","32021"
"13","1","32023"
"14","1","32027"
"15","1","32049"
"16","1","32011"
"17","1","32045"
"18","1","32030"
"19","1","32013"
"20","1","32040"
"21","1","32018"
"22","1","32028"
"23","1","32043"
"24","1","32017"
"25","1","32010"
"26","1","32036"
"27","1","32004"
"28","1","32020"
"29","1","32059"
"29","2","32076"
"30","1","32014"
"31","1","32038"
"32","1","32003"
"32","2","32089"
"33","1","32071"
"34","1","32029"
"35","1","32044"
"36","1","32056"
"37","1","32012"
"38","1","32047"
"39","1","32054"
"40","1","32006"
"41","1","32022"
"42","1","32124"
"43","1","32125"
"44","1","32126"
"45","1","32032"
