864e60e51a052221556da81621a08cd12748d3621853911b296d565f57288b7c,bad532652a4efc2fb81b8422370510ce8d4eced347b16f2405f59eead50796a7,af2b675acbfabd0abc5f297cbb1c891c54632d7fd0932b89319f449187b65813,c54e13ed37dd076ed6d5d8167316b2315e4aa2d99729fee43e0dff5fff0a5537,5b920a43c4cf9ded5672f55d266973af9cc93f37c50b430d4632bf656e9806d4,c09dfcfe6d4e5d25dea129b1c63f6922477d7a969f3c7a9e0c89475ef894f0d4,f4c55cc2266347c6745aab7c83482d70de91a69228abef733648d6257c44b521,2a2e180919d7444b14f0ee5ce41e62f2b23a657050631acaf3b6d375ebe2f697
"0","600130001","0","600060001","610201001","600090001","0","0"
"0","600070001","0","600090001","610201002","600300101","0","0"
"600230001","600420001","0","600380001","610201003","600050001","0","0"
"0","600110003","0","600090103","610201004","600300003","0","0"
"0","600390003","0","600120001","610201005","600300003","0","0"
"600340003","600160003","0","600290103","610201006","600380102","0","0"
"0","600440004","0","600370004","610201007","600060004","0","0"
"0","600080004","0","600330002","610201008","600210104","0","0"
"600160004","600420004","0","600270004","610201009","600380103","0","0"
"0","600340010","0","600380009","610201010","600320010","0","0"
"0","600140010","0","600050009","610201011","600300010","0","0"
"600130110","600250010","0","600330008","610201012","600290210","0","0"
"0","600020011","0","600030011","610201013","600280011","0","0"
"0","600280011","0","600210111","610201014","600010011","0","0"
"600210111","600100011","0","600040010","610201015","600030011","0","0"
"0","600130013","0","600060013","610201016","600090013","0","0"
"0","600070013","0","600090013","610201017","600300113","0","0"
"600230013","600420013","0","600380012","610201018","600050012","0","0"
"0","600110014","0","600090114","610201019","600300014","0","0"
"0","600390014","0","600120012","610201020","600300014","0","0"
"600340014","600160014","0","600290114","610201021","600380113","0","0"
"0","600440016","0","600370016","610201022","600060016","0","0"
"0","600080016","0","600330014","610201023","600210116","0","0"
"600160016","600420016","0","600270016","610201024","600380115","0","0"
"0","600340017","0","600380016","610201025","600320017","0","0"
"0","600140017","0","600050016","610201026","600300017","0","0"
"600130117","600250017","0","600330015","610201027","600290217","0","0"
"0","600020019","0","600030019","610201028","600280019","0","0"
"0","600280019","0","600210119","610201029","600010019","0","0"
"600210119","600100019","0","600040018","610201030","600030019","0","0"
"0","600390020","0","600030020","610201031","600290120","0","0"
"0","600300120","0","600060020","610201032","600230018","0","0"
"600020020","600050020","0","600130120","610201033","600040020","0","0"
"0","600110022","0","600090022","610201034","600400022","0","0"
"0","600430022","0","600070022","610201035","600090122","0","0"
"600140022","600420022","0","600120022","610201036","600380122","0","0"
"0","600110023","0","600090023","610201037","600400023","0","0"
"0","600010021","0","600280022","610201038","600270023","0","0"
"600150023","600220023","0","600240023","610201039","600380123","0","0"
"0","0","0","610201101","610201101","0","0","0"
"0","0","0","610201201","610201102","0","0","0"
"0","0","0","610201202","610201103","0","0","0"
"0","0","0","610201203","610201104","0","0","0"
"0","0","0","610201301","610201105","0","0","0"
"0","0","0","610201302","610201106","0","0","0"
"0","0","0","610201303","610201107","0","0","0"
"0","0","0","610201151","610201151","0","0","0"
"610201453","610201452","0","610201251","610201152","610201451","0","0"
"0","0","0","610201252","610201153","0","0","0"
"0","0","0","610201253","610201154","0","0","0"
"610201553","610201552","0","610201351","610201155","610201551","0","0"
"0","0","0","610201352","610201156","0","0","0"
"0","0","0","610201353","610201157","0","0","0"
"0","0","0","610202101","610202101","0","0","0"
"610202403","610202402","0","610202201","610202102","610202401","610202404","0"
"0","0","0","610202202","610202103","0","0","0"
"0","0","0","610202203","610202104","0","0","0"
"610202503","610202502","0","610202301","610202105","610202501","610202504","0"
"0","0","0","610202302","610202106","0","0","0"
"0","0","0","610202303","610202107","0","0","0"
