193c29f239b0e7a8a99ec0c7a680d4e901e15dbd79445f383fcb4be701d1faf7,0c9752c5d32643b383a422e7d0f178fa8a5f070418ea64c9db959be725a391ae,024c07ba3ec61a60ac6806bf816de66aa0e674c82dbd34114f6758a7033bb783,dedab6d48155eabf7e18dd10c7c5f3c42f5223349e3de5199c8c90e8189a114c,83280ef5c36ec99bb89baa356cf31088e05a9cedb16216457cc116e5cdaaf8e5,b153570aabacf4eb5cddeecc4b605c36c81f5c8ad54b5634c7ae18a3689cdd0b,f3c8f3b5c2530e887c901458e0c352073d62e98d97466985ce7913ca3318eef6,bcfb091caa447a9022ac70389858f75b69deef314931c804f7cdc10edaee416f,41599dd11876416941a9f10b7835f6a29fa6c4141f45be32edec10aa66d3b318,aae536f860a1152bdb60c44c37986dc42e8b93c479c601c9abc29653d635640e,5c6df65fdd631f165d7cebe93d977c6134b15b906b85b09e8e1acdf206e1db03
"5","1","1","1","1","idle_normal","1001","-103","-216","1.4","100"
"31","1","13","","13","","1002","1","-140","0","-57"
"31","1","14","","14","","1003","1","-140","0","-57"
"91","1","0","","0","","1004","","","",""
"3","1","top_luis_arm_crossed_in","0","1","","1005","1","top_luis_arm_crossed_idle","0.2","0"
"93","1","0","","4","","1006","","","",""
"3","1","top_luis_approach_in","0","1","","1007","1","top_luis_approach_idle","0.2","0"
"93","1","0","","3.5","","1008","","","",""
"3","1","top_luis_thinking","","1","","1009","","","0.2","1"
"93","1","0","","3.5","","1010","","","",""
"3","1","top_luis_walk_think","","1","","1011","","","0.2","1"
"2","1","-495","","1","","1012","0","2","","-103"
"93","1","0","","2","","1013","","","",""
"4","1","0","","1","","1014","","","",""
"2","1","-216","","1","","1015","0","2","","-103"
"93","1","0","","2","","1016","","","",""
"3","1","top_luis_notice","","1","","1017","","","0","1"
"93","1","0","","1","","1018","","","",""
"3","1","top_luis_walk_jog","","1","","1019","","","0.2","1"
"2","1","-100","","1","","1020","0","0.5","","-130"
"93","1","0","","0.5","","1021","","","",""
"4","1","1","","1","","1022","","","",""
"3","1","top_luis_sit_in","0","1","","1023","1","top_luis_sit_idle","0.2","0"
"93","1","0","","0.1","","1024","","","",""
"2","1","-57","","1","","1025","0","0.4","","-140"
"93","1","0","","1","","1026","","","",""
"3","1","top_luis_experiment_failer_in","","1","","1027","","","0.2","0"
"93","1","0","","2.3","","1028","","","",""
"3","1","top_luis_experiment_failer_mix","","1","","1029","","","0.1","0"
"93","1","0","","2.7","","1030","","","",""
"32","1","1","","13","","1031","","","",""
"3","1","top_luis_experiment_failer_burst","","1","","1032","","","0.1","0"
"93","1","0","","2.7","","1033","","","",""
"3","1","top_luis_experiment_failer_out","","1","","1034","","","0.1","0"
"93","1","0","","1.1","","1035","","","",""
"3","1","top_luis_sit_out","0","1","","1036","1","idle_normal","0.2","0"
"2","1","-100","","1","","1037","0","0.3","","-130"
"93","1","0","","1","","1038","","","",""
"3","1","walk_normal","","1","","1039","","","0.2","0"
"2","1","-216","","1","","1040","0","1","","-103"
"93","1","0","","1","","1041","","","",""
"3","1","idle_normal","","1","","1042","","","0.1","0"
"93","1","0","","0.8","","1043","","","",""
"32","1","0","","13","","1044","","","",""
"3","1","top_luis_arm_crossed_in","0","1","","1045","1","top_luis_arm_crossed_idle","0.2","0"
"93","1","0","","4","","1046","","","",""
"3","1","top_luis_approach_in","0","1","","1047","1","top_luis_approach_idle","0.2","0"
"93","1","0","","3.5","","1048","","","",""
"3","1","top_luis_thinking","","1","","1049","","","0.2","1"
"93","1","0","","3.5","","1050","","","",""
"3","1","top_luis_walk_think","","1","","1051","","","0.2","1"
"2","1","-495","","1","","1052","0","2","","-103"
"93","1","0","","2","","1053","","","",""
"4","1","0","","1","","1054","","","",""
"2","1","-216","","1","","1055","0","2","","-103"
"93","1","0","","2","","1056","","","",""
"3","1","top_luis_notice","","1","","1057","","","0","1"
"93","1","0","","1","","1058","","","",""
"3","1","top_luis_walk_jog","","1","","1059","","","0.2","1"
"2","1","-100","","1","","1060","0","0.5","","-130"
"93","1","0","","0.5","","1061","","","",""
"4","1","1","","1","","1062","","","",""
"3","1","top_luis_sit_in","0","1","","1063","1","top_luis_sit_idle","0.2","0"
"93","1","0","","0.1","","1064","","","",""
"2","1","-57","","1","","1065","0","0.4","","-140"
"93","1","0","","1","","1066","","","",""
"3","1","top_luis_experiment_success_in","","1","","1067","","","0.2","0"
"93","1","0","","2.3","","1068","","","",""
"3","1","top_luis_experiment_success_mix","","1","","1069","","","0.1","0"
"93","1","0","","2.7","","1070","","","",""
"32","1","1","","14","","1071","","","",""
"3","1","top_luis_experiment_success_burst","","1","","1072","","","0.1","0"
"93","1","0","","2.7","","1073","","","",""
"3","1","top_luis_experiment_success_out","","1","","1074","","","0.1","0"
"93","1","0","","1.1","","1075","","","",""
"3","1","top_luis_sit_out","0","1","","1076","1","idle_normal","0.2","0"
"2","1","-100","","1","","1077","0","0.3","","-130"
"93","1","0","","1","","1078","","","",""
"3","1","walk_normal","","1","","1079","","","0.2","0"
"2","1","-216","","1","","1080","0","1","","-103"
"93","1","0","","1","","1081","","","",""
"3","1","idle_normal","","1","","1082","","","0.1","0"
"93","1","0","","0.8","","1083","","","",""
"32","1","0","","14","","1084","","","",""
"101","1","","","1005","","1085","","0","","0"
"5","2","2","1","2","top_iroha_read","2001","-130","400","1.43","100"
"5","2","11","1","11","butterfly","2002","130","980","1.4","101"
"31","2","11","","11","","2003","1","-130","0","400"
"91","2","0","","0","","2004","","","",""
"3","2","top_iroha_read","","2","","2005","","","0.2","1"
"93","2","0","","9","","2006","","","",""
"4","2","1","","11","","2007","","","",""
"2","2","-980","","11","","2008","0","7","","130"
"93","2","0","","2.5","","2009","","","",""
"3","2","top_iroha_read_notice","","2","","2010","","","0.2","0"
"93","2","0","","0.6","","2011","","","",""
"3","2","top_iroha_notice_to_run","0","2","","2012","1","top_iroha_run","0","0"
"93","2","0","","0.4","","2013","","","",""
"32","2","1","","11","","2014","","","",""
"37","2","smokeR","","11","","2015","","","",""
"33","2","-980","","11","","2016","0","4.2","","-130"
