05145c4535cfcdaf31d13cb393819b26e26b99490e6dc5697c42a3acdbf92bc9,fdc8f2373e6de0e55e809f87e19d00ae68a66fed8e32291394b94de8d9fdb190,234864a4f83eedd5bd60c03c0160d860483485935f9f87d087253afedb2af3f4,98e1cd20370d60683509f117205230a08c950570f644c5329fb6acee9d959a87,842e2cdc455e9caa5997da35aa8f8c86a4e10e3e6e82249dbde86c70c38fae5a,7155aaf6934a847ab84d7d5db0061b9c38fe5d6ee0c615b1b1fec88ec6a80f6b
"11","1","1","-1480","2816","-1480"
"21","1","1","-1302","2816","-1400"
"31","1","1","-1263","2816","-1302"
"41","1","1","-1224","2816","-1263"
"51","1","1","-1185","2816","-1224"
"61","1","1","-1146","2816","-1185"
"71","1","1","-1146","2816","-1146"
"81","1","1","-1146","2816","-1146"
"91","1","1","-1107","2816","-1146"
"101","1","1","-1068","2816","-1107"
"111","1","1","-1029","2816","-1068"
"121","1","1","-1029","2816","-1029"
"131","1","1","-1029","2816","-1029"
"141","1","1","-1029","2816","-1029"
"151","1","1","-988","2816","-1029"
"161","1","1","-947","2816","-988"
"171","1","1","-906","2816","-947"
"181","1","1","-865","2816","-906"
"191","1","1","-865","2816","-865"
"201","1","1","-865","2816","-865"
"211","1","1","-824","2816","-865"
"221","1","1","-783","2816","-824"
"231","1","1","-742","2816","-783"
"241","1","1","-701","2816","-742"
"251","1","1","-660","2816","-701"
"261","1","1","-619","2816","-660"
"271","1","1","-619","2816","-619"
"281","1","1","-619","2816","-619"
"291","1","1","-619","2816","-619"
"301","1","1","-578","2816","-619"
"311","1","1","-537","2816","-578"
"321","1","1","-496","2816","-537"
"331","1","1","-496","2816","-496"
"341","1","1","-496","2816","-496"
"351","1","1","-496","2816","-496"
"361","1","1","-455","2816","-496"
"371","1","1","-414","2816","-455"
"381","1","1","-373","2816","-414"
"391","1","1","-332","2816","-373"
"401","1","1","-332","2816","-332"
"411","1","1","-332","2816","-332"
"421","1","1","-200","2816","-332"
"431","2","2","-1181","2816","-1246"
"441","2","2","-1152","2816","-1181"
"451","2","2","-1152","2816","-1152"
"461","2","2","-1123","2816","-1152"
"471","2","2","-1094","2816","-1123"
"481","2","2","-1094","2816","-1094"
"491","2","2","-1065","2816","-1094"
"501","2","2","-1065","2816","-1065"
"511","2","2","-1036","2816","-1065"
"521","2","2","-1036","2816","-1036"
"531","2","2","-1007","2816","-1036"
"541","2","2","-978","2816","-1007"
"551","2","2","-978","2816","-978"
"561","2","2","-949","2816","-978"
"571","2","2","-920","2816","-949"
"581","2","2","-891","2816","-920"
"591","2","2","-862","2816","-891"
