2b59769a1844693ccd9b0eabfd599af1b35fe2eef8cb4a92f6f1b263f157cd39,699cf76691cfd0eb9567dae1504ecd1371866af740124e607016deb7d4cf52c5,50808ae0bf8217673ca1a3aba7ba75bb39abcec76a3327a82693c4c1b1e38e9c,285d9ce000ab91108ffa7d316459f8cb934c934159e977c0fd39ec5bd49db17e,2b30d32d4c6fe9bc880503f85ebcd96520c4de840e1b14fd94015be734b394c1,135ef51d6bf98f51db06a8a75da8e6ba3ff7d9c33ef8fabca9636026b1df4cb8,a7e0a11f94f2686d43dbf77ef8e457dd3b75260d2b75e478d0fc69529b13537e,fa2e858cfdf2726ae652c22c77231aa039650182a9df4b711fc43c410271aa1b
"2","96001","1","20000","21952","1","1","1"
"2","96001","1","10000","21904","2","1","1"
"2","96001","1","10000","41000","3","1","1"
"2","96001","5","2000","31803","4","5","1"
"2","96001","5","1500","31215","5","5","1"
"2","96001","5","1500","31210","6","5","1"
"2","96001","5","1500","31211","7","5","1"
"2","96001","5","1250","90005","8","10","1"
"4","96001","10","500","140001","9","20","1"
"2","96001","5","500","25001","10","10","1"
"4","96001","5","100","150003","11","5","1"
"4","96001","5","130","150004","12","5","1"
"4","96001","5","150","150005","13","5","1"
"4","96001","5","180","150006","14","5","1"
"4","96001","5","200","150007","15","5","1"
"4","96001","5","230","150008","16","5","1"
"2","96001","100","500","20004","17","5","1"
"2","96001","100","200","22003","18","5","1"
"2","96001","100","1000","20004","19","0","1"
"2","96001","100","400","22003","20","0","1"
"2","96002","1","20000","21952","21","1","2"
"2","96002","1","10000","21904","22","1","2"
"2","96002","1","10000","41000","23","1","2"
"2","96002","5","1500","31233","24","5","2"
"2","96002","5","1500","31229","25","5","2"
"2","96002","5","1500","31225","26","5","2"
"2","96002","5","1250","90005","27","10","2"
"4","96002","10","500","140001","28","20","2"
"2","96002","5","500","25001","29","10","2"
"4","96002","5","100","150003","30","5","2"
"4","96002","5","130","150004","31","5","2"
"4","96002","5","150","150005","32","5","2"
"4","96002","5","180","150006","33","5","2"
"4","96002","5","200","150007","34","5","2"
"4","96002","5","230","150008","35","5","2"
"2","96002","100","500","20004","36","5","2"
"2","96002","100","200","22003","37","5","2"
"2","96002","100","1000","20004","38","0","2"
"2","96002","100","400","22003","39","0","2"
"2","96003","1","20000","21952","40","1","3"
"2","96003","1","10000","21905","41","1","3"
"2","96003","1","10000","41000","42","1","3"
"2","96003","5","2000","31805","43","5","3"
"2","96003","5","1500","31240","44","5","3"
"2","96003","5","1500","31238","45","5","3"
"2","96003","5","1500","31236","46","5","3"
"2","96003","10","2500","90005","47","5","3"
"4","96003","50","2500","140001","48","5","3"
"2","96003","5","500","25001","49","5","3"
"4","96003","30","500","150003","50","5","3"
"4","96003","30","650","150004","51","5","3"
"4","96003","30","750","150005","52","5","3"
"4","96003","30","900","150006","53","5","3"
"4","96003","30","1000","150007","54","5","3"
"4","96003","30","1150","150008","55","5","3"
"2","96003","500","2500","20004","56","5","3"
"2","96003","500","1000","22003","57","5","3"
"2","96003","100","1000","20004","58","0","3"
"2","96003","100","400","22003","59","0","3"
"2","96004","1","20000","21952","60","1","4"
"2","96004","1","10000","21905","61","1","4"
"2","96004","1","10000","41000","62","2","4"
"2","96004","5","2000","31807","63","5","4"
"2","96004","5","1500","31245","64","5","4"
"2","96004","5","1500","31248","65","5","4"
"2","96004","5","1500","31250","66","5","4"
"2","96004","5","1500","31091","67","5","4"
"2","96004","10","2500","90005","68","5","4"
"4","96004","50","2500","140001","69","10","4"
"2","96004","10","1000","25001","70","10","4"
"4","96004","30","500","150003","71","5","4"
"4","96004","30","650","150004","72","5","4"
"4","96004","30","750","150005","73","5","4"
"4","96004","30","900","150006","74","5","4"
"4","96004","30","1000","150007","75","5","4"
"4","96004","30","1150","150008","76","5","4"
"4","96004","30","1300","150009","77","5","4"
"2","96004","500","2500","20004","78","5","4"
"2","96004","500","1000","22003","79","5","4"
"2","96004","100","1000","20004","80","0","4"
"2","96004","100","400","22003","81","0","4"
"2","96005","1","20000","25101","82","1","5"
"2","96005","1","20000","21952","83","1","5"
"2","96005","1","10000","21905","84","1","5"
"2","96005","1","10000","41000","85","2","5"
"2","96005","5","1500","31200","86","5","5"
"2","96005","5","1500","31253","87","5","5"
"2","96005","5","1500","31255","88","5","5"
"2","96005","5","1500","31256","89","5","5"
"2","96005","10","2500","90005","90","5","5"
"4","96005","50","2500","140001","91","10","5"
"2","96005","10","1000","25001","92","10","5"
"4","96005","30","500","150003","93","5","5"
"4","96005","30","650","150004","94","5","5"
"4","96005","30","750","150005","95","5","5"
"4","96005","30","900","150006","96","5","5"
"4","96005","30","1000","150007","97","5","5"
"4","96005","30","1150","150008","98","5","5"
"4","96005","30","1300","150009","99","5","5"
"2","96005","500","2500","20004","100","5","5"
"2","96005","500","1000","22003","101","5","5"
"2","96005","100","1000","20004","102","0","5"
"2","96005","100","400","22003","103","0","5"
"2","96006","1","20000","25101","104","1","6"
"2","96006","1","20000","21952","105","1","6"
"2","96006","1","10000","21905","106","1","6"
"2","96006","1","10000","41000","107","2","6"
"2","96006","5","1500","31262","108","5","6"
"2","96006","5","1500","31266","109","5","6"
"2","96006","5","1500","31269","110","5","6"
"2","96006","5","1500","31271","111","5","6"
"2","96006","10","2500","90005","112","5","6"
"4","96006","50","2500","140001","113","10","6"
"2","96006","10","1000","25001","114","10","6"
"4","96006","30","500","150003","115","5","6"
"4","96006","30","650","150004","116","5","6"
"4","96006","30","750","150005","117","5","6"
"4","96006","30","900","150006","118","5","6"
"4","96006","30","1000","150007","119","5","6"
"4","96006","30","1150","150008","120","5","6"
"4","96006","30","1300","150009","121","5","6"
"2","96006","500","2500","20004","122","5","6"
"2","96006","500","1000","22003","123","5","6"
"2","96006","100","1000","20004","124","0","6"
"2","96006","100","400","22003","125","0","6"
