76c0205302eddeb88c14d48e2767986a363bcca9c0004f657dbbf4fd800fabaa,5e88809cc32261078be35318ac6ed1cd6a5291639a13414ad236aea4a7919222,16642edba12182baea5f9348bf90504b24a4ea8ee607e27985e141b55744c2ef,5d7b6ceac8f3aa0f6ae07ee9885a4f5c859ad817ac2d1c8215b697cf06769b3e,853c0dbc2c293d6401c1059fe330cf23a0b84bd20c4e53a26d18c8d6534176ea,6e05d86e33a7111d38bd1aab693649a5d4c97c3a07ba90b8c272e8397d8f014a,6480cf7f88532ad63f26d5e1a70de4fc5f3d0425b34eafdab0a11ee4158d435f,2bcc70d41ad4e73ad907d6e9291f59bf49be189cfb8306c6db9f971d67ae7a5a
"1","2","1","1","20000","21952","1","96001"
"1","2","2","1","10000","21904","1","96001"
"1","2","3","1","10000","41000","1","96001"
"5","2","4","5","2000","31803","1","96001"
"5","2","5","5","1500","31215","1","96001"
"5","2","6","5","1500","31210","1","96001"
"5","2","7","5","1500","31211","1","96001"
"10","2","8","5","1250","90005","1","96001"
"20","4","9","10","500","140001","1","96001"
"10","2","10","5","500","25001","1","96001"
"5","4","11","5","100","150003","1","96001"
"5","4","12","5","130","150004","1","96001"
"5","4","13","5","150","150005","1","96001"
"5","4","14","5","180","150006","1","96001"
"5","4","15","5","200","150007","1","96001"
"5","4","16","5","230","150008","1","96001"
"5","2","17","100","500","20004","1","96001"
"5","2","18","100","200","22003","1","96001"
"0","2","19","100","1000","20004","1","96001"
"0","2","20","100","400","22003","1","96001"
"1","2","21","1","20000","21952","2","96002"
"1","2","22","1","10000","21904","2","96002"
"1","2","23","1","10000","41000","2","96002"
"5","2","24","5","1500","31233","2","96002"
"5","2","25","5","1500","31229","2","96002"
"5","2","26","5","1500","31225","2","96002"
"10","2","27","5","1250","90005","2","96002"
"20","4","28","10","500","140001","2","96002"
"10","2","29","5","500","25001","2","96002"
"5","4","30","5","100","150003","2","96002"
"5","4","31","5","130","150004","2","96002"
"5","4","32","5","150","150005","2","96002"
"5","4","33","5","180","150006","2","96002"
"5","4","34","5","200","150007","2","96002"
"5","4","35","5","230","150008","2","96002"
"5","2","36","100","500","20004","2","96002"
"5","2","37","100","200","22003","2","96002"
"0","2","38","100","1000","20004","2","96002"
"0","2","39","100","400","22003","2","96002"
"1","2","40","1","20000","21952","3","96003"
"1","2","41","1","10000","21905","3","96003"
"1","2","42","1","10000","41000","3","96003"
"5","2","43","5","2000","31805","3","96003"
"5","2","44","5","1500","31240","3","96003"
"5","2","45","5","1500","31238","3","96003"
"5","2","46","5","1500","31236","3","96003"
"5","2","47","10","2500","90005","3","96003"
"5","4","48","50","2500","140001","3","96003"
"5","2","49","5","500","25001","3","96003"
"5","4","50","30","500","150003","3","96003"
"5","4","51","30","650","150004","3","96003"
"5","4","52","30","750","150005","3","96003"
"5","4","53","30","900","150006","3","96003"
"5","4","54","30","1000","150007","3","96003"
"5","4","55","30","1150","150008","3","96003"
"5","2","56","500","2500","20004","3","96003"
"5","2","57","500","1000","22003","3","96003"
"0","2","58","100","1000","20004","3","96003"
"0","2","59","100","400","22003","3","96003"
"1","2","60","1","20000","21952","4","96004"
"1","2","61","1","10000","21905","4","96004"
"2","2","62","1","10000","41000","4","96004"
"5","2","63","5","2000","31807","4","96004"
"5","2","64","5","1500","31245","4","96004"
"5","2","65","5","1500","31248","4","96004"
"5","2","66","5","1500","31250","4","96004"
"5","2","67","5","1500","31091","4","96004"
"5","2","68","10","2500","90005","4","96004"
"10","4","69","50","2500","140001","4","96004"
"10","2","70","10","1000","25001","4","96004"
"5","4","71","30","500","150003","4","96004"
"5","4","72","30","650","150004","4","96004"
"5","4","73","30","750","150005","4","96004"
"5","4","74","30","900","150006","4","96004"
"5","4","75","30","1000","150007","4","96004"
"5","4","76","30","1150","150008","4","96004"
"5","4","77","30","1300","150009","4","96004"
"5","2","78","500","2500","20004","4","96004"
"5","2","79","500","1000","22003","4","96004"
"0","2","80","100","1000","20004","4","96004"
"0","2","81","100","400","22003","4","96004"
"1","2","82","1","20000","25101","5","96005"
"1","2","83","1","20000","21952","5","96005"
"1","2","84","1","10000","21905","5","96005"
"2","2","85","1","10000","41000","5","96005"
"5","2","86","5","1500","31200","5","96005"
"5","2","87","5","1500","31253","5","96005"
"5","2","88","5","1500","31255","5","96005"
"5","2","89","5","1500","31256","5","96005"
"5","2","90","10","2500","90005","5","96005"
"10","4","91","50","2500","140001","5","96005"
"10","2","92","10","1000","25001","5","96005"
"5","4","93","30","500","150003","5","96005"
"5","4","94","30","650","150004","5","96005"
"5","4","95","30","750","150005","5","96005"
"5","4","96","30","900","150006","5","96005"
"5","4","97","30","1000","150007","5","96005"
"5","4","98","30","1150","150008","5","96005"
"5","4","99","30","1300","150009","5","96005"
"5","2","100","500","2500","20004","5","96005"
"5","2","101","500","1000","22003","5","96005"
"0","2","102","100","1000","20004","5","96005"
"0","2","103","100","400","22003","5","96005"
"1","2","104","1","20000","25101","6","96006"
"1","2","105","1","20000","21952","6","96006"
"1","2","106","1","10000","21905","6","96006"
"2","2","107","1","10000","41000","6","96006"
"5","2","108","5","1500","31262","6","96006"
"5","2","109","5","1500","31266","6","96006"
"5","2","110","5","1500","31269","6","96006"
"5","2","111","5","1500","31271","6","96006"
"5","2","112","10","2500","90005","6","96006"
"10","4","113","50","2500","140001","6","96006"
"10","2","114","10","1000","25001","6","96006"
"5","4","115","30","500","150003","6","96006"
"5","4","116","30","650","150004","6","96006"
"5","4","117","30","750","150005","6","96006"
"5","4","118","30","900","150006","6","96006"
"5","4","119","30","1000","150007","6","96006"
"5","4","120","30","1150","150008","6","96006"
"5","4","121","30","1300","150009","6","96006"
"5","2","122","500","2500","20004","6","96006"
"5","2","123","500","1000","22003","6","96006"
"0","2","124","100","1000","20004","6","96006"
"0","2","125","100","400","22003","6","96006"
"1","2","126","1","20000","25101","7","96007"
"1","2","127","1","20000","21952","7","96007"
"1","2","128","1","10000","21905","7","96007"
"2","2","129","1","10000","41000","7","96007"
"5","2","130","5","1500","31272","7","96007"
"5","2","131","5","2000","31808","7","96007"
"5","2","132","5","1500","31275","7","96007"
"5","2","133","10","2500","90005","7","96007"
"10","4","134","50","2500","140001","7","96007"
"10","2","135","10","1000","25001","7","96007"
"5","4","136","30","500","150003","7","96007"
"5","4","137","30","650","150004","7","96007"
"5","4","138","30","750","150005","7","96007"
"5","4","139","30","900","150006","7","96007"
"5","4","140","30","1000","150007","7","96007"
"5","4","141","30","1150","150008","7","96007"
"5","4","142","30","1300","150009","7","96007"
"5","2","143","500","2500","20004","7","96007"
"5","2","144","500","1000","22003","7","96007"
"0","2","145","100","1000","20004","7","96007"
"0","2","146","100","400","22003","7","96007"
"1","2","147","1","20000","25101","8","96008"
"1","2","148","1","20000","21952","8","96008"
"1","2","149","1","10000","21905","8","96008"
"2","2","150","1","10000","41000","8","96008"
"5","2","151","5","1500","31279","8","96008"
"5","2","152","5","2000","31809","8","96008"
"5","2","153","5","1500","31284","8","96008"
"5","2","154","5","1500","31285","8","96008"
"5","2","155","5","1500","31289","8","96008"
"5","2","156","5","1500","31287","8","96008"
"5","2","157","5","1500","31293","8","96008"
"5","2","158","10","2500","90005","8","96008"
"10","4","159","50","2500","140001","8","96008"
"10","2","160","10","1000","25001","8","96008"
"5","4","161","30","500","150003","8","96008"
