1e164c4055d5a046236ad720815740ccda54fe0f99b4a5bfb0a1475dfd6fa452,e1b8be8c89f72a90bb150630b116e39b0eaf27ca0d91f0ebd0b7e6fcf9cdd637,e937995b1850b78cd9d42e0a76838f9df1b1f8aec69588a935a5afc0a53fc2cc,ef7480cdfa78adc58c07cfdf915b689068dc24ec0a1e2d330b2ace0fe0fd0d15,9f72c105ef4c7d54c657ce4524925ea7e8dbda2f8825065dee35203730d8d198,8a51deefe91ed6b355a4f3c62935885a9c2432295b1398d6f36640e470457883,50ff200e8ada814e66d5cd3f5196fe57d274c5f8499fe9218bd849a384beb162,df34895f10dbbec713b3d59d7e15a714e1b340c61688550b2373d9b08c84e4f2,0b8b3bfae65b44a1226996a7bbdf756162ac17f458677e19ec7dbf3a8e328ced,1559e12be366e6af133965e8bb2791c705e6ca2940d350066e47f206e080b298
"10001","22","2","53003","2","","3","8","-1","15"
"10002","22","1","53003","1","","3","5","14","1"
"10003","23","0","52019","0","若菜的施捨","3","2","0","0"
"10004","22","2","53003","2","","4","8","-1","15"
"10005","22","1","53003","1","","4","5","14","1"
"10006","23","0","52019","0","若菜的施捨","4","2","0","0"
"10007","22","2","53003","2","","5","8","-1","15"
"10008","22","1","53003","1","","5","5","14","1"
"10009","23","0","52019","0","若菜的施捨","5","2","0","0"
"10010","22","2","53003","2","","6","8","-1","15"
"10011","22","1","53003","1","","6","5","14","1"
"10012","23","0","52019","0","若菜的施捨","6","2","0","0"
"10013","22","2","53003","2","","7","8","-1","15"
"10014","22","1","53003","1","","7","5","14","1"
"10015","23","0","52019","0","若菜的施捨","7","2","0","0"
