3fa69621f327c66a8b52caf665bbc60ac270efb3198c7d8ff1e2dfe6563f1f91,a2ee80a324c90cba5c3754f14447544256a2ef70f969ff2b13709aeb15a54ec5,7ae617f99f647b24f92b594a85e690015bead6c17d9450eb28004721ef41b0da,5c64b3dc415b927ca41c23c057a69805d6443e109dd1c396c6594006d8d9a45e,263d7715f83e1deb48baba233c7e62e87be5076c0e9c04946dfc2af81fdffdf7,55ecee53195ce25b0bf2d3ae7fa725c79cd42e923975f8ecde5483788a340977,a7b21b27fe56f6040ec4fe28a3737d121fba435c3196c9469d98b706644b26eb,9e4da6e0b0a800b923b239ad09bc4399e660b6d3d5297f99437fb2fb9d74262f,8258ae46d00a87076262ddac6a7c08c3bce64d60f4f5eaf302c0b1d14ed394c1,dd86fbf1e6e8ba7e14aa02dfff5cbb54be4b58c1f77bcff8ec2b3a87dbf3686c,e7d1bca39ca8f9fb6b5ea1b72be9d2b125d4da4302fb98b144dec6815b913182,97042e75eb67bf788d78b95958f0ba0cdfed60ae889683fa99a1cb93224016da,caaf804265409e236942622f7e4951a186cc4e2e5b6643d5eab430e073fa156e,5224665e8c76675e96a7f165e3a176a1d77ce5465581555f3c867e6855d0ccdf
"53003","1","1","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","190801","花凜","0","2030/01/01 14:59:59","2018/01/31 12:00:00","2","3.414","-416.5","0","53"
"53004","2","1","將任務完成，\n並獲得獎勵吧！","190801","花凜","0","2030/01/01 14:59:59","2018/01/31 12:00:00","2","3.099","-416.5","0","53"
"54003","3","1","似乎有能夠\n領取的獎勵了。\n請確認看看","190801","花凜","0","2030/01/01 14:59:59","2018/01/31 12:00:00","2","2.801","-416.5","0","54"
"54004","4","2","能夠領取獎勵了！\n請檢查看看","190801","花凜","0","2030/01/01 14:59:59","2018/01/31 12:00:00","2","0","-416.5","0","54"
"55003","1","1","這裡是公會管理協會！\n如果您持有討伐證的話，\n就能夠交換獎勵哦","190801","花凜","0","2030/01/01 14:59:59","2018/01/31 12:00:00","2","5.506","-363","0","55"
"55004","2","2","辛苦了！\n在這裡，能夠以討伐證\n來換取獎勵哦！","190801","花凜","0","2030/01/01 14:59:59","2018/01/31 12:00:00","1","1.216","-363","0","55"
"56003","3","2","辛苦了\n別忘記使用討伐證\n來進行交換哦！","190801","花凜","0","2030/01/01 14:59:59","2018/01/31 12:00:00","1","1.539","-363","0","56"
"56004","4","2","結束了呢─\n討伐證就是努力的證明！\n拿來換取獎勵吧！","190801","花凜","0","2030/01/01 14:59:59","2018/01/31 12:00:00","1","1.875","-363","0","56"
"57003","5","1","參加活動辛苦了！\n各位活躍的樣子\n我們始終非常感謝","190801","花凜","0","2030/01/01 14:59:59","2018/01/31 12:00:00","1","0","-416.5","0","57"
"10043001","1","1","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","190801","花凜","0","2020/10/28 15:59:59","2020/10/19 16:00:00","2","3.414","-416.5","10043","53"
"10043002","2","1","將任務完成，\n並獲得獎勵吧！","190801","花凜","0","2020/10/28 15:59:59","2020/10/19 16:00:00","2","3.099","-416.5","10043","53"
"10043003","3","1","似乎有能夠\n領取的獎勵了，\n請確認看看。","190801","花凜","0","2020/10/28 15:59:59","2020/10/19 16:00:00","2","2.801","-416.5","10043","54"
"10043004","4","2","能夠領取獎勵了！\n請檢查看看","190801","花凜","0","2020/10/28 15:59:59","2020/10/19 16:00:00","2","0","-416.5","10043","54"
"10043005","5","1","參加活動辛苦了！\n各位活躍的樣子\n我們始終非常感謝","190801","花凜","0","2020/10/28 15:59:59","2020/10/19 16:00:00","1","0","-416.5","10043","57"
"10043101","101","1","","110001","鈴奈（夏日）","0","2020/10/28 15:59:59","2020/10/19 16:00:00","2","6.75","-285","10043","51"
"10043102","201","2","","110101","伊緒（夏日）","0","2020/10/28 15:59:59","2020/10/19 16:00:00","2","0","-285","10043","51"
"10043103","301","2","","110201","美咲（夏日）","70","2020/10/28 15:59:59","2020/10/19 16:00:00","3","7.237","-285","10043","51"
"10043104","102","6","","110001","鈴奈（夏日）","0","2020/10/28 15:59:59","2020/10/19 16:00:00","4","5.017","-285","10043","51"
"10043105","202","2","","110101","伊緒（夏日）","0","2020/10/28 15:59:59","2020/10/19 16:00:00","1","4.802","-285","10043","51"
"10043106","302","2","","110201","美咲（夏日）","70","2020/10/28 15:59:59","2020/10/19 16:00:00","3","10.992","-285","10043","51"
"10043107","103","2","","110001","鈴奈（夏日）","0","2020/10/28 15:59:59","2020/10/19 16:00:00","2","0","-285","10043","51"
"10043108","203","1","","110101","伊緒（夏日）","0","2020/10/28 15:59:59","2020/10/19 16:00:00","2","3.047","-285","10043","51"
"10043109","104","2","","110001","鈴奈（夏日）","0","2020/10/28 15:59:59","2020/10/19 16:00:00","1","7.904","-285","10043","52"
"10043110","204","1","","110101","伊緒（夏日）","0","2020/10/28 15:59:59","2020/10/19 16:00:00","2","8.81","-285","10043","52"
"10043111","304","2","","110201","美咲（夏日）","70","2020/10/28 15:59:59","2020/10/19 16:00:00","1","6.65","-285","10043","52"
"10043112","105","1","","110001","鈴奈（夏日）","0","2020/10/28 15:59:59","2020/10/19 16:00:00","6","9.043","-285","10043","52"
"10043113","205","2","","110101","伊緒（夏日）","0","2020/10/28 15:59:59","2020/10/19 16:00:00","5","4.995","-285","10043","52"
"10043114","305","1","","110201","美咲（夏日）","70","2020/10/28 15:59:59","2020/10/19 16:00:00","2","11.657","-285","10043","52"
