2349b774fa7b57191292129f1ca565d8959b2c2c8b9f04ca9cc3a93ee19de736,7275fcc0e5c2ff0c27fd93b7afb2d1a4856574ef5fcba57966d4b80fef29b187,61b7b76c5d22f0f764bbc7fbb57289349502e1f42c785d34a9fb921715b94f7e,9fdeba4d7ba67fd20eabd1575b5b02d38727511668d4a3a601d75d7d912946fd,8c26c85d24dc4a082cc6ac7ff72f95e4732ab58096459033d4e8bff0bc1ea9f1,b7f822b718b23b1edc800f07bb56abb45bd9a427b2d594c641ee9ee98e56eb08,4fb5c14f296d4003a255d6d7ac28181b6668c251346d4be324e032a0a8bbf42c,d18af02826eecc9eaef1062e20470ea5e9e156a85a8e7bca3da7cf563ee1a615,d75b2967643a9a453fda2b027b339354d6b71068d16e01edb045e245ca6fa771,acbf842be8ce7521cea94fabeda3431e23f9b2bb0de64f8abf178918ebcc2282,52a08f25edb75d2bdda62bde5eb38a53855a4676df73ca7aab92bf056b4a736a
"1.65","1","taq_karin_idle","-194","1001","1","1","100","72","118511","1"
"","21","","","1002","","vo_minigame_1009","0","0","vo_minigame_1009_top_001","1"
"0","11","0","0","1003","0","118511","8","0","有準備獎品喔，\n請好好加油吧♪\n","1"
"0.2","3","","","1004","","118511","1","","taq_karin_talk_normal","1"
"","91","","","1005","","1003","","","","1"
"0.2","3","","","1006","","118511","1","","taq_karin_idle","1"
"1.65","1","taq_karin_idle","-194","2001","1","1","100","72","118511","2"
"","21","","","2002","","vo_minigame_1009","0","0","vo_minigame_1009_top_002","2"
"0","11","0","0","2003","0","118511","8","0","這會考驗\n大家的知職喔。","2"
"0.2","3","","","2004","","118511","1","","taq_karin_talk_thinking","2"
"","91","","","2005","","2003","","","","2"
"0.2","3","","","2006","","118511","1","","taq_karin_idle","2"
"1.65","1","taq_karin_idle","-194","3001","1","1","100","72","118511","3"
"","21","","","3002","","vo_minigame_1009","0","0","vo_minigame_1009_top_003","3"
"0","11","0","0","3003","0","118511","8","0","這世上還有很多\n我們不知道的事。\n","3"
"0.2","3","","","3004","","118511","1","","taq_karin_talk_surprise","3"
"","91","","","3005","","3003","","","","3"
"0.2","3","","","3006","","118511","1","","taq_karin_idle","3"
"1.65","1","taq_karin_idle","-194","4001","1","1","100","72","118511","4"
"","21","","","4002","","vo_minigame_1009","0","0","vo_minigame_1009_top_004","4"
"0","11","0","0","4003","0","118511","8","0","不曉得答案時\n可以試著憑直覺。\n","4"
"0.2","3","","","4004","","118511","1","","taq_karin_talk_normal2","4"
"","91","","","4005","","4003","","","","4"
"0.2","3","","","4006","","118511","1","","taq_karin_idle","4"
"1.65","1","taq_karin_idle","-194","5001","1","1","100","72","118511","5"
"","21","","","5002","","vo_minigame_1009","0","0","vo_minigame_1009_top_005","5"
"0","11","0","0","5003","0","118511","7","0","大家齊心協力\n朝向全題答對\n努力吧♪","5"
"0.2","3","","","5004","","118511","1","","taq_karin_talk_joy3","5"
"","91","","","5005","","5003","","","","5"
"0.2","3","","","5006","","118511","1","","taq_karin_idle","5"
