71e618b414380a20cf83b5aced276c37a9a023a0721b611ebd7b8e15bd56ff69,2f93bc5e3dc4c5fa198d5c05f87a8984a767399488ca869ea3c99cd9c5529827,1b6ed102baae31e14255c636493feb24fec8e1035445558c6a5fe5f7e0700f88,ab69261a5a939cc8d01949dde7e015dcef0371edaf48a0bd5f428746360b1412,1970cda6a1b3dd37add5dbfcaf3b93ad3b3be91ae6dbcdae0b15f84d67103f19,2b82ab017b34fdb0e64bccb23d7eb3a75f4fb8848e973a3a8f19fe6a686ded5a,ee47fa88154e173bd8f73baaf1dd9a8ebdfc67024d8b7a7b30587ae3e843d99d,a7f3979505d27e317346b750d99dfc4cfeaafb85551d34338e4cc44de7f1d473,1c69d267955132c2b0546941a334103d476367ce319279744977421434b343bc,3bc914a3df967f6d34c96773ce846d8cfc875ff10764d61f95456bfd207ffeea,87681f9785e13ad4a3b8d18c78e052116309923835348208a3197925316b919d,4733f82829ca1f7cdd08caa5ed98050886bdd2dfe30c63a82db3f371ef884b46
"0","4","0.8","0","0","1011611501","0","1","0","10116115","0","1"
"0","2","0","vo_won","0","1011611502","0","0","vo_won_10116115_01","10116115","0","2"
"0","1","0","0","230","1011611503","1","0","0","10116115","2.68","3"
"0","4","3.17","0","0","1011611504","0","1","0","10116115","0","4"
"230","1","0","0","420","1011611505","1","0","0","10116115","2","5"
"0","4","2.03","0","0","1011611506","0","1","0","10116115","0","6"
"0","1","0","0","140","1011611507","2","0","0","10116115","1.51","7"
"0","4","2","0","0","1011611508","0","1","0","10116115","0","8"
"140","1","0","0","275","1011611509","2","0","0","10116115","1.92","9"
"0","4","2.42","0","0","1011611510","0","1","0","10116115","0","10"
"275","1","0","0","430","1011611511","2","0","0","10116115","1.09","11"
"0","4","1.09","0","0","1011611512","0","1","0","10116115","0","12"
"0","1","0","0","230","1011611513","3","0","0","10116115","1.88","13"
"0","4","2.47","0","0","1011611514","0","1","0","10116115","0","14"
"230","1","0","0","430","1011611515","3","0","0","10116115","1.88","15"
"0","4","1.88","0","0","1011611516","0","1","0","10116115","0","16"
"0","1","0","0","52","1011611517","4","0","0","10116115","0.588999999999999","17"
"0","4","0.965999999999999","0","0","1011611518","0","1","0","10116115","0","18"
"52","1","0","0","400","1011611519","4","0","0","10116115","1.423","19"
"0","4","2.673","0","0","1011611520","0","1","0","10116115","0","20"
"0","2","0","vo_won","0","1011611521","0","0","vo_won_10116115_02","10116115","0","21"
"0","1","0","0","340","1011611522","5","0","0","10116115","1.699","22"
"0","4","2.495","0","0","1011611523","0","1","0","10116115","0","23"
"340","1","0","0","450","1011611524","5","0","0","10116115","0.236","24"
"0","4","0.4","0","0","1011611525","0","1","0","10116115","0","25"
"0","1","0","0","120","1011611526","6","0","0","10116115","1.4","26"
"0","4","2","0","0","1011611527","0","1","0","10116115","0","27"
"120","1","0","0","400","1011611528","6","0","0","10116115","2.853","28"
"0","4","4.428","0","0","1011611529","0","1","0","10116115","0","29"
"0","2","0","vo_won","0","1011611530","0","0","vo_won_10116115_03","10116115","0","30"
"0","1","0","0","140","1011611531","7","0","0","10116115","1.261","31"
"0","4","1.715","0","0","1011611532","0","1","0","10116115","0","32"
"140","1","0","0","430","1011611533","7","0","0","10116115","2.245","33"
"0","4","2.759","0","0","1011611534","0","1","0","10116115","0","34"
"0","1","0","0","450","1011611535","8","0","0","10116115","3.212","35"
"0","4","3.212","0","0","1011611536","0","1","0","10116115","0","36"
"450","1","0","0","450","1011611537","8","0","0","10116115","0.499","37"
"0","4","2.042","0","0","1011611538","0","1","0","10116115","0","38"
"0","2","0","vo_won","0","1011611539","0","0","vo_won_10116115_04","10116115","0","39"
"0","1","0","0","77","1011611540","9","0","0","10116115","0.717","40"
"0","4","1.491","0","0","1011611541","0","1","0","10116115","0","41"
"77","1","0","0","363","1011611542","9","0","0","10116115","2.868","42"
"0","4","3.897","0","0","1011611543","0","1","0","10116115","0","43"
"0","2","0","vo_won","0","1011611544","0","0","vo_won_10116115_05","10116115","0","44"
"363","1","0","0","423","1011611545","9","0","0","10116115","0.179","45"
"0","4","0.179","0","0","1011611546","0","1","0","10116115","0","46"
"0","1","0","0","450","1011611547","10","0","0","10116115","1.979","47"
"0","4","2.727","0","0","1011611548","0","1","0","10116115","0","48"
"450","1","0","0","450","1011611549","10","0","0","10116115","2.432","49"
"0","4","2.432","0","0","1011611550","0","1","0","10116115","0","50"
"0","1","0","0","55","1011611551","11","0","0","10116115","1.321","51"
"0","4","2.245","0","0","1011611552","0","1","0","10116115","0","52"
"0","2","0","vo_won","0","1011611553","0","0","vo_won_10116115_06","10116115","0","53"
"55","1","0","0","360","1011611554","11","0","0","10116115","2.161","54"
"0","4","3.392","0","0","1011611555","0","1","0","10116115","0","55"
"0","2","0","vo_won","0","1011611556","0","0","vo_won_10116115_07","10116115","0","56"
"0","1","0","0","235","1011611557","12","0","0","10116115","0.982","57"
"0","4","1.563","0","0","1011611558","0","1","0","10116115","0","58"
"235","1","0","0","450","1011611559","12","0","0","10116115","1.916","59"
"0","4","0.8","0","0","1011612501","0","1","0","10116125","0","1"
"0","2","0","vo_won","0","1011612502","0","0","vo_won_10116125_01","10116125","0","2"
"0","1","0","0","262","1011612503","1","0","0","10116125","2.458","3"
"0","4","3.21","0","0","1011612504","0","1","0","10116125","0","4"
"262","1","0","0","450","1011612505","1","0","0","10116125","1.255","5"
"0","4","1.255","0","0","1011612506","0","1","0","10116125","0","6"
"0","1","0","0","155","1011612507","2","0","0","10116125","1.63","7"
"0","4","2.759","0","0","1011612508","0","1","0","10116125","0","8"
"0","2","0","vo_won","0","1011612509","0","0","vo_won_10116125_02","10116125","0","9"
"155","1","0","0","220","1011612510","2","0","0","10116125","0.753","10"
"0","4","1.229","0","0","1011612511","0","1","0","10116125","0","11"
