afa840a787446cac76fe77106bebda81b04a3720bc67e96d7f307d5855201f5f,aa6516f2ac0add640685d87f6849cabd3a4be99e9c16a965660833730c1dd4e8,38f9df649317f8a4ea438453487c3545d59b16fba2f0636bb4fe64cf8314d793,8d5d5287daf9e59f003ffbd81454dd825ec9c318b6927d17136358af581bff6c,a09b3c53843273420d0d79f2a3f312bfe3e1348f75097fb7e9174ba90405eb99
"1","1045","1025","1048","1037"
"2","1006","1003","1004","1062"
"3","1006","1003","1007","1029"
"4","1062","1047","1045","1025"
"5","1022","1043","1013","1003"
"6","1019","1006","1004","1048"
"7","1003","1062","1033","1037"
"8","1059","1056","1053","1050"
"9","1034","1001","1011","1030"
"10","1026","1063","1023","1046"
"11","1044","1020","1038","1014"
"12","1040","1017","1049","1008"
"13","1020","1023","1044","1017"
"14","1020","1017","1038","1001"
"15","1008","1030","1048","1036"
"16","1011","1044","1038","1004"
"17","1022","1043","1011","1005"
"18","1047","1046","1016","1042"
"19","1063","1014","1028","1041"
"20","1058","1052","1055","1061"
"21","1024","1025","1001","1031"
"22","1005","1024","1063","1064"
"23","1044","1040","1000","1066"
"24","1010","1000","1038","1076"
"25","1043","1003","1019","1077"
"26","1068","1070","1069","1071"
"27","1090","1092","1091","1089"
"28","1099","1098","1100","1097"
"29","1103","1102","1104","1101"
"30","1107","1106","1108","1105"
"31","1090","1089","1091","1088"
