84e43ce0a47bfe8b8e379e5398e75ae4e2e5e0acceaec0529cfc52a5b5ffe7f2,8185fbcd6bf5b4d41bbe1782a7336178468260da7ed72752f9dbc21b5e8f15b3,1feebc73f784d92841ff4dc0293a411a1aae5892572a7de0dcb57cd67fa9e28c,be7667f50de8cc1b765cbf9ec6e3e2b5f4e40c1662d28abf3b7193dc9be620c9,ae9b0b32ee8563943e04b26b74ceadb60a3a0fc99604d5509223854e9455a2d2,fe0c85ecd189120df42efa3bed6439ac67d31a8ab390aecf172c476ecff62434,abd028eac73488723dea753e8f9b1b0ee82248ac32d4bec16d83748e6fa85f78,ddf41dfb5b4d10744246624179b012f8dc7a00f65bbb573ed2ffcf30a1b7db33
"短時間內，展開障礙物護盾　　　　（TP上升率：大）","3","0","0","短時間內，展開障礙物護盾！","0","2001","101"
"中時間內，小幅度提升速度與　　　跳躍力（TP上升率：小）","5","0","5","中時間內，小幅度提升速度與跳躍力！","5","3","102"
"短時間內，中幅度提升速度　　　　（TP上升率：中）","4","0","6","短時間內，中幅度提升速度！","0","1","103"
"中時間內，展開障礙物護盾　　　　（TP上升率：小）","5","0","0","中時間內，展開障礙物護盾！","0","2001","104"
"中時間內，小幅度提升速度　　　　（TP上升率：小）","6","0","3","中時間內，小幅度提升速度！","0","1","105"
"中時間內，對戰對手小幅度減速　　（TP上升率：大）","6","0","4","中時間內，對戰對手小幅度減速！","0","1001","106"
"中時間內，特大幅度提升速度與　　跳躍力（TP上升率：小）","5","0","17","中時間內，特大幅度提升速度與跳躍力！","16","3","107"
"回合內，中幅度提升速度　　　　　（TP上升率：小）","40","0","8","回合內，中幅度提升速度！","0","1","108"
"短時間內，特大幅度提升速度　　　（TP上升率：特小）","4","0","30","短時間內，特大幅度提升速度！","0","1","109"
"回合內，對戰對手中幅度減速　　　（TP上升率：小）","40","0","10","回合內，對戰對手大幅度減速！","0","1001","110"
"極短時間內，展開障礙物護盾　　　（TP上升率：大）","1","0","0","極短時間內，展開障礙物護盾！","0","2001","111"
"短時間內，最前方對戰對手　　　　大幅度減速（TP上升率：小）","4","0","15","短時間內，最前方對戰對手大幅度減速！","0","1004","112"
"中時間內，小幅度提升速度　　　　（TP上升率：大）","6","0","5","中時間內，小幅度提升速度！","0","1","113"
"中時間內，小幅度提升跳躍力　　　（TP上升率：大）","5","0","5","中時間內，小幅度提升跳躍力！","0","2","114"
"長時間內，以護盾防止能力降低　　（TP上升率：特大）","7","0","0","長時間內，以護盾防止能力降低！","0","2002","115"
"累積時，小幅度提升速度　　　　　（TP上升率：特大）","25","0","3","累積時，小幅度提升速度！","0","1","116"
"累積時，對戰對手小幅度減速　　　（TP上升率：特大）","25","0","3","累積時，對戰對手小幅度減速！","0","1001","117"
"長時間內，特大幅度提升速度與　　跳躍力（TP上升率：中）","7","0","30","長時間內，特大幅度提升速度與跳躍力！","20","3","118"
"短時間內，最前方的對戰對手　　　大幅度減速（TP上升率：中）","4","0","15","短時間內，最前方對戰對手大幅度減速！","0","1004","119"
"長時間內，以護盾防止能力降低　　（TP上升率：大）","7","0","0","長時間內，以護盾防止能力降低！","0","2002","120"
"長時間內，特大幅度提升跳躍力　　（TP上升率：中）","12","0","30","長時間內，特大幅度提升跳躍力！","0","2","121"
"累積時，最前方的對戰對手　　　　大幅度減速（TP上升率：中）","30","0","15","累積時，最前方的對戰對手大幅度減速！","0","1004","122"
"短時間大幅度加速後，減速　　　　（TP上升率：大）","4","8","11","短時間大幅度加速後，極短時間減速！","2","4","123"
"長時間內，中幅度提升速度　　　　（TP上升率：大）","8","0","9","長時間內，中幅度提升速度！","0","1","124"
"短時間內，展開障礙物護盾　　　　（TP上升率：中）","4","0","0","短時間內，展開障礙物護盾！","0","2001","125"
"累積時，對戰對手小幅度減速　　　（TP上升率：特大）","30","0","3","累積時，對戰對手小幅度減速！","0","1001","126"
"長時間內，特大幅度提升速度　　　（TP上升率：特小）","10","0","22","長時間內，特大幅度提升速度！","0","1","127"
"短時間內，特大幅度提升跳躍力　　（TP上升率：大）","4","0","30","中時間內，特大幅度提升跳躍力！","0","2","128"
"短時間內，對戰對手特大幅度減速　（TP上升率：大）","3","0","20","短時間內，對戰對手特大幅度減速！","0","1001","129"
"短時間內，特大幅度提升速度　　　（TP上升率：大）","4","0","30","短時間內，特大幅度提升速度！","0","1","130"
