2b7b6df975bf811ef9f38af1ba71defbef59ca5709af9142ce5734b26cd6c9fa,5a7ec361e73ef9e4b5793d859d13f9f701dc3d75061abf4d38c6bbe042767be4,732485207c3676f8cedb548a3a3149ee1ebe61402a234c8135457eee3d581a30,c6758944bc30825140a60fc65a0731b6b67673c4ad5ecfdd80583ccd2b1e9145
"1000","1001","21002","100101"
"2000","1001","21004","100102"
"3500","1001","21012","100103"
"4500","1001","20001","100104"
"5000","1001","21010","100105"
"6300","1001","20009","100106"
"7000","1001","21014","100107"
"8500","1001","20001","100108"
"9550","1001","20003","100109"
"1700","1002","20001","100201"
"2650","1002","20003","100202"
"3150","1002","21002","100203"
"4600","1002","20001","100204"
"5200","1002","21004","100205"
"6150","1002","21014","100206"
"7700","1002","21012","100207"
"8500","1002","20009","100208"
"9200","1002","21010","100209"
"1150","1003","21010","100301"
"2200","1003","21004","100302"
"3500","1003","20009","100303"
"4650","1003","20001","100304"
"5650","1003","20001","100305"
"6600","1003","21012","100306"
"7150","1003","21002","100307"
"8150","1003","21014","100308"
"9650","1003","20003","100309"
"1000","1004","21006","100401"
"2000","1004","21016","100402"
"3000","1004","21017","100403"
"4000","1004","21003","100404"
"5000","1004","21010","100405"
"6000","1004","21003","100406"
"7000","1004","21007","100407"
"8000","1004","21014","100408"
"9000","1004","21015","100409"
"850","1005","21010","100501"
"1900","1005","21016","100502"
"2850","1005","21015","100503"
"3900","1005","21007","100504"
"4800","1005","21003","100505"
"5850","1005","21014","100506"
"6800","1005","21017","100507"
"7900","1005","21006","100508"
"8850","1005","21003","100509"
"900","1006","21016","100601"
"1800","1006","21006","100602"
"2800","1006","21003","100603"
"3850","1006","21003","100604"
"4850","1006","21007","100605"
"5900","1006","21010","100606"
"6850","1006","21017","100607"
"7800","1006","21014","100608"
"8900","1006","21015","100609"
"1150","1007","20015","100701"
"2550","1007","20003","100702"
"3500","1007","20001","100703"
"4550","1007","20003","100704"
"5550","1007","20003","100705"
"6550","1007","20003","100706"
"7000","1007","21008","100707"
"8000","1007","21004","100708"
"9000","1007","21003","100709"
"1100","1008","21003","100801"
"2650","1008","20003","100802"
"3750","1008","20003","100803"
"4750","1008","20003","100804"
"5700","1008","20001","100805"
"6200","1008","21008","100806"
"7650","1008","20003","100807"
"8100","1008","21004","100808"
"9300","1008","20015","100809"
"1300","1009","20015","100901"
"2200","1009","21004","100902"
